Project_No,Project_Name,Simple_Actors,Average_Actors,Complex_Actors,UAW,Simple_UC,Average_UC,Complex_UC,UUCW,UUCP,TCF,EF,UCP,Real_Effort_Person_Hours,Use_Case_Num,KSLOC,Application_Type,,
6,F14a_black_professionals_net,1,2,1,8,11,3,1,100,108,0.9,1.03,100.116,146,18,1.5,Mobile App,,3
12,f14a_cash_doctor,1,2,2,11,6,4,3,115,126,0.9,1.025,116.235,724,10,7.593,Web App,,
8,f14a_e_lock_box,4,2,1,11,3,9,6,195,206,0.8,1.23,202.704,1125,21,3.679,Web App,,
15,f14a_gotrla,2,2,1,9,1,6,4,125,134,0.835,0.995,111.33055,482,10,0.73,Web App,,
13,F14a_mobile_application_for_mobile_controlled_lighting,1,2,1,8,2,3,5,115,123,0.925,1.04,118.326,657.5,5,3.2,Web App,,
10,F14a_REFERsy,3,3,1,12,6,3,1,75,87,0.925,0.995,80.072625,263,10,2.258,Web App,,
11,F14a_sharethetraining_com,3,0,2,9,5,8,1,120,129,0.88,1.04,118.0608,571,13,6.415,Web App,,
5,F14a_snapp_voice_communication_system,2,2,2,12,33,2,1,200,212,0.96,1.03,209.6256,547,45,6.569,Mobile App,,
19,F14a_soccer_data_Web_crawler,2,2,3,15,2,3,1,55,70,0.915,1.025,65.65125,268.5,8,2.95,Mobile App,,
2,F14a_tipsure_com,2,2,0,6,2,1,5,95,101,0.855,1.025,88.513875,746,8,7.25,Web App,,
9,F14a_women_at_work_Website_redesign,2,1,3,13,4,3,1,65,78,0.855,1.025,68.35725,140.5,8,0.552,Mobile App,,
4,F15a_combat_conflict,3,0,1,6,4,3,4,110,116,0.795,0.92,84.8424,1281,7,8.116,Web App,,
6,F15a_construction_meeting_minutes_application,1,1,1,6,4,10,4,180,186,0.925,0.95,163.4475,1482.5,18,7.365,Web App,,
3,F15a_linggo,2,2,0,6,15,5,6,215,221,1.04,1.12,257.4208,1142,26,1.386,Mobile App,,
7,F15a_nice_ecommerse,1,3,3,16,16,6,2,170,186,0.805,1.025,153.47325,617,24,4.71,Mobile&Web App,,
5,F15a_tour_conductor,2,2,1,9,5,2,1,60,69,0.885,0.89,54.34785,1347,8,8.209,Mobile&Web App,,
1,s14b_location_based_ad,3,2,2,13,28,9,10,380,393,1.12,1.325,583.212,3680,47,5.129,Web App,,
7,S15b_mission_science_irobots,2,2,9,33,8,1,4,110,143,1.14,1.15,187.473,759,13,8.059,Mobile&Web App,,
3,s15b_snap_valet,1,2,2,11,0,3,8,150,161,0.925,0.965,143.712625,302.5,11,3.12,Mobile Game,,
1,S15b_we_are_trojans_network,3,0,2,9,0,5,4,110,119,0.935,0.935,104.032775,1965,9,21.344,Mobile&Web App,,
3,s16_bad_driver,2,4,2,16,11,1,4,125,141,1.135,1.25,200.04375,1392,12,3.4,Mobile&Web App,,
4,S16b_flower_seeker,3,2,1,10,13,3,2,125,135,0.89,1.025,123.15375,804.5,16,2.3,Mobile&Web App,,
2,s16b_Picshare_AA,2,2,0,6,22,2,3,175,181,0.94,0.875,148.8725,1592,24,2.1,Mobile&Web App,,
1,s16b_Picshare_RA,1,2,1,8,17,5,2,165,173,0.94,0.89,144.7318,3113,24,2.1,Mobile Game,,
4,s17_tikiman_go,1,1,0,3,28,0,1,155,158,1.175,1.31,243.2015,737,28,1.4,Mobile&Web App,,
41,Matlab - CC,0,1,0,2,1,1,3,60,62,1.25,1.025,79.4375,1510.08,1,2.128,Data Analysis,,
42,DOS - CC,0,1,0,2,3,2,1,50,52,1.25,1.025,66.625,581.87,1,0.396,Data Analysis,,
43,Assembly,0,1,0,2,1,2,3,70,72,1.25,1.025,92.25,1560.533333,3,0.691753,Data Analysis,,
44,CC all,0,1,0,2,18,5,6,230,232,1.25,1.01375,293.9875,3484,19,3.4767449,Data Analysis,,
45,GUI all,0,1,1,5,1,2,5,100,105,1,1.0175,106.8375,1561.3833,2,1.957667,Data Analysis,,
46,Convert,0,1,0,2,1,3,1,50,52,1.85,1.0025,96.4405,784.4,2,1.047,Data Analysis,,
47,Language Parsers - CC,0,1,0,2,2,2,6,120,122,1.25,1.030625,157.1703125,8094.343033,10,4.78005,Data Analysis,,
48,Add Features,0,1,1,5,1,4,8,165,170,1.39,1.013,239.3719,2810.95,5,5.173837,Data Analysis,,
