Project_No,Project_Name,Simple_Actors,Average_Actors,Complex_Actors,UAW,Simple_UC,Average_UC,Complex_UC,UUCW,UUCP,TCF,EF,UCP,Real_Effort_Person_Hours,Use_Case_Num,KSLOC,Application_Type,,
6,F14a_black_professionals_net,1,2,1,8,8,3,1,85,93,0.9,1.03,86.211,146,18,1.5,Mobile App,,3
12,f14a_cash_doctor,1,2,2,11,1,2,7,130,141,0.9,1.025,130.0725,724,10,7.593,Web App,,
8,f14a_e_lock_box,4,2,1,11,3,9,3,150,161,0.8,1.23,158.424,1125,21,3.679,Web App,,
15,f14a_gotrla,2,2,1,9,1,6,4,125,134,0.835,0.995,111.33055,482,10,0.73,Web App,,
13,F14a_mobile_application_for_mobile_controlled_lighting,1,2,1,8,2,17,2,210,218,0.925,1.04,209.716,657.5,5,3.2,Web App,,
10,F14a_REFERsy,3,3,1,12,6,3,2,90,102,0.925,0.995,93.87825,263,10,2.258,Web App,,
11,F14a_sharethetraining_com,3,0,2,9,5,8,3,150,159,0.88,1.04,145.5168,571,13,6.415,Web App,,
5,F14a_snapp_voice_communication_system,2,2,2,12,33,2,1,200,212,0.96,1.03,209.6256,547,45,6.569,Mobile App,,
19,F14a_soccer_data_Web_crawler,2,2,3,15,6,3,1,75,90,0.915,1.025,84.40875,268.5,8,2.95,Mobile App,,
2,F14a_tipsure_com,2,2,0,6,2,5,4,120,126,0.855,1.025,110.42325,746,8,7.25,Web App,,
9,F14a_women_at_work_Website_redesign,2,1,3,13,4,3,1,65,78,0.855,1.025,68.35725,140.5,8,0.552,Mobile App,,
4,F15a_combat_conflict,3,0,1,6,4,3,4,110,116,0.795,0.92,84.8424,1281,7,8.116,Web App,,
6,F15a_construction_meeting_minutes_application,1,1,1,6,4,21,1,245,251,0.925,0.95,220.56625,1482.5,18,7.365,Web App,,
3,F15a_linggo,2,2,0,6,12,5,6,200,206,1.04,1.12,239.9488,1142,26,1.386,Mobile App,,
7,F15a_nice_ecommerse,1,3,3,16,16,6,2,170,186,0.805,1.025,153.47325,617,24,4.71,Mobile&Web App,,
5,F15a_tour_conductor,2,2,1,9,5,2,13,240,249,0.885,0.89,196.12485,1347,8,8.209,Mobile&Web App,,
1,s14b_location_based_ad,3,2,2,13,2,9,27,505,518,1.12,1.325,768.712,3680,47,5.129,Web App,,
7,S15b_mission_science_irobots,2,2,9,33,8,1,4,110,143,1.14,1.15,187.473,759,13,8.059,Mobile&Web App,,
3,s15b_snap_valet,1,2,2,11,4,3,5,125,136,0.925,0.965,121.397,302.5,11,3.12,Mobile Game,,
1,S15b_we_are_trojans_network,3,0,2,9,2,5,16,300,309,0.935,0.935,270.135525,1965,9,21.344,Mobile&Web App,,
3,s16_bad_driver,2,4,2,16,11,9,4,205,221,1.135,1.25,313.54375,1392,12,3.4,Mobile&Web App,,
4,S16b_flower_seeker,3,2,1,10,13,3,2,125,135,0.89,1.025,123.15375,804.5,16,2.3,Mobile&Web App,,
2,s16b_Picshare_AA,2,2,0,6,15,13,3,250,256,0.94,0.875,210.56,1592,24,2.1,Mobile&Web App,,
1,s16b_Picshare_RA,1,2,1,8,6,7,16,340,348,0.94,0.89,291.1368,3113,24,2.1,Mobile Game,,
4,s17_tikiman_go,1,1,0,3,4,15,1,185,188,1.175,1.31,289.379,737,28,1.4,Mobile&Web App,,
33,"CC C++, Java",0,1,0,2,1,1,0,15,17,1.25,0.995,21.14375,194.2,2,0.272961,Data Analysis,,
34,"CC C#, Perl, VB",0,1,0,2,3,0,0,15,17,1.25,1.025,21.78125,252.1,3,0.2481596,Data Analysis,,
35,"CC Ada, Fortran",0,1,0,2,2,0,0,10,12,1.25,1.025,15.375,230.75,2,0.1814433,Data Analysis,,
36,"CC Bash, CFScript",0,1,0,2,2,0,0,10,12,1.25,1.01,15.15,223,2,0.206829,Data Analysis,,
37,"CC PHP, DOS",0,1,0,2,2,0,0,10,12,1.25,1.025,15.375,333.4,2,0.361715,Data Analysis,,
38,"CC Ruby, Matlab",0,1,0,2,2,0,0,10,12,1.25,1.025,15.375,277.5,2,0.349066,Data Analysis,,
39,"CC Pascal, Python",0,1,0,2,2,0,0,10,12,1.25,1.01,15.15,217.65,2,0.440172,Data Analysis,,
40,"CC Verilog, VHDL",0,1,0,2,2,0,0,10,12,1.25,1.01,15.15,401.5,2,0.535814,Data Analysis,,
41,Matlab - CC,0,1,0,2,4,12,3,185,187,1.25,1.025,239.59375,1510.08,1,2.128,Data Analysis,,
42,DOS - CC,0,1,0,2,12,2,1,95,97,1.25,1.025,124.28125,581.87,1,0.396,Data Analysis,,
43,Assembly,0,1,0,2,3,12,5,210,212,1.25,1.025,271.625,1560.533333,3,0.691753,Data Analysis,,
44,CC all,0,1,0,2,18,5,6,230,232,1.25,1.01375,293.9875,3484,19,3.4767449,Data Analysis,,
45,GUI all,0,1,1,5,4,22,3,285,290,1,1.0175,295.075,1561.3833,2,1.957667,Data Analysis,,
46,Convert,0,1,0,2,3,3,1,60,62,1.85,1.0025,114.98675,784.4,2,1.047,Data Analysis,,
47,Language Parsers - CC,0,1,0,2,12,14,28,620,622,1.25,1.030625,801.3109375,8094.343033,10,4.78005,Data Analysis,,
48,Add Features,0,1,1,5,11,7,8,245,250,1.39,1.013,352.0175,2810.95,5,5.173837,Data Analysis,,
