Tran_Num,Wght.1,Wght.2,Wght.3,Wght.4,Wght.5,Wght.6
1,5,5,5,5,5,5
2,5,5,5,5,5,5
3,6.67,5,6.45,5,5,5
4,10,5,7.5,5,10,10
5,10,10,8.55,10,10,10
6,10,10,10,10,10,10
7,12.5,10,11.4,10,10,10
8,15,10,12.5,10,15,15
9,15,15,13.6,15,15,15
10,15,15,15,15,15,15
11,17.5,15,15,15,15,15
12,20,15,15,15,15,15
13,20,20,15,15,15,15
14,20,20,15,15,15,20
15,22.5,20,15,15,15,20
16,25,20,15,20,15,20
17,25,25,15,20,15,20
18,25,25,15,20,15,20
19,25,25,15,20,15,20
20,25,25,15,20,15,20
21,25,30,15,20,15,20
22,25,30,15,20,15,20
23,25,30,15,20,15,20
24,25,30,15,20,15,20
25,25,30,15,20,15,20
26,25,30,15,20,15,20
27,25,30,15,20,15,20
28,25,30,15,20,15,20
29,25,30,15,20,15,20
30,25,30,15,20,15,20
