id,element,useCase,type,outboundDegree,inboundDegree
1,Insurance Agent:Review Report,Query bad driver reporting DB,0,undefined,undefined
2,Insurance Agent:Enter License Plate# Screen,Query bad driver reporting DB,0,undefined,undefined
3,Insurance Agent:List of reports screen,Query bad driver reporting DB,0,undefined,undefined
4,Bad Dirver Report:Bad Driver Database,Query bad driver reporting DB,0,undefined,undefined
5,Bad Dirver Report:Review Report,Query bad driver reporting DB,0,undefined,undefined
6,Display Report:Bad Dirver Report,Query bad driver reporting DB,0,undefined,undefined
7,Select Report:Display Report,Query bad driver reporting DB,0,undefined,undefined
8,Enter License Plate# Screen:Query for report by license plate #,Query bad driver reporting DB,0,undefined,undefined
9,License lace # database associated with Bad Drivers:Query for report by license plate #,Query bad driver reporting DB,0,undefined,undefined
10,List of reports screen:Select Report,Query bad driver reporting DB,0,undefined,undefined
11,Query for report by license plate #:List of reports screen,Query bad driver reporting DB,0,undefined,undefined
12,stl#Insurance Agent:Review Report,Query bad driver reporting DB,0,undefined,undefined
13,stl#Insurance Agent:Enter License Plate# Screen,Query bad driver reporting DB,0,undefined,undefined
14,stl#Insurance Agent:List of reports screen,Query bad driver reporting DB,0,undefined,undefined
