id,element,useCase,type,component
1,User:Building Assignments Page,Add EMT building assignment in emergency,boundary,EMT Building Assignment
2,User:EMT form page,Add EMT building assignment in emergency,entity,Triagecategory
3,User:Supervisors' emergency homepage,Add EMT building assignment in emergency,boundary,Supervisor
4,User:Building Assignments Page,Add EMT building assignment in emergency,boundary,EMT Building Assignment
5,User:submitted add EMT Form page,Add EMT building assignment in emergency,entity,Triagecategory
6,User:"Add EMT Assignment" button,Add EMT building assignment in emergency,boundary,EMT Building Assignment
7,"Add EMT Assignment" button:Redirects to the building assignments page,Add EMT building assignment in emergency,boundary,EMT Building Assignment
8,Building Assignments Page:returns add EMT from page,Add EMT building assignment in emergency,boundary,returnsaddEMTfrompage
9,Redirects to the building assignments page:Building Assignments Page,Add EMT building assignment in emergency,boundary,EMT Building Assignment
10,Validates Input:EMT form page,Add EMT building assignment in emergency,boundary,returnsaddEMTfrompage
11,returns add EMT from page:EMT form page,Add EMT building assignment in emergency,boundary,returnsaddEMTfrompage
12,Prints out the list of victims:Supervisors' emergency homepage,Add EMT building assignment in emergency,boundary,Supervisor
13,Prints out the list of victims:Triage category,Add EMT building assignment in emergency,entity,Triagecategory
14,Validates Input:Prints out the list of victims,Add EMT building assignment in emergency,control,Victim
15,Redirects to the building assignments page:Volunteer assignment and EMT assignment DB,Add EMT building assignment in emergency,boundary,EMT Building Assignment
16,Validates Input:submitted add EMT Form page,Add EMT building assignment in emergency,boundary,returnsaddEMTfrompage
17,returns add EMT from page:Validates Input,Add EMT building assignment in emergency,control,ValidatesInput
18,stl#User:Building Assignments Page,Add EMT building assignment in emergency,Stimulus,undefined
19,stl#User:EMT form page,Add EMT building assignment in emergency,Stimulus,undefined
20,stl#User:Supervisors' emergency homepage,Add EMT building assignment in emergency,Stimulus,undefined
21,stl#User:Building Assignments Page,Add EMT building assignment in emergency,Stimulus,undefined
22,stl#User:submitted add EMT Form page,Add EMT building assignment in emergency,Stimulus,undefined
23,stl#User:"Add EMT Assignment" button,Add EMT building assignment in emergency,Stimulus,undefined
24,Supervisor:Add building/hub button,Add buildings/hubs to the datbase,control,Building
25,Supervisor:null input informaiton error,Add buildings/hubs to the datbase,control,ValidatesInput
26,Supervisor:Input invalid error,Add buildings/hubs to the datbase,control,ValidatesInput
27,Supervisor:Manage bildings/hubs/disasters page,Add buildings/hubs to the datbase,control,Disaster
28,Supervisor:Building/hub form page,Add buildings/hubs to the datbase,control,Building
29,Add building/hub button:Redirects to the add building/hub form page,Add buildings/hubs to the datbase,control,Building
30,Building/hub form page:System validates input,Add buildings/hubs to the datbase,control,ValidatesInput
31,Redirects to the add building/hub form page:Building/hub form page,Add buildings/hubs to the datbase,control,Building
32,Input invalid error:Validates input as being correct,Add buildings/hubs to the datbase,control,ValidatesInput
33,System validates input:Input invalid error,Add buildings/hubs to the datbase,control,ValidatesInput
34,Insert the new record into db:building/hubdb,Add buildings/hubs to the datbase,control,Building
35,System validates input:Insert the new record into db,Add buildings/hubs to the datbase,entity,Transport Coordinator
36,Redirects to the management buildings/hubs/disasters page:Manage bildings/hubs/disasters page,Add buildings/hubs to the datbase,control,Disaster
37,System updates record in the database:Redirects to the management buildings/hubs/disasters page,Add buildings/hubs to the datbase,boundary,EMT Building Assignment
38,System updates record in the database:building/hubdb,Add buildings/hubs to the datbase,control,Building
39,Validates input as being correct:System updates record in the database,Add buildings/hubs to the datbase,control,System Boundary
40,Validates input as being correct:null input informaiton error,Add buildings/hubs to the datbase,control,ValidatesInput
41,stl#Supervisor:Add building/hub button,Add buildings/hubs to the datbase,Stimulus,undefined
42,stl#Supervisor:null input informaiton error,Add buildings/hubs to the datbase,Stimulus,undefined
43,stl#Supervisor:Input invalid error,Add buildings/hubs to the datbase,Stimulus,undefined
44,stl#Supervisor:Manage bildings/hubs/disasters page,Add buildings/hubs to the datbase,Stimulus,undefined
45,stl#Supervisor:Building/hub form page,Add buildings/hubs to the datbase,Stimulus,undefined
46,Supervisor:"add individual" button,Add individuals to the list of allowed users,control,ViewIndividualspage
47,Supervisor:View Individual's page,Add individuals to the list of allowed users,control,ViewIndividualspage
48,Supervisor:invalidate error message,Add individuals to the list of allowed users,control,ValidatesInput
49,Supervisor:OTP empty error message,Add individuals to the list of allowed users,boundary,returnsaddEMTfrompage
50,Supervisor:Add invidual form page,Add individuals to the list of allowed users,control,ViewIndividualspage
51,"add individual" button:redirects to the add individual form page,Add individuals to the list of allowed users,control,ViewIndividualspage
52,Add invidual form page:validates input,Add individuals to the list of allowed users,control,ValidatesInput
53,redirects to the add individual form page:Add invidual form page,Add individuals to the list of allowed users,control,ViewIndividualspage
54,Insert the new individual's record into db:Redirect View Individual's Page,Add individuals to the list of allowed users,control,ViewIndividualspage
55,Insert the new individual's record into db:individuals record db,Add individuals to the list of allowed users,control,ViewIndividualspage
56,validates input:Insert the new individual's record into db,Add individuals to the list of allowed users,control,ViewIndividualspage
57,Redirect View Individual's Page:send ot device,Add individuals to the list of allowed users,control,Victim
58,Redirect View Individual's Page:View Individual's page,Add individuals to the list of allowed users,control,ViewIndividualspage
59,receive and storate device id at local storage:individuals record db,Add individuals to the list of allowed users,control,ViewIndividualspage
60,validates input:invalidate error message,Add individuals to the list of allowed users,control,ValidatesInput
61,send ot device:receive and storate device id at local storage,Add individuals to the list of allowed users,control,ViewIndividualspage
62,stl#Supervisor:"add individual" button,Add individuals to the list of allowed users,Stimulus,undefined
63,stl#Supervisor:View Individual's page,Add individuals to the list of allowed users,Stimulus,undefined
64,stl#Supervisor:invalidate error message,Add individuals to the list of allowed users,Stimulus,undefined
65,stl#Supervisor:OTP empty error message,Add individuals to the list of allowed users,Stimulus,undefined
66,stl#Supervisor:Add invidual form page,Add individuals to the list of allowed users,Stimulus,undefined
67,Supervisor:View Individual's page,Add volunteers to the system,control,ViewIndividualspage
68,Supervisor:Add invidual form page,Add volunteers to the system,control,ViewIndividualspage
69,Supervisor:"add individual" button,Add volunteers to the system,control,ViewIndividualspage
70,Supervisor:invalidate error message,Add volunteers to the system,control,ValidatesInput
71,"add individual" button:redirects to the add individual form page,Add volunteers to the system,control,ViewIndividualspage
72,Add invidual form page:validates input,Add volunteers to the system,control,ValidatesInput
73,redirects to the add individual form page:Add invidual form page,Add volunteers to the system,control,ViewIndividualspage
74,Insert the new individual's record into db:generate one time pass (OTP) and send it to users,Add volunteers to the system,control,$help://use_case_model_pattern.htm
75,Insert the new individual's record into db:individuals record db,Add volunteers to the system,control,ViewIndividualspage
76,validates input:Insert the new individual's record into db,Add volunteers to the system,control,ViewIndividualspage
77,redirect to individua's page:View Individual's page,Add volunteers to the system,control,ViewIndividualspage
78,generate one time pass (OTP) and send it to users:redirect to individua's page,Add volunteers to the system,control,ViewIndividualspage
79,validates input:invalidate error message,Add volunteers to the system,control,ValidatesInput
80,stl#Supervisor:View Individual's page,Add volunteers to the system,Stimulus,undefined
81,stl#Supervisor:Add invidual form page,Add volunteers to the system,Stimulus,undefined
82,stl#Supervisor:"add individual" button,Add volunteers to the system,Stimulus,undefined
83,stl#Supervisor:invalidate error message,Add volunteers to the system,Stimulus,undefined
84,User:"Emergency" button,Add/Chose Disaster,boundary,EMT Building Assignment
