id,operation,element
1,Supervisor,Supervisor
2,EMTformpage,EMTformpage
3,Supervisorsemergencyhomepage,EMTformpage
4,returnsaddEMTfrompage,EMTformpage
5,Triagecategory,EMTformpage
6,ViewIndividualspage,EMTformpage
7,OTPemptyerrormessage,EMTformpage
8,volunteerhomepage,EMTformpage
9,Hospitalinformation,EMTformpage
10,Loginpage,EMTformpage
11,DeletePage,EMTformpage
12,UpdateVictimsAssignmentsFormPage,EMTformpage
13,OTPpage,EMTformpage
14,checklocalstorage,EMTformpage
15,FindVictimFormPage,EMTformpage
16,SearchResultPage,EMTformpage
17,Printsoutthelistofvictims,Printsoutthelistofvictims
18,Insertthenewrecordintodb,Printsoutthelistofvictims
19,addvictimbutton,Printsoutthelistofvictims
20,Categorizesthevictim,Printsoutthelistofvictims
21,ManagementvictimsEMTasignmentspage,Printsoutthelistofvictims
22,authenticatetheOTP,Printsoutthelistofvictims
23,Victiminformationpageiwthlistofvictimdetails,Printsoutthelistofvictims
24,Victiminfodb,Printsoutthelistofvictims
25,ValidatesInput,ValidatesInput
26,nullinputinformaitonerror,ValidatesInput
27,Systemupdatesrecordinthedatabase,ValidatesInput
28,addindividualbutton,ValidatesInput
29,validatetheatallfieldsarenonempty,ValidatesInput
30,victiminformationinputandmedicalinformationinput,ValidatesInput
31,RedirectViewIndividualsPage,RedirectViewIndividualsPage
32,Insertthenewindividualsrecordintodb,RedirectViewIndividualsPage
33,receiveandstoratedeviceidatlocalstorage,RedirectViewIndividualsPage
34,addindividualbutton,RedirectViewIndividualsPage
35,SystemredirectstoDisastepage,RedirectViewIndividualsPage
36,ishebreathingpage,RedirectViewIndividualsPage
37,Respirationperfusionmetalstatuspage,RedirectViewIndividualsPage
38,RedirecttoMedFPSSupervisorcoordinatehomepage,RedirectViewIndividualsPage
39,RedirecttomanagementEMTassignmentspage,RedirectViewIndividualsPage
40,Manageindividualsspagewithlistofindividualdetails,RedirectViewIndividualsPage
41,Redirecttothevictiminformationpagewithlistofvictimdetails,RedirectViewIndividualsPage
42,Emergencybutton,Emergencybutton
43,Supervisersemergencydisasterhomepage,Emergencybutton
44,Managebuildingshubsdisastersbutton,Emergencybutton
45,checkOTPenteredisnonempty,Emergencybutton
46,updatebutton,Emergencybutton
47,VlunteerDiasterHomepage,VlunteerDiasterHomepage
48,MedFPShomepage,VlunteerDiasterHomepage
49,Emptyusernameandpassworderrormessage,VlunteerDiasterHomepage
50,Authenticatetheusernameandpassword,VlunteerDiasterHomepage
51,managementassigmentsdetailspage,VlunteerDiasterHomepage
52,Managementbuildingshubdisasterspage,VlunteerDiasterHomepage
53,buildshubsdiastersdb,VlunteerDiasterHomepage
54,Transportcoordinatorshomepage,VlunteerDiasterHomepage
55,clearsdeviceIDofvolunteer,VlunteerDiasterHomepage
56,sendsOTPtovolunteersemailID,VlunteerDiasterHomepage
57,assignmentdetaildatabase,assignmentdetaildatabase
58,Systemupdatesrecordinthedatabase,assignmentdetaildatabase
59,authentificationfailuremessage,assignmentdetaildatabase
60,volunteerinfodatabase,assignmentdetaildatabase
61,Insertrecordintodb,Insertrecordintodb
62,Transportcoordinatorshomepage,Insertrecordintodb
63,Usernameandpassworddb,Insertrecordintodb
64,trackingrecorddatabase,Insertrecordintodb
