id,element,attributeNum,operationNum,instanceVarNum,externalOperNum,parameterNum,weightedOperNum,numberOfDerivedClasses,numberOfChildren,numberOfClassesInherited,depthInheritanceTree,numberOfDerivingClasses,isTopLevelClass,numberOfClassesInheritedFrom,numberOfInheritanceRelationships,numberOfAssociatedClasses,numberOfAssociatingClasses,numberOfAssociationRelationships,numberOfUsedClasses,numberOfUsingClasses,numberOfUsageRelationships,couplingBetweenObjects
1,Blog,0,4,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
2,Buyer Profile,0,3,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
3,Buyer Registration Form,0,3,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
4,Component,0,1,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
5,Medical Create Form,0,6,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
6,Medical Profile,0,4,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
7,Order,0,2,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
8,Review,0,1,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
9,Vender Profile,0,6,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
10,Vender Registration Form,0,7,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
11,Redirectadmintonewslettermainpage,0,8,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
12,Homepage,0,6,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
13,ClickUsersalluserstab,0,12,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
14,Selectatheme,0,4,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
