id,attribute,type,element
1,Date,EAJava_date,Data Service Configuration Form
2,UserID,EAJava_int,Data Service Configuration Form
3,Type,EAJava_String,Data Service Configuration Form
4,ConfigParameter,EAJava_String,Data Service Configuration Form
5,TotalFee,EAJava_float,Product Configuration
6,Date,EAJava_date,Product Configuration
7,UserID,EAJava_int,Product Configuration
8,ProductConfigurationID,EAJava_int,Product Configuration
9,Purchasing Type,EAJava_string,Product Configuration
10,FormID,EAJava_int,Product Configuration
11,signalDate,EAJava_float,Sensor Data Export File
12,TimeDuration,EAJava_float,Sensor Data Export File
13,Tick,EAJava_int,Sensor Data Export File
14,UserID,EAJava_int,Sensor Data Export File
15,Price,EAJava_float,Sensor Product Configuration Form
16,Quantity,EAJava_int,Sensor Product Configuration Form
17,Date,EAJava_date,Sensor Product Configuration Form
18,UserID,EAJava_int,Sensor Product Configuration Form
19,Config,EAJava_string,Sensor Product Configuration Form
20,SensorProductID,EAJava_int,Sensor Product Configuration Form
21,UserName,EAJava_string,User Account
22,UserPassword,EAJava_string,User Account
23,UserRegistrationDate,EAJava_date,User Account
24,UserEmail,EAJava_string,User Account
25,UserType,EAJava_string,User Account
