id,attribute,type,element
1,Client List,EAJava_void,Administrator
2,Email,EAJava_void,Administrator
3,Name,EAJava_void,Administrator
4,Phone,EAJava_void,Administrator
5,Type,EAJava_void,Administrator
6,User Name,EAJava_void,Administrator
7,User Password,EAJava_void,Administrator
8,Volunteer List,EAJava_void,Administrator
9,Client Name,EAJava_void,Appointment
10,Date,EAJava_void,Appointment
11,End time,EAJava_void,Appointment
12,Start time,EAJava_void,Appointment
13,Volunteer String,EAJava_void,Appointment
14,Email,EAJava_void,Client
15,List of Appointments,EAJava_void,Client
16,Name,EAJava_void,Client
17,Phone,EAJava_void,Client
18,Apply to volunteer page,EAJava_void,USC VITA
19,Before you come in page,EAJava_void,USC VITA
20,Email us page,EAJava_void,USC VITA
21,Event calendar page,EAJava_void,USC VITA
22,FAQs for client page,EAJava_void,USC VITA
23,FAQs for volunteer page,EAJava_void,USC VITA
24,General FAQs page,EAJava_void,USC VITA
25,History of USC VITA page,EAJava_void,USC VITA
26,Hours page,EAJava_void,USC VITA
27,Location page,EAJava_void,USC VITA
28,Make an appointment page,EAJava_void,USC VITA
29,Sponsor page,EAJava_void,USC VITA
30,Training session page,EAJava_void,USC VITA
31,USC VITA Committee page,EAJava_void,USC VITA
32,Volunteer schedule page,EAJava_void,USC VITA
33,Welcome page,EAJava_void,USC VITA
34,Why volunteer page,EAJava_void,USC VITA
35,Email,EAJava_void,Volunteer
36,List of Appointments,EAJava_void,Volunteer
37,Name,EAJava_void,Volunteer
38,Phone,EAJava_void,Volunteer
39,Contents,EAJava_void,Volunteer Application
40,Service Time,EAJava_void,Volunteer Application
41,Volunteer Email,EAJava_void,Volunteer Application
42,Volunteer Name,EAJava_void,Volunteer Application
43,Volunteer Phone,EAJava_void,Volunteer Application
