id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,Administrator,actor,5,0,Edit case,Edit case,
2,save case update information,control,1,1,Edit case,Edit case,
3,informatin invalid error message,boundary,0,3,Edit case,Edit case,
4,role,entity,0,1,Edit case,Edit case,
5,validate input information,control,2,1,Edit case,Edit case,
6,case information,entity,0,1,Edit case,Edit case,
7,case information edit page,boundary,1,4,Edit case,Edit case,
8,unauthorized error message,boundary,0,4,Edit case,Edit case,
9,display information edit page,control,1,1,Edit case,Edit case,
10,case,entity,0,1,Edit case,Edit case,
11,case information page,boundary,1,4,Edit case,Edit case,
12,validate role,control,3,2,Edit case,Edit case,
13,query detail of a case,control,2,1,Edit case,Edit case,
14,list of cases,boundary,1,3,Edit case,Edit case,
15,Case Manager,actor,6,0,Edit case,Edit case,
