id,element,useCase,type,outboundDegree,inboundDegree
1,User:Battle Scene,Fight Battle,0,undefined,undefined
2,User:Minimap,Fight Battle,0,undefined,undefined
3,Calculate Score:Achievements,Fight Battle,0,undefined,undefined
4,Move Army Closer:Battle,Fight Battle,0,undefined,undefined
5,Battle Scene:Check if weapon hit the army,Fight Battle,0,undefined,undefined
6,Destroy armyMan:Calculate Score,Fight Battle,0,undefined,undefined
7,Check if weapon hit the army:Destroy armyMan,Fight Battle,0,undefined,undefined
8,Check if weapon hit the army:Update Minimap,Fight Battle,0,undefined,undefined
9,Check if weapon hit the army:Move Army Closer,Fight Battle,0,undefined,undefined
10,Minimap:Update Minimap,Fight Battle,0,undefined,undefined
11,stl#User:Battle Scene,Fight Battle,0,undefined,undefined
12,stl#User:Minimap,Fight Battle,0,undefined,undefined
