id,operation,element
1,FeatureList,FeatureList
2,updatefeaturedetail,FeatureList
3,Addproviderbutton,Addproviderbutton
4,providerinformationinputpage,Addproviderbutton
5,Providercreatedsuccessmessage,Addproviderbutton
6,followunfollowbutton,Addproviderbutton
7,Searchprovidepage,Addproviderbutton
8,Displayallproviderbasedoncriteria,Addproviderbutton
9,EmailProtocol,Addproviderbutton
10,ratebutton,Addproviderbutton
11,Sharepricethroughpicturecapturebutton,Addproviderbutton
12,Errormessageforupdatefailure,Errormessageforupdatefailure
13,verifyinputmessage,Errormessageforupdatefailure
14,Forgottenusernameorpasswordlink,Errormessageforupdatefailure
15,updatetherecognizedinformationintodatabase,Errormessageforupdatefailure
16,inputinformationinvaliderrormessage,Errormessageforupdatefailure
17,Confirmdialog,Confirmdialog
18,Redirecttosearchpage,Redirecttosearchpage
19,Searchprovidepage,Redirecttosearchpage
20,Myaccountpage,Redirecttosearchpage
21,Loginpage,Redirecttosearchpage
22,Searchcrieteriainputpage,Redirecttosearchpage
23,sendemailincludingcredential,sendemailincludingcredential
24,OCRreadthemedicalinformation,sendemailincludingcredential
25,Price,Price
26,Sharepricebutton,Price
27,pricedetailinputpage,Price
28,verifyinputpriceinformation,Price
