id,element,useCase,type,component
1,Transport Coordinator:Building Assignments Page,Record victim transportation,control,assignmentdetaildatabase
2,Transport Coordinator:submitted add EMT Form page,Record victim transportation,boundary,EMTformpage
3,Transport Coordinator:EMT form page,Record victim transportation,boundary,EMTformpage
4,Transport Coordinator:Empty error message,Record victim transportation,boundary,EMTformpage
5,Transport Coordinator:Transport coordinator's homepage,Record victim transportation,control,VlunteerDiasterHomepage
6,Transport Coordinator:Building Assignments Page,Record victim transportation,control,assignmentdetaildatabase
7,Transport Coordinator:victim information input and medical information input,Record victim transportation,control,ValidatesInput
8,Building Assignments Page:Insert record into db,Record victim transportation,entity,Insertrecordintodb
9,Insert record into db:EMT form page,Record victim transportation,boundary,EMTformpage
10,Updates the database for building information:EMT form page,Record victim transportation,boundary,EMTformpage
11,Insert record into db:Empty error message,Record victim transportation,boundary,EMTformpage
12,Insert record into db:Hospital information,Record victim transportation,control,checkthebarcodeambulancenumberandhospitalinfo
13,Insert record into db:Updates the database for building information,Record victim transportation,control,assignmentdetaildatabase
14,check the barcode ambulance number and hospital info:Insert record into db,Record victim transportation,entity,Insertrecordintodb
15,Redirects to the transport coordinator's homepage:Triage category,Record victim transportation,boundary,EMTformpage
16,Redirects to the transport coordinator's homepage:Transport coordinator's homepage,Record victim transportation,entity,Insertrecordintodb
17,Updates the database for building information:Redirects to the transport coordinator's homepage,Record victim transportation,boundary,RedirectViewIndividualsPage
18,Updates the database for building information:submitted add EMT Form page,Record victim transportation,boundary,EMTformpage
19,victim information input and medical information input:check the barcode ambulance number and hospital info,Record victim transportation,control,checkthebarcodeambulancenumberandhospitalinfo
20,stl#Transport Coordinator:Building Assignments Page,Record victim transportation,Stimulus,undefined
21,stl#Transport Coordinator:submitted add EMT Form page,Record victim transportation,Stimulus,undefined
22,stl#Transport Coordinator:EMT form page,Record victim transportation,Stimulus,undefined
23,stl#Transport Coordinator:Empty error message,Record victim transportation,Stimulus,undefined
24,stl#Transport Coordinator:Transport coordinator's homepage,Record victim transportation,Stimulus,undefined
25,stl#Transport Coordinator:Building Assignments Page,Record victim transportation,Stimulus,undefined
26,stl#Transport Coordinator:victim information input and medical information input,Record victim transportation,Stimulus,undefined
