id,element,NOCH,DIT,CBO,NUMS,NCI,NCIF
1,User,0,0,0,0,0,0
2,Show Rank,0,0,0,0,0,0
3,Algortihm to scale,0,0,0,0,0,0
4,Update Rank,0,0,0,0,0,0
5,Score,0,0,0,0,0,0
6,Display score at end of battle,0,0,0,0,0,0
7,Calculate Score,0,0,0,0,0,0
8,Update Database,0,0,0,0,0,0
9,Count the number of enemies killed,0,0,0,0,0,0
10,User Account,0,0,0,0,0,0
11,Single Weapon ,0,0,0,0,0,0
12,Weapons Bar,0,0,0,0,0,0
13,Check if weapon availble,0,0,0,0,0,0
14,Display weapons,0,0,0,0,0,0
15,Choose a main weapon,0,0,0,0,0,0
16,Avatar's Page,0,0,0,0,0,0
17,Select Avatar,0,0,0,0,0,0
18,Avatars,0,0,0,0,0,0
19,Render Avatar,0,0,0,0,0,0
20,weapon available?,0,0,0,0,0,0
21,Weapon inventory,0,0,0,0,0,0
22,display weapons bar,0,0,0,0,0,0
23,display weapon icon,0,0,0,0,0,0
24,display greyed out weapon icon,0,0,0,0,0,0
25,Account Creation Page,0,0,0,0,0,0
26,Specify Credentials,0,0,0,0,0,0
27,display error message,0,0,0,0,0,0
28,Create Account,0,0,0,0,0,0
29,check password format,0,0,0,0,0,0
30,check if passwords match,0,0,0,0,0,0
31,check if account name is unique,0,0,0,0,0,0
32,Ar Mode,0,0,0,0,0,0
33,Not In Hawaii Mode,0,0,0,0,0,0
34,Check If In hawaii,0,0,0,0,0,0
35,Location,0,0,0,0,0,0
36,Render Mode,0,0,0,0,0,0
37,Battle Scene,0,0,0,0,0,0
38,Minimap ,0,0,0,0,0,0
39,Achievements,0,0,0,0,0,0
40,Move Army Closer,0,0,0,0,0,0
41,Battle,0,0,0,0,0,0
42,Check if weapon hit the army,0,0,0,0,0,0
43,Destroy armyMan,0,0,0,0,0,0
44,Update Minimap,0,0,0,0,0,0
45,ScoreCards,0,0,0,0,0,0
46,Retrieve Score,0,0,0,0,0,0
47,User Master,0,0,0,0,0,0
48,Increase Number of Army,0,0,0,0,0,0
49,Increase Opponenent Weapons,0,0,0,0,0,0
50,Increase Closing-in speed,0,0,0,0,0,0
51,Army men ,0,0,0,0,0,0
52,Algorithm,0,0,0,0,0,0
53,Make Difficult to hit,0,0,0,0,0,0
54,Increase Number of spawn,0,0,0,0,0,0
55,Time Elapsed,0,0,0,0,0,0
56,Get level,0,0,0,0,0,0
57,Get Number of tikimen killed in that round,0,0,0,0,0,0
58,Increase Speed,0,0,0,0,0,0
59,Doug's E-book,0,0,0,0,0,0
60,Check Location,0,0,0,0,0,0
61,Render the e-cook link,0,0,0,0,0,0
62,E-book,0,0,0,0,0,0
63,Login Page,0,0,0,0,0,0
64,Check Password,0,0,0,0,0,0
65,DIsplay error ,0,0,0,0,0,0
66,Enter Username and Password,0,0,0,0,0,0
67,Map,0,0,0,0,0,0
68,Check if the location is inside a geofence,0,0,0,0,0,0
69,Places,0,0,0,0,0,0
70,Get Location,0,0,0,0,0,0
71,VR Map,0,0,0,0,0,0
72,Select battle location,0,0,0,0,0,0
73,VR scene library,0,0,0,0,0,0
74,GPS,0,0,0,0,0,0
75,Fetch Lat Lon,0,0,0,0,0,0
76,Get army information,0,0,0,0,0,0
77,Enemy,0,0,0,0,0,0
78,Render Army around 360,0,0,0,0,0,0
79,Army,0,0,0,0,0,0
80,Render Background of the location,0,0,0,0,0,0
81,VR mode,0,0,0,0,0,0
82,if in Hawaii,0,0,0,0,0,0
83,If not in Hawaii,0,0,0,0,0,0
84,In Hawaii Mode,0,0,0,0,0,0
85,Check if in Hawaii or not,0,0,0,0,0,0
86,Check if the enemy is hit with the balll,0,0,0,0,0,0
87,Map view,0,0,0,0,0,0
88,Update the Database with all values,0,0,0,0,0,0
89,Achivements,0,0,0,0,0,0
90,Updated Army,0,0,0,0,0,0
91,Updated Minimap,0,0,0,0,0,0
92,Check for the number of tikimen killed,0,0,0,0,0,0
93,Destroy Enemy,0,0,0,0,0,0
94,Weapons Inventory,0,0,0,0,0,0
95,Flick Weapon,0,0,0,0,0,0
96,Decrease inventory count,0,0,0,0,0,0
97,Reduce Weapon Count,0,0,0,0,0,0
98,Show in-App purchases,0,0,0,0,0,0
99,Weapon,0,0,0,0,0,0
