NUM,UC,Tran_Num,Activity_Num,Actor_Num,Component_num,Boundary_Num,Control_Num,Entity_Num,EI,EQ,INT,DM,CTRL,EXTIVK,EXTCLL,TRAN_NA,NT,Avg_TL,Avg_TD, Avg_TC, Arch_Diff,SWTI,SWTII,SWTIII
1,Algorithm,1,5,0,4,2,2,0,0,0,1,0,1,0,1,0,1,2,2,1,0,4,10,9,7
2,Calculate score ,1,6,0,5,2,3,0,0,0,0,0,0,0,0,1,0,0,1.25,0,0,0,15,12,9
3,Change Weapon,2,9,0,7,2,4,1,0,0,0,0,0,0,0,2,0,0,1.8,0,0,0,10,9,7
4,Choose Avatar,2,5,0,4,1,2,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,15,12,9
5,Choose Weapon,0,7,0,7,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Create Account,4,9,0,8,2,6,0,0,0,0,0,0,0,0,4,0,0,1.6666666666666667,0,0,0,15,12,9
7,Determine AR/ VR mode,2,8,0,6,4,1,1,0,0,2,0,2,0,2,0,2,2,1,1,0,2,10,9,7
8,Fight Battle,4,12,0,10,2,6,2,0,0,0,0,0,0,0,4,0,0,1.1428571428571428,0,0,0,20,18,14
9,Get Score,2,5,0,4,1,0,3,0,0,0,0,0,0,0,2,0,0,1,0,0,0,15,12,9
10,Increase Difficulty accordingly,6,10,0,9,1,5,3,0,0,0,0,0,0,0,6,0,0,1.4444444444444444,0,0,0,10,9,7
11,Increase difficulty ,7,12,0,11,2,8,1,0,0,0,0,0,0,0,7,0,0,1.7096774193548387,0,0,0,10,10,9
12,Link the tourist spot to Doug's E-book,1,6,0,5,1,3,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,10,9,7
13,Login,1,6,0,5,2,3,0,0,0,0,0,0,0,0,1,0,0,1.6666666666666667,0,0,0,20,18,14
14,Navigate in AR Mode,3,7,0,6,3,1,2,0,0,0,0,0,0,0,3,0,0,1.4,0,0,0,15,12,9
15,Navigate in VR Mode,1,4,0,3,1,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,10,9,7
16,Play Ar mode,2,5,0,4,1,2,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,15,12,9
17,Render Army,0,3,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Render Battle Scene,1,7,0,6,1,3,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,10,9,7
19,Render Battle scene,2,9,0,7,2,5,0,0,0,0,0,0,0,0,2,0,0,1.6666666666666667,0,0,0,10,9,7
20,Render Intial Mode,2,8,0,6,2,4,0,0,0,0,0,0,0,0,2,0,0,1.6666666666666667,0,0,0,15,12,9
21,Render Minimap,2,4,0,3,1,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,10,9,7
22,Update Database,3,6,0,5,1,1,3,0,0,0,0,0,0,0,3,0,0,1,0,0,0,15,12,9
23,Update Screen,2,7,0,5,4,1,0,0,0,2,0,2,0,2,0,2,2,1,1,0,2,10,9,7
24,Use Weapon,2,7,0,6,1,3,2,0,0,0,0,0,0,0,2,0,0,1.25,0,0,0,15,12,9
25,Use Weapon,3,6,0,5,1,3,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,15,12,9
