id,element,NOCH,DIT,CBO,NUMS,NCI,NCIF
1,$help://actor.htm,0,0,0,0,0,0
2,$help://use_case_model_pattern.htm,0,0,0,0,0,0
3,$help://usecasediagram.htm,0,0,0,0,0,0
4,System Boundary,0,0,0,0,0,0
5,$help://domain_model_pattern.htm,0,0,0,0,0,0
6,Blog,0,0,0,0,0,0
7,Buyer Profile,0,0,0,0,0,0
8,Buyer Registration Form,0,0,0,0,0,0
9,Comment,0,0,0,0,0,0
10,Medical Create Form,0,0,0,0,0,0
11,Medical Profile,0,0,0,0,0,0
12,Order,0,0,0,0,0,0
13,Review,0,0,0,0,0,0
14,Vender Registration Form,0,0,0,0,0,0
15,Vendor Registration Form,0,0,0,0,0,0
16,postpage,0,0,0,0,0,0
17,Itemquantityfieldincart,0,0,0,0,0,0
18,notifyuser,0,0,0,0,0,0
