id,operation,element
1,helpactorhtm,$help://actor.htm
2,helpusecasemodelpatternhtm,$help://use_case_model_pattern.htm
3,helpusecasediagramhtm,$help://usecasediagram.htm
4,redirecttoselectthemepage,$help://usecasediagram.htm
5,SystemBoundary,System Boundary
6,sendemail,System Boundary
7,cartitem,System Boundary
8,helpdomainmodelpatternhtm,$help://domain_model_pattern.htm
9,mainpage,$help://domain_model_pattern.htm
10,Blog,Blog
11,postblogbutton,Blog
12,redirecttoblogpage,Blog
13,Confirmdialog,Blog
14,loginpage,Blog
15,BuyerProfile,Buyer Profile
16,addingproductinbuyinglist,Buyer Profile
17,Emailprotocol,Buyer Profile
18,product,Buyer Profile
19,BuyerRegistrationForm,Buyer Registration Form
20,buyinglist,Buyer Registration Form
21,notification,Buyer Registration Form
22,invalidinformationerror,Buyer Registration Form
23,Accountinformationpage,Buyer Registration Form
24,Comment,Comment
25,paymentmethodpage,Comment
26,finishpayment,Comment
27,MedicalCreateForm,Medical Create Form
28,redirecttothirdpartypaymentpage,Medical Create Form
29,displaycreatesuccessdialog,Medical Create Form
30,Clearcachedata,Medical Create Form
31,Userinfoupdatedmessage,Medical Create Form
32,invalidinfomessage,Medical Create Form
33,MedicalProfile,Medical Profile
34,changeunsaveddialog,Medical Profile
35,deletefaileddialog,Medical Profile
36,editbuttonforspecificproduct,Medical Profile
37,producteditpage,Medical Profile
38,Order,Order
39,unshippedordersbutton,Order
40,generateorders,Order
41,Review,Review
42,VenderRegistrationForm,Vender Registration Form
43,queryvendoremail,Vender Registration Form
44,sendnotification,Vender Registration Form
45,vendorsidebar,Vender Registration Form
46,userlistwitheditandremovebuttons,Vender Registration Form
47,vendordetailpage,Vender Registration Form
48,Noresultisfound,Vender Registration Form
49,sendconfirmationemail,Vender Registration Form
50,VendorRegistrationForm,Vendor Registration Form
51,listofvendors,Vendor Registration Form
52,Vendorapprovepage,Vendor Registration Form
53,vendoralreadyexistsmessage,Vendor Registration Form
54,redirectvendor,Vendor Registration Form
55,updatevendorinfo,Vendor Registration Form
56,postpage,postpage
57,Itemquantityfieldincart,Itemquantityfieldincart
58,notifyuser,notifyuser
59,userinfo,notifyuser
60,listofusers,notifyuser
61,queryuseremail,notifyuser
