id, function, functional, DET, FTR, boundaries, controls, entities, typeStr
1,User:Homepage,EQ,0,1,1,0,0,boundary
2,User:clicks on ��Add/edit status�� button-->clicks on ��Add/edit status�� button:enter user status message  and  add Motto-->enter user status message  and  add Motto:status message will be displayed -->status message will be displayed :clicks on ��Add/edit status�� button-->clicks on ��Add/edit status�� button:enter user status message  and  add Motto,EQ,0,5,5,0,0,boundary->boundary->boundary->boundary->boundary
3,User:clicks on ��Add/edit status�� button-->clicks on ��Add/edit status�� button:enter user status message  and  add Motto-->enter user status message  and  add Motto:status message will be displayed -->status message will be displayed :Homepage,EQ,1,4,4,0,0,boundary->boundary->boundary->boundary
4,User:clicks on ��Add/edit status�� button-->clicks on ��Add/edit status�� button:enter user status message  and  add Motto-->enter user status message  and  add Motto:Motto  db,EI,1,3,2,0,1,boundary->boundary->entity
5,User:Add goal page-->Add goal page:Add goal information-->Add goal information:Show confirmation page-->Show confirmation page:Homepage,EO,0,4,2,2,0,control->control->boundary->boundary
6,User:Add goal page-->Add goal page:Add goal information-->Add goal information:Show confirmation page-->Show confirmation page:Goal db,EQ,1,4,1,3,0,control->control->boundary->control
7,User:Add goal page-->Add goal page:Add goal information-->Add goal information:Show confirmation page-->Show confirmation page:Add goal page-->Add goal page:Add goal information,EQ,0,5,1,4,0,control->control->boundary->control->control
8,User:clicks on adds goals to his profile button-->clicks on adds goals to his profile button:add the goals to the database.-->add the goals to the database.:goals db,EI,0,3,1,2,0,boundary->control->control
9,User:clicks on adds goals to his profile button-->clicks on adds goals to his profile button:add the goals to the database.-->add the goals to the database.:display the goals on the member��s profile page.-->display the goals on the member��s profile page.:clicks on adds goals to his profile button-->clicks on adds goals to his profile button:add the goals to the database.,EQ,0,5,2,3,0,boundary->control->control->boundary->control
10,User:clicks on adds goals to his profile button-->clicks on adds goals to his profile button:add the goals to the database.-->add the goals to the database.:display the goals on the member��s profile page.-->display the goals on the member��s profile page.:Homepage,EQ,1,4,2,2,0,boundary->control->control->boundary
11,User:Add Motto page-->Add Motto page:Add Motto information-->Add Motto information:Show confirmation-->Show confirmation:Motto db,EI,2,4,0,2,2,entity->control->control->entity
12,User:Add Motto page-->Add Motto page:Add Motto information-->Add Motto information:Show confirmation-->Show confirmation:Homepage,EO,1,4,1,2,1,entity->control->control->boundary
13,User:Add Motto page-->Add Motto page:Add Motto information-->Add Motto information:Show confirmation-->Show confirmation:Add Motto page-->Add Motto page:Add Motto information,EQ,2,5,0,3,2,entity->control->control->entity->control
14,User:adds a member to his squad-->adds a member to his squad:check  number of members in database-->check  number of members in database:add that corresponding detail to the database-->add that corresponding detail to the database:display a message to the user stating -->display a message to the user stating :adds a member to his squad-->adds a member to his squad:check  number of members in database,EQ,0,6,0,6,0,control->control->control->control->control->control
15,User:adds a member to his squad-->adds a member to his squad:check  number of members in database-->check  number of members in database:add that corresponding detail to the database-->add that corresponding detail to the database:display a message to the user stating -->display a message to the user stating :Member db,EQ,1,5,0,5,0,control->control->control->control->control
16,User:adds a member to his squad-->adds a member to his squad:check  number of members in database-->check  number of members in database:add that corresponding detail to the database-->add that corresponding detail to the database:display a message to the user stating -->display a message to the user stating :Homepage,EO,1,5,1,4,0,control->control->control->control->boundary
17,User:adds a member to his squad-->adds a member to his squad:check  number of members in database-->check  number of members in database:add that corresponding detail to the database-->add that corresponding detail to the database:User database,EQ,0,4,0,4,0,control->control->control->control
18,User:adds a member to his squad-->adds a member to his squad:check  number of members in database-->check  number of members in database:User database,EQ,0,3,0,3,0,control->control->control
19,User:edit  one/more sacrifices -->edit  one/more sacrifices :edit the sacrifices to the database -->edit the sacrifices to the database :display the sacrifices for a task-->display the sacrifices for a task:edit  one/more sacrifices -->edit  one/more sacrifices :edit the sacrifices to the database ,EQ,0,5,0,5,0,control->control->control->control->control
20,User:edit  one/more sacrifices -->edit  one/more sacrifices :edit the sacrifices to the database -->edit the sacrifices to the database :display the sacrifices for a task-->display the sacrifices for a task:Homepage,EO,1,4,1,3,0,control->control->control->boundary
21,User:edit  one/more sacrifices -->edit  one/more sacrifices :edit the sacrifices to the database -->edit the sacrifices to the database :Sacrifices db,EQ,0,3,0,3,0,control->control->control
22,User:enters upto 5 tasks page-->enters upto 5 tasks page:entered tasks will be displayed in the ttBox -->entered tasks will be displayed in the ttBox :user will be prompted to enter sacrifices-->user will be prompted to enter sacrifices:Task db,EI,1,4,0,3,1,control->control->control->entity
23,User:enters upto 5 tasks page-->enters upto 5 tasks page:entered tasks will be displayed in the ttBox -->entered tasks will be displayed in the ttBox :user will be prompted to enter sacrifices-->user will be prompted to enter sacrifices:Show confirmation-->Show confirmation:enters upto 5 tasks page-->enters upto 5 tasks page:entered tasks will be displayed in the ttBox ,EQ,1,6,0,6,0,control->control->control->control->control->control
24,User:enters upto 5 tasks page-->enters upto 5 tasks page:entered tasks will be displayed in the ttBox -->entered tasks will be displayed in the ttBox :user will be prompted to enter sacrifices-->user will be prompted to enter sacrifices:Show confirmation-->Show confirmation:Task db,EI,2,5,0,4,1,control->control->control->control->entity
25,User:enters upto 5 tasks page-->enters upto 5 tasks page:entered tasks will be displayed in the ttBox -->entered tasks will be displayed in the ttBox :user will be prompted to enter sacrifices-->user will be prompted to enter sacrifices:Show confirmation-->Show confirmation:Homepage,EO,1,5,1,4,0,control->control->control->control->boundary
26,User:enters upto 5 tasks page-->enters upto 5 tasks page:entered tasks will be displayed in the ttBox -->entered tasks will be displayed in the ttBox :user will be prompted to enter sacrifices-->user will be prompted to enter sacrifices:Homepage,EO,1,4,1,3,0,control->control->control->boundary
27,User:Add status page-->Add status page:Add status information-->Add status information:Show confirmation-->Show confirmation:Status db,EI,1,4,1,2,1,boundary->control->control->entity
28,User:Add status page-->Add status page:Add status information-->Add status information:Show confirmation-->Show confirmation:Homepage,EQ,0,4,2,2,0,boundary->control->control->boundary
29,User:Add status page-->Add status page:Add status information-->Add status information:Show confirmation-->Show confirmation:Add status page-->Add status page:Add status information,EQ,0,5,2,3,0,boundary->control->control->boundary->control
30,User:clicks on ��Add/edit status�� button-->clicks on ��Add/edit status�� button:enter user status message  and  choose Motto or Free Speech-->enter user status message  and  choose Motto or Free Speech:status message will be displayed -->status message will be displayed :clicks on ��Add/edit status�� button-->clicks on ��Add/edit status�� button:enter user status message  and  choose Motto or Free Speech,EQ,0,5,5,0,0,boundary->boundary->boundary->boundary->boundary
31,User:clicks on ��Add/edit status�� button-->clicks on ��Add/edit status�� button:enter user status message  and  choose Motto or Free Speech-->enter user status message  and  choose Motto or Free Speech:status message will be displayed -->status message will be displayed :Homepage,EQ,1,4,4,0,0,boundary->boundary->boundary->boundary
32,User:clicks on ��Add/edit status�� button-->clicks on ��Add/edit status�� button:enter user status message  and  choose Motto or Free Speech-->enter user status message  and  choose Motto or Free Speech:status db,EI,1,3,2,0,1,boundary->boundary->entity
33,User:Edit sacrifices page-->Edit sacrifices page:Edit scacirfices infrormation-->Edit scacirfices infrormation:Show confirmation-->Show confirmation:Sacrifices db,EI,0,4,0,2,2,entity->control->control->entity
34,User:Edit sacrifices page-->Edit sacrifices page:Edit scacirfices infrormation-->Edit scacirfices infrormation:Show confirmation-->Show confirmation:Homepage,EO,0,4,1,2,1,entity->control->control->boundary
35,User:Edit sacrifices page-->Edit sacrifices page:Edit scacirfices infrormation-->Edit scacirfices infrormation:Show confirmation-->Show confirmation:Edit sacrifices page-->Edit sacrifices page:Edit scacirfices infrormation,EQ,1,5,0,3,2,entity->control->control->entity->control
36,User:Edit setting page-->Edit setting page:Edit settings-->Edit settings:Show confirmation-->Show confirmation:Homepage,EO,0,4,1,3,0,control->control->control->boundary
37,User:Edit task page-->Edit task page:Edit task page-->Edit task page:Show confirmation page-->Show confirmation page:task db,EI,1,4,0,1,3,entity->entity->control->entity
38,User:Edit task page-->Edit task page:Edit task page-->Edit task page:Show confirmation page-->Show confirmation page:Homepage,EO,0,4,1,1,2,entity->entity->control->boundary
39,User:Edit task page-->Edit task page:Edit task page-->Edit task page:Show confirmation page-->Show confirmation page:Edit task page-->Edit task page:Edit task page,EI,1,5,0,1,4,entity->entity->control->entity->entity
40,User:choose to edit  an already existing task-->choose to edit  an already existing task:show confirmation page-->show confirmation page:Homepage,EQ,1,3,2,1,0,boundary->control->boundary
41,User:choose to edit  an already existing task-->choose to edit  an already existing task:Task db,EI,1,2,1,0,1,boundary->entity
42,User:enters upto 5 tasks page-->enters upto 5 tasks page:entered tasks will be displayed in the ttBox -->entered tasks will be displayed in the ttBox :user will be prompted to enter sacrifices-->user will be prompted to enter sacrifices:display tasks page-->display tasks page:enters upto 5 tasks page-->enters upto 5 tasks page:entered tasks will be displayed in the ttBox ,EQ,1,6,0,3,3,entity->control->control->entity->entity->control
