id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,Sign up message,boundary,0,3,Sign Up,Sign Up,
2,Home page,boundary,0,2,Sign Up,Sign Up,
3,Log in user,control,1,1,Sign Up,Sign Up,
4,Account,entity,0,1,Sign Up,Sign Up,
5,Create account,control,3,1,Sign Up,Sign Up,
6,checks required fields,control,2,1,Sign Up,Sign Up,
7,check username/email exist,control,2,1,Sign Up,Sign Up,
8,Submit button,boundary,1,1,Sign Up,Sign Up,
9,Sign up form,boundary,0,1,Sign Up,Sign Up,
10,Language learner,actor,4,0,Sign Up,Sign Up,
