id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,call finishs and display call details,control,1,1,Call customers,Call customers,
2,thirdparty call agency,actor,1,1,Call customers,Call customers,
3,call details,boundary,0,2,Call customers,Call customers,
4,make a phone call,control,2,1,Call customers,Call customers,
5,softphone screen,boundary,1,3,Call customers,Call customers,
6,pop softphone screen,control,1,1,Call customers,Call customers,
7,lead detail,boundary,1,2,Call customers,Call customers,
8,query lead information,control,2,1,Call customers,Call customers,
9,leads list,boundary,1,2,Call customers,Call customers,
10,lead,entity,0,2,Call customers,Call customers,
11,query leads list,control,2,1,Call customers,Call customers,
12,show leads list,boundary,1,2,Call customers,Call customers,
13,login info,entity,0,1,Call customers,Call customers,
14,check login information,control,2,1,Call customers,Call customers,
15,login page,boundary,1,1,Call customers,Call customers,
16,User Agent,actor,6,0,Call customers,Call customers,
