id,element,NOCH,DIT,CBO,NUMS,NCI,NCIF
1,User,undefined,undefined,undefined,undefined,undefined,undefined
2,selecttheappropriatepostings,undefined,undefined,undefined,undefined,undefined,undefined
3,clicksubmitbutton,undefined,undefined,undefined,undefined,undefined,undefined
4,Homepage,undefined,undefined,undefined,undefined,undefined,undefined
5,uploadrelevantdocuments,undefined,undefined,undefined,undefined,undefined,undefined
6,fillsoutalloftherequireddatacorrectly,undefined,undefined,undefined,undefined,undefined,undefined
7,Accountdb,undefined,undefined,undefined,undefined,undefined,undefined
8,markstheuseraseitherqualifiedunqualifiedorprocessing,undefined,undefined,undefined,undefined,undefined,undefined
9,Showconfirmation,undefined,undefined,undefined,undefined,undefined,undefined
10,Website Viewer,undefined,undefined,undefined,undefined,undefined,undefined
11,Object1,undefined,undefined,undefined,undefined,undefined,undefined
