NUM, UC, total_links, actor_num, boundary_num, control_num, entity_num, element_num, DM, INT, CTRL, EXTIVK, EXTCLL, TRAN_NA, TN, EI, EO, EQ, FUNC_NA, FN, average_degree,average_path_length,ArchDiff,PathNum
1,Create Navigation Instructions,10,1,3,4,1,9,2,1,3,0,0,0,3,1,0,0,0,0,1.1111111111111112,5,5.555555555555555,3
2,Create sensor instructions,10,1,3,4,1,9,2,1,3,0,0,0,3,1,0,0,0,0,1.1111111111111112,5,5.555555555555555,3
3,Create light instructions,10,1,3,4,1,9,2,1,3,0,0,0,3,1,0,0,0,0,1.1111111111111112,5,5.555555555555555,3
4,Create sound instructions,10,1,3,4,1,9,2,1,3,0,0,0,3,1,0,0,0,0,1.1111111111111112,5,5.555555555555555,3
5,New/Open File,10,1,3,3,1,8,1,2,3,0,0,0,3,2,0,0,0,0,1.25,4,5,3
6,Save File,9,1,3,3,1,8,2,1,3,0,0,0,3,1,0,0,0,0,1.125,4.333333333333333,4.875,3
7,Translate to C,5,2,2,1,0,5,1,0,2,1,0,0,2,0,0,0,0,0,1,4,4,2
8,Compile,7,2,3,1,0,6,2,0,3,1,0,0,3,0,0,0,0,0,1.1666666666666667,4,4.666666666666667,3
9,Loading the executable file,9,1,3,3,1,8,2,0,2,0,0,1,2,0,0,0,0,0,1.125,4,4.5,3
10,Demo,10,1,3,3,1,8,2,1,3,0,0,0,3,1,0,0,0,0,1.25,4.333333333333333,5.416666666666666,3
