id,element,type,outbound_degree,inbound_degree,diagram,useCase
1,Program is updated message,boundary,0,2,Create Navigation Instructions,Create Navigation Instructions
2,instructions,entity,0,1,Create Navigation Instructions,Create Navigation Instructions
3,save parameters,control,2,1,Create Navigation Instructions,Create Navigation Instructions
4,change the parameters of the elements,control,1,1,Create Navigation Instructions,Create Navigation Instructions
5,parameter set dialog,boundary,1,2,Create Navigation Instructions,Create Navigation Instructions
6,popup parameter change dialog,control,1,1,Create Navigation Instructions,Create Navigation Instructions
7,display the dragged and dropped navigation instructions,control,1,1,Create Navigation Instructions,Create Navigation Instructions
8,navigation instruction create panel,boundary,1,1,Create Navigation Instructions,Create Navigation Instructions
9,User,actor,3,0,Create Navigation Instructions,Create Navigation Instructions
10,Program is updated message,boundary,0,2,Create sensor instructions,Create sensor instructions
11,sensor,entity,0,1,Create sensor instructions,Create sensor instructions
12,save parameters,control,2,1,Create sensor instructions,Create sensor instructions
13,change the parameters of the elements,control,1,1,Create sensor instructions,Create sensor instructions
14,parameter set dialog,boundary,1,2,Create sensor instructions,Create sensor instructions
15,popup parameter change dialog,control,1,1,Create sensor instructions,Create sensor instructions
16,display the dragged and dropped instructions,control,1,1,Create sensor instructions,Create sensor instructions
17,sensor instruction create panel,boundary,1,1,Create sensor instructions,Create sensor instructions
18,User,actor,3,0,Create sensor instructions,Create sensor instructions
19,Program is updated message,boundary,0,2,Create light instructions,Create light instructions
20,light,entity,0,1,Create light instructions,Create light instructions
21,save parameters,control,2,1,Create light instructions,Create light instructions
22,change the parameters of the elements,control,1,1,Create light instructions,Create light instructions
23,parameter set dialog,boundary,1,2,Create light instructions,Create light instructions
24,popup parameter change dialog,control,1,1,Create light instructions,Create light instructions
25,display the dragged and dropped instructions,control,1,1,Create light instructions,Create light instructions
26,light instruction create panel,boundary,1,1,Create light instructions,Create light instructions
27,User,actor,3,0,Create light instructions,Create light instructions
28,Program is updated message,boundary,0,2,Create sound instructions,Create sound instructions
29,sound,entity,0,1,Create sound instructions,Create sound instructions
30,save parameters,control,2,1,Create sound instructions,Create sound instructions
31,change the parameters of the elements,control,1,1,Create sound instructions,Create sound instructions
32,parameter set dialog,boundary,1,2,Create sound instructions,Create sound instructions
33,popup parameter change dialog,control,1,1,Create sound instructions,Create sound instructions
34,display the dragged and dropped instructions,control,1,1,Create sound instructions,Create sound instructions
35,sound instruction create panel,boundary,1,1,Create sound instructions,Create sound instructions
36,User,actor,3,0,Create sound instructions,Create sound instructions
37,File selector,boundary,1,2,New/Open File,New/Open File
38,file,entity,0,2,New/Open File,New/Open File
39,open file,control,1,1,New/Open File,New/Open File
40,display file selector,control,1,1,New/Open File,New/Open File
41,open file button,boundary,1,2,New/Open File,New/Open File
42,create new file,control,2,1,New/Open File,New/Open File
43,New file button,boundary,1,1,New/Open File,New/Open File
44,User,actor,3,0,New/Open File,New/Open File
45,File save success,boundary,0,2,Save File,Save File
46,file,entity,0,1,Save File,Save File
47,save file,control,1,1,Save File,Save File
48,validate filename,control,2,1,Save File,Save File
49,file information input page,boundary,1,2,Save File,Save File
50,popup file information save dialog,control,1,1,Save File,Save File
51,Save file button,boundary,1,1,Save File,Save File
52,User,actor,3,0,Save File,Save File
53,C++ compiler,actor,0,1,Translate to C,Translate to C
54,compile success message,boundary,1,2,Translate to C,Translate to C
55,compile with C++,control,2,1,Translate to C,Translate to C
56,Build button,boundary,1,1,Translate to C,Translate to C
57,User,actor,3,0,Translate to C,Translate to C
58,Compiling success message,boundary,0,2,Compile,Compile
59,WinAVR,actor,0,1,Compile,Compile
60,Compiling progress bar,boundary,0,2,Compile,Compile
61,compile C/C++,control,3,1,Compile,Compile
62,Build button,boundary,1,1,Compile,Compile
63,User,actor,3,0,Compile,Compile
64,Display compiling message,control,1,1,Loading the executable file,Loading the executable file
65,Load program to microcontroller,control,1,1,Loading the executable file,Loading the executable file
66,File,entity,0,1,Loading the executable file,Loading the executable file
67,Compiling success message,boundary,0,2,Loading the executable file,Loading the executable file
68,File selector,boundary,2,2,Loading the executable file,Loading the executable file
69,display file selector,control,2,1,Loading the executable file,Loading the executable file
70,Load button,boundary,1,1,Loading the executable file,Loading the executable file
71,User,actor,3,0,Loading the executable file,Loading the executable file
72,demo is saved message,boundary,0,2,Demo,Demo
73,demo,entity,0,1,Demo,Demo
74,save demo instructions,control,2,2,Demo,Demo
75,demo selector,boundary,2,2,Demo,Demo
76,popup demo change dialog,control,1,1,Demo,Demo
77,display the dragged and dropped demo instructions,control,1,1,Demo,Demo
78,demo instruction create panel,boundary,1,1,Demo,Demo
79,User,actor,3,0,Demo,Demo
