NUM,UC,Tran_Num,Activity_Num,Actor_Num,Component_num,Boundary_Num,Control_Num,Entity_Num,EI,EQ,INT,DM,CTRL,EXTIVK,EXTCLL,TRAN_NA,NT,Avg_TL,Avg_TD, Avg_TC, Avg_DETs, Arch_Diff,EI,EO,EQ,FN,SWTI,SWTII,SWTIII
1,Algorithm,1,5,0,4,0,4,0,0,0,0,0,1,0,0,0,1,2,3,1,1,6,0,0,3,1,1.0148,1.074,1.1668
2,Calculate score ,1,6,0,5,4,0,1,0,0,0,0,0,0,0,1,0,0,2.3333333333333335,0,0,0,0,0,4,1,1.0148,1.1757,1.2143
3,Change Weapon,2,9,0,7,0,0,7,0,0,0,0,0,0,0,2,0,0,15,0,0,0,0,0,7,2,2.0296,6.0232,4.0246
4,Choose Avatar,2,5,0,4,4,0,0,0,0,0,0,0,0,0,2,0,0,12,0,0,0,0,0,8,2,2.0296,6.0232,4.0246
5,Choose Weapon,0,7,0,7,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Create Account,4,9,0,8,3,5,0,0,0,0,0,0,0,0,4,0,0,2.230769230769231,0,0,0,0,0,16,4,4.0592,6.2336,6.514200000000001
7,Determine AR/ VR mode,2,8,0,6,5,1,0,0,0,2,0,2,0,2,0,2,2,2,1,1,4,0,0,6,2,2.0296,2.148,2.3336
8,Fight Battle,4,12,0,10,6,1,3,0,0,0,0,0,0,0,4,0,0,2.5,0,0,0,0,0,15,4,4.0592,5.3344,4.7622
9,Get Score,2,5,0,4,3,0,1,0,0,0,0,0,0,0,2,0,0,5.333333333333333,0,0,0,0,0,8,2,2.0296,4.1873000000000005,3.1791
10,Increase Difficulty accordingly,6,10,0,9,2,4,3,0,0,0,0,0,0,0,6,0,0,2.375,0,0,0,0,0,23,6,6.0888,6.5457,7.048300000000001
11,Increase difficulty ,7,12,0,11,2,8,1,0,0,0,0,0,0,0,7,0,0,2.107142857142857,0,0,0,0,0,31,7,7.1036,12.635,12.051599999999999
12,Link the tourist spot to Doug's E-book,1,6,0,5,1,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,1,1.0148,1.074,1.1668
13,Login,1,6,0,5,3,2,0,0,0,0,0,0,0,0,1,0,0,4.666666666666667,0,0,0,0,0,4,1,1.0148,5.0584,5.0833
14,Navigate in AR Mode,3,7,0,6,1,4,1,0,0,0,0,0,0,0,3,0,0,3.375,0,0,0,0,0,12,3,3.0443999999999996,4.2604,3.5953999999999997
15,Navigate in VR Mode,1,4,0,3,1,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,1,1.0148,1.074,1.1668
16,Play Ar mode,2,5,0,4,2,2,0,0,0,0,0,0,0,0,2,0,0,1.8,0,0,0,0,0,8,2,2.0296,2.148,2.3336
17,Render Army,0,3,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Render Battle Scene,1,7,0,6,2,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,1,1.0148,1.074,1.1668
19,Render Battle scene,2,9,0,7,2,5,0,0,0,0,0,0,0,0,2,0,0,3.4,0,0,0,0,0,7,2,2.0296,3.0846999999999998,2.3811
20,Render Intial Mode,2,8,0,6,0,6,0,0,0,0,0,2,0,0,0,2,4,5,2,3,20,0,0,8,2,2.0296,4.0214,2.4286
21,Render Minimap,2,4,0,3,2,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,6,2,2.0296,2.148,2.3336
22,Update Database,3,6,0,5,3,0,2,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,12,3,3.0443999999999996,3.2220000000000004,3.5004
23,Update Screen,2,7,0,5,4,1,0,0,0,2,0,2,0,2,0,2,2,2,1,1,4,0,0,6,2,2.0296,2.148,2.3336
24,Use Weapon,2,7,0,6,0,1,5,0,0,0,0,0,0,0,2,0,0,12,0,0,0,0,0,8,2,2.0296,10.1168,6.0276
25,Use Weapon,3,6,0,5,1,1,3,0,0,0,0,0,0,0,3,0,0,2.7142857142857144,0,0,0,0,0,12,3,3.0443999999999996,3.4254,3.5004
