id,element,useCase,type,component
1,User:404 Forbidden page,view case studies,control,pdfformatisnotvalidmessage
2,User:"Relevant Case Studies" button,view case studies,control,Listofcasestudieis
3,User:"Case Studies" content,view case studies,control,Listofcasestudieis
4,Display "case studies" content:"Case Studies" content,view case studies,control,Listofcasestudieis
5,"Relevant Case Studies" button:Check the user's permission,view case studies,control,User
6,Check the user's permission:"Relevant Case Studies" button,view case studies,control,Listofcasestudieis
7,Direct to micro website management:404 Forbidden page,view case studies,control,pdfformatisnotvalidmessage
8,check permission:404 Forbidden page,view case studies,control,pdfformatisnotvalidmessage
9,Check the user's permission:check permission,view case studies,entity,microwebsiteform
10,Deactivate the link:Micro website,view case studies,entity,microwebsiteform
11,Deactivate the link:Direct to micro website management,view case studies,entity,microwebsiteform
12,Display "case studies" content:Deactivate the link,view case studies,control,pdfformatisnotvalidmessage
13,Display "case studies" content:Micro website,view case studies,entity,microwebsiteform
14,check permission:Display "case studies" content,view case studies,control,Listofcasestudieis
15,stl#User:404 Forbidden page,view case studies,Stimulus,undefined
16,stl#User:"Relevant Case Studies" button,view case studies,Stimulus,undefined
17,stl#User:"Case Studies" content,view case studies,Stimulus,undefined
