id,element,useCase,type,component
1,Supervisor:View Individual's page,Add volunteers to the system,control,ViewIndividualspage
2,Supervisor:Add invidual form page,Add volunteers to the system,control,ViewIndividualspage
3,Supervisor:"add individual" button,Add volunteers to the system,control,ViewIndividualspage
4,Supervisor:invalidate error message,Add volunteers to the system,control,ValidatesInput
5,"add individual" button:redirects to the add individual form page,Add volunteers to the system,control,ViewIndividualspage
6,Add invidual form page:validates input,Add volunteers to the system,control,ValidatesInput
7,redirects to the add individual form page:Add invidual form page,Add volunteers to the system,control,ViewIndividualspage
8,Insert the new individual's record into db:generate one time pass (OTP) and send it to users,Add volunteers to the system,control,$help://use_case_model_pattern.htm
9,Insert the new individual's record into db:individuals record db,Add volunteers to the system,control,ViewIndividualspage
10,validates input:Insert the new individual's record into db,Add volunteers to the system,control,ViewIndividualspage
11,redirect to individua's page:View Individual's page,Add volunteers to the system,control,ViewIndividualspage
12,generate one time pass (OTP) and send it to users:redirect to individua's page,Add volunteers to the system,control,ViewIndividualspage
13,validates input:invalidate error message,Add volunteers to the system,control,ValidatesInput
14,stl#Supervisor:View Individual's page,Add volunteers to the system,Stimulus,undefined
15,stl#Supervisor:Add invidual form page,Add volunteers to the system,Stimulus,undefined
16,stl#Supervisor:"add individual" button,Add volunteers to the system,Stimulus,undefined
17,stl#Supervisor:invalidate error message,Add volunteers to the system,Stimulus,undefined
