id,element,useCase,type,component
1,User:Rating input page,Rate a provider,boundary,Rating and review information
2,User:rate button,Rate a provider,boundary,ratebutton
3,User:Search provider page,Rate a provider,boundary,Provider Profile
4,Display all provider based on criteria:Provider,Rate a provider,boundary,Provider Profile
5,Display all provider based on criteria:rate button,Rate a provider,boundary,ratebutton
6,Search provider page:Display all provider based on criteria,Rate a provider,boundary,Provider Profile
7,Display rating input page:Redirect to search page,Rate a provider,control,$help://usecasediagram.htm
8,Display rating input page:Rating input page,Rate a provider,boundary,Rating and review information
9,rate button:Display rating input page,Rate a provider,boundary,Rating and review information
10,Update provider rating information:Rating,Rate a provider,boundary,Rating and review information
11,Rating input page:Update provider rating information,Rate a provider,boundary,Rating and review information
12,Redirect to search page:Search provider page,Rate a provider,boundary,Provider Profile
13,stl#User:Rating input page,Rate a provider,Stimulus,undefined
14,stl#User:rate button,Rate a provider,Stimulus,undefined
15,stl#User:Search provider page,Rate a provider,Stimulus,undefined
