id,operation,element
1,getModel,BaseController
2,getRequest,BaseController
3,getResponse,BaseController
4,init,BaseController
5,viewSCProfile,Doctor
6,searchSC,Doctor
7,createReservation,Doctor
8,submitReservation,Doctor
9,cancelReservation,Doctor
10,viewHistoryReservation,Doctor
11,addDoctor,DoctorController
12,updateDoctor,DoctorController
13,getDoctorById,DoctorController
14,getDoctorByLicense,DoctorController
15,displayDoctorByProfile,DoctorController
16,editUser(),Maintainer
17,editPayment(),Maintainer
18,editReservation(),Maintainer
19,generateReport(),Maintainer
20,reminderdb,Maintainer
21,Payment,Payment
22,Displayamessageshowingthatthepaymenthasbeenmadesuccessfully,Payment
23,addPayment,PaymentController
24,updatePayment,PaymentController
25,cancelPayment,PaymentController
26,personalhomepage,PaymentController
27,displayrolechangedmessage,PaymentController
28,changeStatus,Reservation
29,Listofallsubmittedreservations,Reservation
30,reservationinfo,Reservation
31,displayamessageaboutcancelreservation,Reservation
32,Deniedtransactionmessage,Reservation
33,Validateinformationinput,Reservation
34,Usernotification,Reservation
35,showdeclinedrequestionmessage,Reservation
36,setupreminder,Reservation
37,Viewreservationschedulebutton,Reservation
38,Listofregistrationrequests,Reservation
39,DisplayAreservationreportofselectedtimeperiod,Reservation
40,approveReservation,ReservationController
41,declineReservation,ReservationController
42,addToPending,ReservationController
43,addToApproved,ReservationController
44,addToDeclined,ReservationController
45,deleteFromApproved,ReservationController
46,deleteFromPending,ReservationController
47,deleteFromDeclined,ReservationController
48,displayReservation,ReservationController
49,confirmationmessage,ReservationController
50,Viewunconfirmedreservationrequestsbutton,ReservationController
51,roleeditionpage,ReservationController
52,Therrequiretedinformationisnotcomplete,ReservationController
53,newuseraccountiscreatedmessage,ReservationController
54,Displaymessageabouttheapprovedtransaction,ReservationController
55,Notifytheuserthatprofilehasbeenupdated,ReservationController
56,addSC,SCController
57,updateSC,SCController
58,getSCById,SCController
59,getSCByName,SCController
60,getSCByDuration,SCController
61,getSCByDistance,SCController
62,getReservations(),SCController
63,displaySCProfile,SCController
64,Roleinfo,SCController
65,editrole,SCController
66,getSC,ScheduleController
67,getSlotList,ScheduleController
68,getSlotByTime,ScheduleController
69,getSlotByDuration,ScheduleController
70,approveReservations,ScheduleController
71,assignSlotToDoctor,ScheduleController
72,declineReservation,ScheduleController
73,updateReservation,ScheduleController
74,diplaySlot,ScheduleController
75,Checkwebpagecompleteness,ScheduleController
76,Slot,Slot
77,Surgicalslotinfo,Slot
78,Specialists,Specialists
79,Displayalistofcurrentusers,Specialists
80,Status,Status
81,postSlot,SurgeryCenter
82,updateSlot,SurgeryCenter
83,viewCurrentSlot,SurgeryCenter
84,approveReservation,SurgeryCenter
85,declineReservation,SurgeryCenter
86,viewDProfile,SurgeryCenter
87,successmessage,SurgeryCenter
88,Displayamessageaboutthesurgicalslotupdate,SurgeryCenter
89,Surgerycenterlist,SurgeryCenter
90,Queryallavailableuptodatesurgicalslot,SurgeryCenter
91,checkthesurgicalslotbythecriteria,SurgeryCenter
92,SurgicalrequestInfo,SurgeryCenter
93,sendEmail,SystemController
94,searchSC,SystemController
95,approveReservation,SystemController
96,declineReservation,SystemController
97,postSlot,SystemController
98,generateReport,SystemController
99,login,User
100,logout,User
101,signUp,User
102,updateOwnProfile,User
103,createOwnProfile,User
104,makePayment,User
105,UserInfo,User
106,Userprofile,User
107,getUserById,userController
108,addUser,userController
109,deleteUser,userController
110,updateUser,userController
111,verifyAccount,userController
112,displayuserprofiletouser,userController
113,useprofileinfo,userController
114,ProxyConnector,ProxyConnector
115,Promptfordeclinereasoninput,ProxyConnector
116,helpusecasemodelpatternhtm,$help://use_case_model_pattern.htm
117,Validateusernameandpassword,$help://use_case_model_pattern.htm
118,helpusecasediagramhtm,$help://usecasediagram.htm
119,redirecttheusertotheirpersonalhomepage,$help://usecasediagram.htm
120,helpactorhtm,$help://actor.htm
121,SystemBoundary,System Boundary
122,requiredfieldsmissingprompt,requiredfieldsmissingprompt
123,profileinfo,requiredfieldsmissingprompt
124,thefieldsarenotcompletemessage,requiredfieldsmissingprompt
125,Updatebuttonandrequiredfields,requiredfieldsmissingprompt
126,approavearequest,requiredfieldsmissingprompt
127,Requestinfo,requiredfieldsmissingprompt
128,Loginbutton,Loginbutton
129,disabletheusersprivilegetologin,Loginbutton
130,notallowedtologinmessage,Loginbutton
131,ViewCurrentUsersButton,Loginbutton
132,Addnewrolebutton,Loginbutton
133,Createasurgicalslotpostingbutton,Loginbutton
134,Setupareminderbutton,Loginbutton
135,ViewReportbutton,Loginbutton
136,declinemessage,declinemessage
137,declinebuttonintherequestlist,declinemessage
138,Surgicalslotslistandnecessaryinformation,declinemessage
139,submitsuccessmessage,declinemessage
140,Profileinfopage,declinemessage
141,Theupdaterequestfailedmessage,declinemessage
142,newuseraccountiscreatedmessage,declinemessage
143,Displaymessageabouttheapprovedtransaction,declinemessage
144,displayrolechangedmessage,declinemessage
