id,element,useCase,type,component
1,Administrator:unauthorized access error,Mass Email,boundary,Account
2,Administrator:Email sent success message,Mass Email,control,Case_email
3,Administrator:send email page,Mass Email,control,Case_email
4,Administrator:User group list,Mass Email,entity,Groups
5,Administrator:unauthorized error message,Mass Email,entity,Manager
6,Case manager:unauthorized access error,Mass Email,boundary,Account
7,Case manager:unauthorized error message,Mass Email,entity,Manager
8,Case manager:send email page,Mass Email,control,Case_email
9,Case manager:Email sent success message,Mass Email,control,Case_email
10,Case manager:User group list,Mass Email,entity,Groups
11,send email:Email protocol,Mass Email,control,Case_email
12,General staff:send email page,Mass Email,control,Case_email
13,General staff:User group list,Mass Email,entity,Groups
14,General staff:Email sent success message,Mass Email,control,Case_email
15,General staff:unauthorized error message,Mass Email,entity,Manager
16,General staff:unauthorized access error,Mass Email,boundary,Account
17,Add activities to case:Case,Mass Email,entity,Cases
18,Add activities to case:Email sent success message,Mass Email,control,Case_email
19,Add activities to case:unauthorized access error,Mass Email,boundary,Account
20,send email:Add activities to case,Mass Email,control,Cases_Activities
21,User group list:validate role of user,Mass Email,control,Limited_User
22,load email template:email template,Mass Email,control,Email Template
23,find email address of the selected youth:user,Mass Email,entity,Users
24,find email address of the selected youth:load email template,Mass Email,control,Email Template
25,validate role of user:find email address of the selected youth,Mass Email,control,Case_addresses
26,load email template:send email page,Mass Email,control,Case_email
27,send email page:send email,Mass Email,control,Case_email
28,validate role of user:unauthorized error message,Mass Email,entity,Manager
29,stl#Administrator:unauthorized access error,Mass Email,Stimulus,undefined
30,stl#Administrator:Email sent success message,Mass Email,Stimulus,undefined
31,stl#Administrator:send email page,Mass Email,Stimulus,undefined
32,stl#Administrator:User group list,Mass Email,Stimulus,undefined
33,stl#Administrator:unauthorized error message,Mass Email,Stimulus,undefined
34,stl#Case manager:unauthorized access error,Mass Email,Stimulus,undefined
35,stl#Case manager:unauthorized error message,Mass Email,Stimulus,undefined
36,stl#Case manager:send email page,Mass Email,Stimulus,undefined
37,stl#Case manager:Email sent success message,Mass Email,Stimulus,undefined
38,stl#Case manager:User group list,Mass Email,Stimulus,undefined
39,stl#General staff:send email page,Mass Email,Stimulus,undefined
40,stl#General staff:User group list,Mass Email,Stimulus,undefined
41,stl#General staff:Email sent success message,Mass Email,Stimulus,undefined
42,stl#General staff:unauthorized error message,Mass Email,Stimulus,undefined
43,stl#General staff:unauthorized access error,Mass Email,Stimulus,undefined
