D3,bayesian_mmre,bayesian_pred15,bayesian_pred25,bayesian_pred50,apriori_mmre,apriori_pred15,apriori_pred25,apriori_pred50,original_mmre,original_pred15,original_pred25,original_pred50,regression_mmre,regression_pred15,regression_pred25,regression_pred50
,-3.2654827,0.1818182,0.2727273,0.6363636,0.8449981,0.2727273,0.2727273,0.4545455,0.8057008,0.2727273,0.2727273,0.4545455,0.1422137,0.1818182,0.3636364,0.4545455
,1.2795768,0,0.3,0.4,1.6693113,0.1,0.2,0.5,1.6600813,0.1,0.2,0.5,1.9484646,0.2,0.2,0.3
,2.1197481,0.1818182,0.3636364,0.7272727,1.4249806,0.2727273,0.2727273,0.7272727,1.3743706,0.2727273,0.2727273,0.7272727,1.3466827,0.2727273,0.3636364,0.8181818
,1.4929074,0.1,0.2,0.7,1.1699885,0.2,0.2,0.6,1.1576424,0.2,0.2,0.6,1.1861088,0.1,0.3,0.7
,2.1731619,0.4545455,0.5454545,0.5454545,2.2092173,0.3636364,0.5454545,0.5454545,2.2391303,0.2727273,0.5454545,0.5454545,1.6915015,0.3636364,0.3636364,0.5454545
,0.9988835,0.2,0.3,0.5,0.9763901,0.1,0.2,0.5,1.0042255,0.1,0.2,0.5,0.9243408,0.3,0.4,0.6
,0.6188053,0,0.2,0.8,0.5890952,0.1,0.2,0.7,0.5873593,0.2,0.3,0.7,0.46622,0.1,0.2,0.8
,0.500221,0.3636364,0.3636364,0.5454545,0.598379,0.1818182,0.4545455,0.7272727,0.5930933,0.2727273,0.4545455,0.7272727,0.7073736,0.2727273,0.2727273,0.6363636
,-38.3371442,0.5,0.8,0.9,8.2161869,0.1,0.2,0.6,8.0279384,0.1,0.2,0.7,3.2675776,0.5,0.5,0.7
,0.4430051,0.3636364,0.7272727,0.9090909,0.4869569,0.1818182,0.1818182,0.8181818,0.5004237,0.1818182,0.1818182,0.8181818,0.4052914,0.3636364,0.7272727,0.90909
