NUM,PROJ,Effort_Real,Effort_ALY,Effort_Norm,Norm_Factor,KSLOC,UEUCW_ALY,UEXUCW_ALY,UDUCW_ALY,UAW,TCF,TCF_ALY,EF,EF_ALY,EUCP,EXUCP,DUCP,Effort_Norm_UCP,Path_Num,UseCase_Num,Diagram_Num,INT,INT_ALY,DM,DM_ALY,CTRL,CTRL_ALY,EXTIVK,EXTIVK_ALY,EXTCLL,EXTCLL_ALY,NT,NT_ALY,NWT_ALY,NWT_DE_ALY,DET,RET,ILF,EIF,Type,Simple_UC, Average_UC, Complex_UC, Normalized_UC_Effort
1,f14a_cash_doctor,724,0,1146.36,0.9,2.95,150,128,111,9,0.9,0,1.025,0,146.68,126.38,110.7,652.02,34,10,12,19,20,13,13,32,34,0,1,0,0,32,34,238,238,0,2,0,0,Mobile App,6,4,0,39.24119241
2,f14a_gotrla,482,0,567.91,1.41,6.569,150,215,223,9,0.835,0,0.995,0,132.1,186.1,192.75,681.71,61,10,12,27,31,27,29,59,61,5,1,0,0,59,61,515,523,0,2,0,0,Mobile App,1,6,3,29.00731201
13,F14a_mobile_application_for_mobile_controlled_lighting,257.5,0,1012.18,1.8,1.5,75,58,47,6,0.925,0,1.04,0,77.92,61.57,50.99,464.25,19,5,5,9,8,9,9,18,17,0,0,0,0,NaN,17,118,116,0,0,0,0,Mobile App,2,3,0,13.38357588
14,F14a_REFERsy,263,0,462.32,1.12,7.25,150,126,99,11,0.925,0,0.995,0,148.18,126.09,101.24,294.61,36,10,12,18,22,9,9,36,36,5,5,4,4,32,36,198,190,0,2,0,0,Web App,6,3,1,14.28765449
3,F14a_sharethetraining_com,571,0,781.79,1.19,8.116,195,189,159,9,0.88,0,1.04,0,186.7,181.21,153.75,681.05,52,13,16,30,31,17,16,54,51,5,4,2,2,54,51,334,330,0,3,0,0,web App,5,8,0,31.19536713
19,F14a_soccer_data_web_crawler,268.5,0,206.55,0.72,2.258,120,109,101,6,0.915,0,1.025,0,118.17,107.86,100.35,194.09,32,8,10,13,15,18,17,31,32,0,0,0,0,31,32,272,272,0,2,0,0,Web App,2,6,0,14.31427429
4,F14a_tipsure_com,266,0,734.24,1.48,0.73,120,172,199,9,0.855,0,1.025,0,113.05,158.62,182.29,393.63,55,8,10,24,22,26,30,51,53,1,1,0,0,51,53,556,556,0,2,0,0,web App,2,1,5,15.17615176
5,F14a_women_at_work_website_redesign,140.5,0,415.83,1.71,3.2,120,99,90,12,0.855,0,1.025,0,115.68,97.28,89.39,240.63,30,8,10,13,13,10,11,30,30,6,6,1,0,30,30,198,206,0,2,0,0,Web App,4,3,1,8.015974897
6,F15a_combat_conflict,1281,0,1064.7,0.89,7.593,105,81,70,6,0.795,0,0.92,0,81.19,63.63,55.59,1141.9,21,7,7,16,13,10,8,26,21,0,0,0,0,26,21,144,144,0,0,0,0,Web App,4,3,0,87.57178015
7,F15a_construction_meeting_minutes_application,1482.5,0,2837.8,1.38,1.386,270,310,277,6,0.925,0,0.95,0,242.53,277.69,248.69,2045.26,89,18,20,45,44,44,45,89,89,0,0,0,0,89,89,613,616,0,2,0,0,Mobile App,4,10,4,84.35277383
8,F15a_nice_ecommerse,617,0,474.82,0.94,5.129,360,258,223,9,0.805,0,1.025,0,304.47,220.31,191.43,579.54,75,24,26,42,37,31,33,79,75,5,5,1,3,79,75,509,513,0,2,0,0,Web App,16,6,2,37.3882745
9,F15a_tour_conductor,1347,0,3279.96,1.88,3.679,120,90,81,9,0.885,0,0.89,0,101.61,77.98,70.89,2529,27,8,10,15,14,13,10,28,24,0,0,0,0,29,24,216,220,0,2,0,0,Web App,5,2,1,85.50752238
18,s14b_location_based_ad,3680,0,2392.85,0.89,21.344,705,701,777,14,1.12,0,1.325,0,1067,1061.06,1173.84,3264.97,246,47,47,0,119,0,57,0,168,0,2,0,11,undefined,168,2332,2435,0,0,0,0,Mobile&Web App,28,9,10,123.9892183
10,s15b_snap_valet,302.5,0,618.1,1.89,0.552,165,320,314,9,0.925,0,0.965,0,155.32,293.67,288.32,572.18,79,11,13,56,55,21,21,81,79,3,3,1,2,82,79,694,700,0,2,0,0,Mobile App,0,3,8,16.94440555
11,S15b_we_are_trojans_network,1965,0,4531.59,1.25,6.415,135,298,343,9,0.935,0,0.935,0,125.89,268.39,307.73,2447.93,80,9,12,34,46,21,34,55,80,0,0,0,0,55,80,846,938,0,3,0,0,Web App,0,5,4,112.3852555
16,s16_bad_driver,1392,0,881.82,0.67,4.71,180,48,56,12,1.135,0,1.25,0,272.4,85.13,96.48,931.84,50,12,12,0,4,0,14,0,18,0,0,0,0,undefined,18,526,570,0,0,0,0,Mobile&Web App,11,1,0,49.05726872
12,S16b_flower_seeker,804.5,0,541.36,0.68,7.365,240,177,138,9,0.89,0,1.025,0,227.15,169.68,134.1,549.82,49,16,19,30,29,18,18,51,48,1,1,2,2,51,48,250,244,0,3,0,0,Web App,13,3,0,44.0942724
17,s16b_Picshare_AA,1592,0,2993.78,1.03,8.209,360,193,160,6,0.94,0,0.875,0,301.03,163.68,136.53,1645.54,54,24,24,0,29,0,24,0,53,0,1,0,0,undefined,53,324,326,0,0,0,0,Mobile&Web App,22,2,0,96.7781155
20,s16b_Picshare_RA,3113,0,5850.41,1.03,8.059,360,248,337,8,0.94,0,0.89,0,307.87,214.17,288.63,3216.99,106,24,24,undefined,36,undefined,49,undefined,70,undefined,0,undefined,3,undefined,70,1208,1301,0,0,0,0,Mobile&Web App,17,5,2,186.0506813
15,s17_tikiman_go,737,0,739.72,1.07,3.12,420,42,29,3,1.175,0,1.31,0,651.1,69.27,49.26,787.06,56,28,33,0,2,0,16,0,18,0,0,0,0,undefined,18,320,298,0,4,0,0,Mobile Game,28,0,0,23.94023063
