id,transaction,useCase,transactional, TL, DETs, TD, TC, Arch_Diff
2,stl#User:adds a member to his squad->User:adds a member to his squad->adds a member to his squad:check  number of members in database->check  number of members in database:add that corresponding detail to the database->add that corresponding detail to the database:display a message to the user stating ->display a message to the user stating :adds a member to his squad->adds a member to his squad:check  number of members in database,Add members to squad <= 25,CTRL,7,11,6.833333333333333,6,47.83333333333333,0
3,stl#User:adds a member to his squad->User:adds a member to his squad->adds a member to his squad:check  number of members in database->check  number of members in database:add that corresponding detail to the database->add that corresponding detail to the database:display a message to the user stating ->display a message to the user stating :Member db,Add members to squad <= 25,CTRL,6,10,6.6,5,39.599999999999994,0
4,stl#User:adds a member to his squad->User:adds a member to his squad->adds a member to his squad:check  number of members in database->check  number of members in database:add that corresponding detail to the database->add that corresponding detail to the database:display a message to the user stating ->display a message to the user stating :Homepage,Add members to squad <= 25,CTRL;EXTCLL;INT,6,10,5.4,5,32.400000000000006,0
5,stl#User:adds a member to his squad->User:adds a member to his squad->adds a member to his squad:check  number of members in database->check  number of members in database:add that corresponding detail to the database->add that corresponding detail to the database:User database,Add members to squad <= 25,CTRL,5,4,8,4,40,0
6,stl#User:adds a member to his squad->User:adds a member to his squad->adds a member to his squad:check  number of members in database->check  number of members in database:User database,Add members to squad <= 25,CTRL,4,3,8,3,32,0
1,stl#User:edit  one/more sacrifices ->User:edit  one/more sacrifices ->edit  one/more sacrifices :edit the sacrifices to the database ->edit the sacrifices to the database :display the sacrifices for a task->display the sacrifices for a task:edit  one/more sacrifices ->edit  one/more sacrifices :edit the sacrifices to the database ,Add sacrifices,CTRL,6,15,6,5,36,0
2,stl#User:edit  one/more sacrifices ->User:edit  one/more sacrifices ->edit  one/more sacrifices :edit the sacrifices to the database ->edit the sacrifices to the database :display the sacrifices for a task->display the sacrifices for a task:Homepage,Add sacrifices,CTRL;EXTCLL;INT,5,10,5,4,25,0
3,stl#User:edit  one/more sacrifices ->User:edit  one/more sacrifices ->edit  one/more sacrifices :edit the sacrifices to the database ->edit the sacrifices to the database :Sacrifices db,Add sacrifices,CTRL,4,9,6,3,24,0
2,stl#User:enters upto 5 tasks page->User:enters upto 5 tasks page->enters upto 5 tasks page:entered tasks will be displayed in the ttBox ->entered tasks will be displayed in the ttBox :user will be prompted to enter sacrifices->user will be prompted to enter sacrifices:Task db,Add tasks in ttBox,TRAN_NA,5,9,1.75,4,8.75,0
3,stl#User:enters upto 5 tasks page->User:enters upto 5 tasks page->enters upto 5 tasks page:entered tasks will be displayed in the ttBox ->entered tasks will be displayed in the ttBox :user will be prompted to enter sacrifices->user will be prompted to enter sacrifices:Show confirmation->Show confirmation:enters upto 5 tasks page->enters upto 5 tasks page:entered tasks will be displayed in the ttBox ,Add tasks in ttBox,TRAN_NA,7,14,1.6666666666666667,6,11.666666666666668,0
4,stl#User:enters upto 5 tasks page->User:enters upto 5 tasks page->enters upto 5 tasks page:entered tasks will be displayed in the ttBox ->entered tasks will be displayed in the ttBox :user will be prompted to enter sacrifices->user will be prompted to enter sacrifices:Show confirmation->Show confirmation:Task db,Add tasks in ttBox,TRAN_NA,6,10,1.6,5,9.600000000000001,0
5,stl#User:enters upto 5 tasks page->User:enters upto 5 tasks page->enters upto 5 tasks page:entered tasks will be displayed in the ttBox ->entered tasks will be displayed in the ttBox :user will be prompted to enter sacrifices->user will be prompted to enter sacrifices:Show confirmation->Show confirmation:Homepage,Add tasks in ttBox,TRAN_NA,6,10,1.8,5,10.8,0
6,stl#User:enters upto 5 tasks page->User:enters upto 5 tasks page->enters upto 5 tasks page:entered tasks will be displayed in the ttBox ->entered tasks will be displayed in the ttBox :user will be prompted to enter sacrifices->user will be prompted to enter sacrifices:Homepage,Add tasks in ttBox,TRAN_NA,5,9,2,4,10,0
1,stl#User:Add status page->User:Add status page->Add status page:Add status information->Add status information:Show confirmation->Show confirmation:Status db,Add/Update Status,CTRL,5,13,7,4,35,0
2,stl#User:Add status page->User:Add status page->Add status page:Add status information->Add status information:Show confirmation->Show confirmation:Homepage,Add/Update Status,CTRL;EXTCLL;INT,5,10,5.75,4,28.75,0
3,stl#User:Add status page->User:Add status page->Add status page:Add status information->Add status information:Show confirmation->Show confirmation:Add status page->Add status page:Add status information,Add/Update Status,CTRL,6,17,7.4,5,44.400000000000006,0
5,stl#User:clicks on ��Add/edit status�� button->User:clicks on ��Add/edit status�� button->clicks on ��Add/edit status�� button:enter user status message  and  choose Motto or Free Speech->enter user status message  and  choose Motto or Free Speech:status message will be displayed ->status message will be displayed :clicks on ��Add/edit status�� button->clicks on ��Add/edit status�� button:enter user status message  and  choose Motto or Free Speech,Add/Update Status,CTRL,6,8,6.2,5,37.2,0
6,stl#User:clicks on ��Add/edit status�� button->User:clicks on ��Add/edit status�� button->clicks on ��Add/edit status�� button:enter user status message  and  choose Motto or Free Speech->enter user status message  and  choose Motto or Free Speech:status message will be displayed ->status message will be displayed :Homepage,Add/Update Status,CTRL;EXTCLL;INT,5,7,6,4,30,0
7,stl#User:clicks on ��Add/edit status�� button->User:clicks on ��Add/edit status�� button->clicks on ��Add/edit status�� button:enter user status message  and  choose Motto or Free Speech->enter user status message  and  choose Motto or Free Speech:status db,Add/Update Status,CTRL,4,6,6.666666666666667,3,26.666666666666668,0
1,stl#User:Edit sacrifices page->User:Edit sacrifices page->Edit sacrifices page:Edit scacirfices infrormation->Edit scacirfices infrormation:Show confirmation->Show confirmation:Sacrifices db,Edit sacrifices,CTRL,5,10,4,4,20,0
2,stl#User:Edit sacrifices page->User:Edit sacrifices page->Edit sacrifices page:Edit scacirfices infrormation->Edit scacirfices infrormation:Show confirmation->Show confirmation:Homepage,Edit sacrifices,CTRL;EXTCLL;INT,5,8,3.25,4,16.25,0
3,stl#User:Edit sacrifices page->User:Edit sacrifices page->Edit sacrifices page:Edit scacirfices infrormation->Edit scacirfices infrormation:Show confirmation->Show confirmation:Edit sacrifices page->Edit sacrifices page:Edit scacirfices infrormation,Edit sacrifices,CTRL,6,13,4.2,5,25.200000000000003,0
2,stl#User:Edit setting page->User:Edit setting page->Edit setting page:Edit settings->Edit settings:Show confirmation->Show confirmation:Homepage,Edit settings,CTRL;EXTCLL;INT,5,14,1.75,4,8.75,0
1,stl#User:Edit task page->User:Edit task page->Edit task page:Edit task page->Edit task page:Show confirmation page->Show confirmation page:task db,Edit tasks from ttBox,TRAN_NA,5,4,15.25,4,76.25,0
2,stl#User:Edit task page->User:Edit task page->Edit task page:Edit task page->Edit task page:Show confirmation page->Show confirmation page:Homepage,Edit tasks from ttBox,TRAN_NA,5,4,18,4,90,0
3,stl#User:Edit task page->User:Edit task page->Edit task page:Edit task page->Edit task page:Show confirmation page->Show confirmation page:Edit task page->Edit task page:Edit task page,Edit tasks from ttBox,TRAN_NA,6,5,18,5,108,0
6,stl#User:choose to edit  an already existing task->User:choose to edit  an already existing task->choose to edit  an already existing task:show confirmation page->show confirmation page:Homepage,Edit tasks from ttBox,TRAN_NA,4,8,13,3,52,0
7,stl#User:choose to edit  an already existing task->User:choose to edit  an already existing task->choose to edit  an already existing task:Task db,Edit tasks from ttBox,CTRL,3,7,5,2,15,0
8,stl#User:enters upto 5 tasks page->User:enters upto 5 tasks page->enters upto 5 tasks page:entered tasks will be displayed in the ttBox ->entered tasks will be displayed in the ttBox :user will be prompted to enter sacrifices->user will be prompted to enter sacrifices:display tasks page->display tasks page:enters upto 5 tasks page->enters upto 5 tasks page:entered tasks will be displayed in the ttBox ,Edit tasks from ttBox,TRAN_NA,7,11,4.833333333333333,6,33.83333333333333,0
9,stl#User:enters upto 5 tasks page->User:enters upto 5 tasks page->enters upto 5 tasks page:entered tasks will be displayed in the ttBox ->entered tasks will be displayed in the ttBox :user will be prompted to enter sacrifices->user will be prompted to enter sacrifices:display tasks page->display tasks page:Task db,Edit tasks from ttBox,TRAN_NA,6,10,6.2,5,37.2,0
10,stl#User:enters upto 5 tasks page->User:enters upto 5 tasks page->enters upto 5 tasks page:entered tasks will be displayed in the ttBox ->entered tasks will be displayed in the ttBox :user will be prompted to enter sacrifices->user will be prompted to enter sacrifices:display tasks page->display tasks page:Homepage,Edit tasks from ttBox,TRAN_NA,6,10,8.4,5,50.400000000000006,0
14,stl#User:choose to edit or alter an already existing task->User:choose to edit or alter an already existing task->choose to edit or alter an already existing task:show confirmation page->show confirmation page:Homepage,Edit tasks from ttBox,TRAN_NA,4,8,13,3,52,0
15,stl#User:choose to edit or alter an already existing task->User:choose to edit or alter an already existing task->choose to edit or alter an already existing task:Task db,Edit tasks from ttBox,CTRL,3,7,5,2,15,0
17,stl#User: choose to edit or alter an already existing task->User: choose to edit or alter an already existing task-> choose to edit or alter an already existing task:display tasks page->display tasks page:enters upto 5 tasks page->enters upto 5 tasks page:entered tasks will be displayed in the ttBox ->entered tasks will be displayed in the ttBox :user will be prompted to enter sacrifices->user will be prompted to enter sacrifices:display tasks page->display tasks page:enters upto 5 tasks page,Edit tasks from ttBox,TRAN_NA,8,14,6.857142857142857,7,54.857142857142854,0
18,stl#User: choose to edit or alter an already existing task->User: choose to edit or alter an already existing task-> choose to edit or alter an already existing task:display tasks page->display tasks page:enters upto 5 tasks page->enters upto 5 tasks page:entered tasks will be displayed in the ttBox ->entered tasks will be displayed in the ttBox :user will be prompted to enter sacrifices->user will be prompted to enter sacrifices:display tasks page->display tasks page:Task db,Edit tasks from ttBox,TRAN_NA,8,14,7.428571428571429,7,59.42857142857143,0
19,stl#User: choose to edit or alter an already existing task->User: choose to edit or alter an already existing task-> choose to edit or alter an already existing task:display tasks page->display tasks page:enters upto 5 tasks page->enters upto 5 tasks page:entered tasks will be displayed in the ttBox ->entered tasks will be displayed in the ttBox :user will be prompted to enter sacrifices->user will be prompted to enter sacrifices:display tasks page->display tasks page:Homepage,Edit tasks from ttBox,TRAN_NA,8,14,9,7,72,0
20,stl#User: choose to edit or alter an already existing task->User: choose to edit or alter an already existing task-> choose to edit or alter an already existing task:display tasks page->display tasks page:enters upto 5 tasks page->enters upto 5 tasks page:entered tasks will be displayed in the ttBox ->entered tasks will be displayed in the ttBox :user will be prompted to enter sacrifices->user will be prompted to enter sacrifices:Task db,Edit tasks from ttBox,TRAN_NA,7,13,5.666666666666667,6,39.66666666666667,0
21,stl#User: choose to edit or alter an already existing task->User: choose to edit or alter an already existing task-> choose to edit or alter an already existing task:display tasks page->display tasks page:enters upto 5 tasks page->enters upto 5 tasks page:entered tasks will be displayed in the ttBox ->entered tasks will be displayed in the ttBox :user will be prompted to enter sacrifices->user will be prompted to enter sacrifices:Show confirmation->Show confirmation:Task db,Edit tasks from ttBox,TRAN_NA,8,14,5,7,40,0
22,stl#User: choose to edit or alter an already existing task->User: choose to edit or alter an already existing task-> choose to edit or alter an already existing task:display tasks page->display tasks page:enters upto 5 tasks page->enters upto 5 tasks page:entered tasks will be displayed in the ttBox ->entered tasks will be displayed in the ttBox :user will be prompted to enter sacrifices->user will be prompted to enter sacrifices:Show confirmation->Show confirmation:Homepage,Edit tasks from ttBox,TRAN_NA,8,14,6.571428571428571,7,52.57142857142857,0
23,stl#User: choose to edit or alter an already existing task->User: choose to edit or alter an already existing task-> choose to edit or alter an already existing task:display tasks page->display tasks page:Task db,Edit tasks from ttBox,TRAN_NA,4,8,9.333333333333334,3,37.333333333333336,0
24,stl#User: choose to edit or alter an already existing task->User: choose to edit or alter an already existing task-> choose to edit or alter an already existing task:display tasks page->display tasks page:Homepage,Edit tasks from ttBox,TRAN_NA,4,8,13,3,52,0
2,stl#User:Login page->User:Login page->Login page:Validate usename and password->Validate usename and password:Display confirmation->Display confirmation:Login page->Login page:Validate usename and password,Login,TRAN_NA,6,11,2.6,5,15.600000000000001,0
3,stl#User:Login page->User:Login page->Login page:Validate usename and password->Validate usename and password:Display confirmation->Display confirmation:Homepage,Login,TRAN_NA,5,7,2.75,4,13.75,0
2,stl#User:Logout page->User:Logout page->Logout page:Validate usename and password ->Validate usename and password :End the session->End the session:Show confirmation page->Show confirmation page:Logout page->Logout page:Validate usename and password ,Logout,TRAN_NA,7,12,2.3333333333333335,6,16.333333333333336,0
3,stl#User:Logout page->User:Logout page->Logout page:Validate usename and password ->Validate usename and password :End the session->End the session:Show confirmation page->Show confirmation page:Homepage,Logout,TRAN_NA,6,8,2.4,5,14.399999999999999,0
1,stl#User:clicks on ��Upload Personal Legend��->User:clicks on ��Upload Personal Legend��->clicks on ��Upload Personal Legend��:check whether the syntax entered is that of an URL or not.->check whether the syntax entered is that of an URL or not.:update the path in the database.->update the path in the database.:User db,Register,TRAN_NA,5,7,2.25,4,11.25,0
2,stl#User:clicks on ��Upload Personal Legend��->User:clicks on ��Upload Personal Legend��->clicks on ��Upload Personal Legend��:check whether the syntax entered is that of an URL or not.->check whether the syntax entered is that of an URL or not.:update the path in the database.->update the path in the database.:Display confirmation page->Display confirmation page:Homepage,Register,TRAN_NA,6,8,2.2,5,13.200000000000001,0
3,stl#User:clicks on ��Upload Personal Legend��->User:clicks on ��Upload Personal Legend��->clicks on ��Upload Personal Legend��:check whether the syntax entered is that of an URL or not.->check whether the syntax entered is that of an URL or not.:update the path in the database.->update the path in the database.:Display confirmation page->Display confirmation page:clicks on ��Upload Personal Legend��->clicks on ��Upload Personal Legend��:check whether the syntax entered is that of an URL or not.,Register,TRAN_NA,7,12,2.3333333333333335,6,16.333333333333336,0
2,stl#User:types a name in the search box->User:types a name in the search box->types a name in the search box:search for the corresponding name in the database->search for the corresponding name in the database:return the member��s profile ->return the member��s profile :types a name in the search box->types a name in the search box:search for the corresponding name in the database,Search members,CTRL,6,16,2.2,5,13.200000000000001,0
3,stl#User:types a name in the search box->User:types a name in the search box->types a name in the search box:search for the corresponding name in the database->search for the corresponding name in the database:return the member��s profile ->return the member��s profile :Homepage,Search members,CTRL;EXTCLL;INT,5,15,2,4,10,0
4,stl#User:types a name in the search box->User:types a name in the search box->types a name in the search box:search for the corresponding name in the database->search for the corresponding name in the database:member databse,Search members,CTRL,4,6,2.6666666666666665,3,10.666666666666666,0
1,stl#User:Upload personal  legend page->User:Upload personal  legend page->Upload personal  legend page:Person Legend infrormation->Person Legend infrormation:Show confirmation->Show confirmation:Upload personal  legend page->Upload personal  legend page:Person Legend infrormation,Upload Personal Legend,TRAN_NA,6,17,4.2,5,25.200000000000003,0
2,stl#User:Upload personal  legend page->User:Upload personal  legend page->Upload personal  legend page:Person Legend infrormation->Person Legend infrormation:Show confirmation->Show confirmation:Personal Legend db,Upload Personal Legend,TRAN_NA,5,13,4,4,20,0
3,stl#User:Upload personal  legend page->User:Upload personal  legend page->Upload personal  legend page:Person Legend infrormation->Person Legend infrormation:Show confirmation->Show confirmation:Homepage,Upload Personal Legend,TRAN_NA,5,10,3.25,4,16.25,0
2,stl#User:clicks on ��Upload Theme song�� button->User:clicks on ��Upload Theme song�� button->clicks on ��Upload Theme song�� button:prompt the user to enter the theme song.->prompt the user to enter the theme song.:Show confirmation->Show confirmation:Theme Song db,Upload Theme Song,CTRL,5,13,4,4,20,0
3,stl#User:clicks on ��Upload Theme song�� button->User:clicks on ��Upload Theme song�� button->clicks on ��Upload Theme song�� button:prompt the user to enter the theme song.->prompt the user to enter the theme song.:Show confirmation->Show confirmation:clicks on ��Upload Theme song�� button->clicks on ��Upload Theme song�� button:prompt the user to enter the theme song.,Upload Theme Song,CTRL,6,17,4.2,5,25.200000000000003,0
4,stl#User:clicks on ��Upload Theme song�� button->User:clicks on ��Upload Theme song�� button->clicks on ��Upload Theme song�� button:prompt the user to enter the theme song.->prompt the user to enter the theme song.:Show confirmation->Show confirmation:Homepage,Upload Theme Song,CTRL;EXTCLL;INT,5,10,3.25,4,16.25,0
1,stl#User :View Turorial video page->User :View Turorial video page->View Turorial video page:Choose one of all videos->Choose one of all videos:Show  tutorial video information->Show  tutorial video information:View Turorial video page->View Turorial video page:Choose one of all videos,View Tutorial Video,TRAN_NA,6,15,5,5,30,0
2,stl#User :View Turorial video page->User :View Turorial video page->View Turorial video page:Choose one of all videos->Choose one of all videos:Show  tutorial video information->Show  tutorial video information:Homepage,View Tutorial Video,TRAN_NA,5,10,4.25,4,21.25,0
1,stl#User:clicks on ��view report card�� button->User:clicks on ��view report card�� button->clicks on ��view report card�� button:search in the corresponding user��s record ->search in the corresponding user��s record :user databse,View report card,CTRL,4,13,2,3,8,0
2,stl#User:clicks on ��view report card�� button->User:clicks on ��view report card�� button->clicks on ��view report card�� button:search in the corresponding user��s record ->search in the corresponding user��s record :display the report card ->display the report card :clicks on ��view report card�� button->clicks on ��view report card�� button:search in the corresponding user��s record ,View report card,CTRL,6,29,2.6,5,15.600000000000001,0
3,stl#User:clicks on ��view report card�� button->User:clicks on ��view report card�� button->clicks on ��view report card�� button:search in the corresponding user��s record ->search in the corresponding user��s record :display the report card ->display the report card :Homepage,View report card,CTRL;EXTCLL;INT,5,18,2.5,4,12.5,0
1,stl#User:Homepage->User:Homepage,Create Customers,CTRL;EXTCLL;INT,2,1,2,1,4,1
2,stl#User:Create customers->User:Create customers->Create customers:Validate customers information->Validate customers information:Add customers->Add customers:Display customers information->Display customers information:Homepage,Create Customers,CTRL;EXTCLL;INT,6,33,5.2,5,31.200000000000003,1
3,stl#User:Create customers->User:Create customers->Create customers:Validate customers information->Validate customers information:Add customers->Add customers:Display customers information->Display customers information:Create customers->Create customers:Validate customers information,Create Customers,CTRL,7,48,6,6,42,1
4,stl#User:Create customers->User:Create customers->Create customers:Validate customers information->Validate customers information:Add customers->Add customers:Database,Create Customers,CTRL,5,25,4.75,4,23.75,1
2,stl#User:Create students->User:Create students->Create students:Create Student login and add student detail->Create Student login and add student detail:Add student information ->Add student information :Dialogue box prompts->Dialogue box prompts:Homepage,Create Students,CTRL;EXTCLL;INT,6,29,3.6,5,21.6,1
3,stl#User:Create students->User:Create students->Create students:Create Student login and add student detail->Create Student login and add student detail:Add student information ->Add student information :Dialogue box prompts->Dialogue box prompts:Create students->Create students:Create Student login and add student detail,Create Students,CTRL,7,46,4.333333333333333,6,30.333333333333332,1
4,stl#User:Create students->User:Create students->Create students:Create Student login and add student detail->Create Student login and add student detail:Add student information ->Add student information :Database,Create Students,CTRL,5,28,4,4,20,1
1,stl#User:Customer view page->User:Customer view page->Customer view page:Delete custormer->Delete custormer:Display confirmation->Display confirmation:Homepage,Delete Customer,CTRL;EXTCLL;INT,5,18,2.75,4,13.75,1
2,stl#User:Customer view page->User:Customer view page->Customer view page:Delete custormer->Delete custormer:Display confirmation->Display confirmation:Database,Delete Customer,CTRL,5,18,2.5,4,12.5,1
3,stl#User:Customer view page->User:Customer view page->Customer view page:Delete custormer->Delete custormer:Display confirmation->Display confirmation:Customer view page->Customer view page:Delete custormer,Delete Customer,CTRL,6,33,3.4,5,20.4,1
1,stl#User:Student view page->User:Student view page->Student view page:Delete student->Delete student:Display confirmation->Display confirmation:Student view page->Student view page:Delete student,Delete Students,CTRL,6,37,3.4,5,20.4,1
2,stl#User:Student view page->User:Student view page->Student view page:Delete student->Delete student:Display confirmation->Display confirmation:Homepage,Delete Students,CTRL;EXTCLL;INT,5,20,2.75,4,13.75,1
3,stl#User:Student view page->User:Student view page->Student view page:Delete student->Delete student:Display confirmation->Display confirmation:Database,Delete Students,CTRL,5,20,2.5,4,12.5,1
2,stl#User:Customers view page->User:Customers view page->Customers view page:Edit customers ->Edit customers :Display confirmation->Display confirmation:Homepage ,Edit Customers,CTRL;EXTCLL;INT,5,18,2.75,4,13.75,1
3,stl#User:Customers view page->User:Customers view page->Customers view page:Edit customers ->Edit customers :Display confirmation->Display confirmation:Database,Edit Customers,CTRL,5,18,2.5,4,12.5,1
4,stl#User:Customers view page->User:Customers view page->Customers view page:Edit customers ->Edit customers :Display confirmation->Display confirmation:Customers view page->Customers view page:Edit customers ,Edit Customers,CTRL,6,33,3.4,5,20.4,1
2,stl#User:Students view page->User:Students view page->Students view page:Edit students->Edit students:Display confirmation->Display confirmation:Homepage,Edit students,CTRL;EXTCLL;INT,5,20,2.75,4,13.75,1
3,stl#User:Students view page->User:Students view page->Students view page:Edit students->Edit students:Display confirmation->Display confirmation:Students view page->Students view page:Edit students,Edit students,CTRL,6,37,3.4,5,20.4,1
4,stl#User:Students view page->User:Students view page->Students view page:Edit students->Edit students:Display confirmation->Display confirmation:Database,Edit students,CTRL,5,20,2.5,4,12.5,1
1,stl#User:Record students score->User:Record students score->Record students score:Inserted into databse->Inserted into databse:Generate student report->Generate student report:Display confirmation page->Display confirmation page:Homepage,Generate Progress Report,CTRL;EXTCLL;INT,6,21,2.2,5,13.200000000000001,1
2,stl#User:Record students score->User:Record students score->Record students score:Inserted into databse->Inserted into databse:Generate student report->Generate student report:Display confirmation page->Display confirmation page:Record students score->Record students score:Inserted into databse,Generate Progress Report,CTRL,7,30,2.3333333333333335,6,16.333333333333336,1
1,stl#User:Login page->User:Login page->Login page:Validate username and password->Validate username and password:Redirect  to home page->Redirect  to home page:Display error->Display error:Login page->Login page:Validate username and password,Login,TRAN_NA,7,6,3.3333333333333335,6,23.333333333333336,1
2,stl#User:Login page->User:Login page->Login page:Validate username and password->Validate username and password:Redirect  to home page->Redirect  to home page:Display error->Display error:Homepage,Login,TRAN_NA,6,5,3.6,5,21.6,1
1,stl#User:Logout page->User:Logout page->Logout page:Log out and end the session->Log out and end the session:Validate username and password->Validate username and password:Display logged out->Display logged out:Homepage,Logout,TRAN_NA,6,5,1.8,5,10.8,1
1,stl#User:Select puchasing optison->User:Select puchasing optison->Select puchasing optison:Display final course->Display final course:Connect to course merchant->Connect to course merchant:Verifiy the payment details->Verifiy the payment details:Homepage,Purchase Courses,CTRL;EXTCLL;INT,6,12,3.2,5,19.200000000000003,1
2,stl#User:Click on purchasing options->User:Click on purchasing options->Click on purchasing options:Display purchasing options->Display purchasing options:Display final course->Display final course:Connect to course merchant->Connect to course merchant:Verifiy the payment details->Verifiy the payment details:Homepage,Purchase Courses,CTRL;EXTCLL;INT,7,15,3.3333333333333335,6,23.333333333333336,1
3,stl#User:Buy button ->User:Buy button ->Buy button :Connect to course merchant->Connect to course merchant:Verifiy the payment details->Verifiy the payment details:Homepage,Purchase Courses,CTRL;EXTCLL;INT,5,9,2.5,4,12.5,1
5,stl#User:Course list view page->User:Course list view page->Course list view page:Display list course ->Display list course :Display purchasing options->Display purchasing options:Display final course->Display final course:Connect to course merchant->Connect to course merchant:Verifiy the payment details->Verifiy the payment details:Homepage,Purchase Courses,CTRL;EXTCLL;INT,8,24,3.7142857142857144,7,29.714285714285715,1
2,stl#User:Enter answer for question->User:Enter answer for question->Enter answer for question:Diplay security question->Diplay security question:Authenticate the answer->Authenticate the answer:Display confirmation->Display confirmation:Homepage,Retrieve Password,CTRL;EXTCLL;INT,6,5,4.8,5,28.799999999999997,1
3,stl#User:Login page->User:Login page->Login page:Validates user name and password->Validates user name and password:Display incorrect user name->Display incorrect user name:Recover page->Recover page:Diplay security question->Diplay security question:Authenticate the answer->Authenticate the answer:Display confirmation->Display confirmation:Homepage,Retrieve Password,TRAN_NA,9,8,4.125,8,37.125,1
1,stl#User:Take test page->User:Take test page->Take test page:Records answers ->Records answers :Generate scores reports->Generate scores reports:Display confirmation page->Display confirmation page:Homepage,Take tests,TRAN_NA,6,10,2.4,5,14.399999999999999,1
2,stl#User:Take test page->User:Take test page->Take test page:Records answers ->Records answers :Generate scores reports->Generate scores reports:Display confirmation page->Display confirmation page:Take test page->Take test page:Records answers ,Take tests,TRAN_NA,7,11,2.3333333333333335,6,16.333333333333336,1
2,stl#User:Select lesson page->User:Select lesson page->Select lesson page:Validate with database->Validate with database:Lesson validated->Lesson validated:Display page->Display page:Select lesson page->Select lesson page:Validate with database,View Courses,CTRL,7,30,2.3333333333333335,6,16.333333333333336,1
3,stl#User:Select lesson page->User:Select lesson page->Select lesson page:Validate with database->Validate with database:Lesson validated->Lesson validated:Display page->Display page:Homepage,View Courses,CTRL;EXTCLL;INT,6,21,2.2,5,13.200000000000001,1
1,stl#User:View customer profile->User:View customer profile->View customer profile:Displays Customer profile,View Customers,CTRL,3,16,6,2,18,1
2,stl#User:Edit customer profile.->User:Edit customer profile.->Edit customer profile.:Customer profile update->Customer profile update:Database,View Customers,CTRL,4,17,4.666666666666667,3,18.666666666666668,1
3,stl#User:Delete cutomer profile->User:Delete cutomer profile->Delete cutomer profile:Customer Profile deleted->Customer Profile deleted:Database,View Customers,CTRL,4,17,4.666666666666667,3,18.666666666666668,1
2,stl#User:Read and watch videos->User:Read and watch videos->Read and watch videos:Added to system->Added to system:Display new video->Display new video:Read and watch videos->Read and watch videos:Added to system,View Documentation,TRAN_NA,6,7,1.8,5,10.8,1
