NUM,Project,KSLOC,Personnel,Type,Priori_COCOMO_Estimate,COCOMO_Estimate,Precedence_Num,Stimulus_Num,Tran_Num,UseCase_Num,Activity_Num,Actor_Num,Avg_Actor,Boundary_Num,ControlNum,Entity_Num,Component_num,Attribute_num,Operation_num,class_num,Top_Level_Classes,Average_Depth_Inheritance_Tree,Average_Number_Of_Children_Per_Base_Class,Number_Of_Inheritance_Relationships,Depth_Inheritance_Tree,para_num,usage_num,real_num,assoc_num,externaloper_num,objectdata_num,avg_operation,avg_attribute,avg_parameter,avg_usage,avg_real,avg_assoc,avg_instVar,weightedoper_num,method_size,EI,EQ,INT,DM,CTRL,EXTIVK,EXTCLL,TRAN_NA,NT,Avg_TL,Avg_TD,Arch_Diff,DET,RET,ILF,EIF,EI,EO,EQ,FN,IFPUG,NI,NE,MKII,EXT,ERY,RED,WRT,COSMIC,Type,Effort_Norm,Norm_Factor,Effort,UAW,TCF,EF,Simple_UC, Average_UC, Complex_UC, Effort_Norm_UCP, Effort_Norm_COCOMO, UUCP, UCP,EUCP,EXUCP,DUCP,SWTI,SWTII,SWTIII,NOET,NOAAE,NORT,NEM,NSR,NOA,NOS,WMC,MPC,DIT,NIVPC,NUMS,RR,NTLC,ANWMC,ADIT,NOCPBC,EIF,ILF,DET,FTR,NT,NOC,NOA,NOA,NOUC,NOR,ANAPUC,ANRPUC,UCP,NOC,NOIR,NOUR,NORR,NOM,NOP,NOCAL,NOASSOC,ANMC,ANPC,ANCAC,ANASSOCC,ANRELC,NOC,NOAPC,NODET,NORET,NOA,NOMPC,NPPM,NMT,Num_User_Story, Num_Tasks, project_manager_estimate, developer_estimate,transaction_file
1,Amer_I_Can_Re_Up_2018-11-22@1545546245115,1.32,7,Website,1322,928,190,47,100,40,213,0,0,84,120,21,166,55,55,19,19,0,0,0,0,8,0,0,195,18,0,2.894736842,2.894736842,0.421052632,0,0,10.26315789,2.894736842,5.4,0,3,0,9,3,23,0,12,53,23,17.7826087,76.56521739,1361.529301,55,19,121,17,0,0,373,99,511,99,99,226.7,99,99,99,99,396,Unknown,NA,NA,716,0,1,1,6,9,5,0,0,195,195,100.4652,299.6588,200.8967,100.4652,299.6588,200.8967,19,55,195,18,18,195,20,5.4,2.894736842,0,2.894736842,0,0,19,0.284210526,0,0,0,0,0,0,4,19,195,195,20,0,0,0,0,19,0,0,0,55,8,55,195,2.894736842,0.421052632,2.894736842,20.52631579,20.52631579,19,2.894736842,19,19,195,195,0.421052632,55,0,0,0,0,H:\ResearchSpace\ResearchProjects\UMLx\data\577 Projects\12-22\Amer_I_Can_Re_Up_2018-11-22@1545546245115_analysis\filteredTransactionEvaluation.csv
1,Art_Crafts_Website_2018-11-22@1545546245121,2.32,8,Website,122,2332,70,18,34,18,79,0,0,46,20,5,61,10,20,9,9,0,0,0,0,2,0,0,74,9,0,2.222222222,1.111111111,0.222222222,0,0,8.222222222,1.111111111,2.7,0,0,0,1,0,1,0,1,25,1,129,408,52632,10,9,10,46,0,0,135,34,191,34,34,78.5,34,34,34,34,136,Unknown,NA,NA,137,0,1,1,2,7,0,0,0,80,80,34.5032,65.334,52.1392,34.5032,65.334,52.1392,9,10,74,9,9,74,9,2.7,2.222222222,0,1.111111111,0,0,9,0.3,0,0,0,0,0,0,3,9,74,74,9,0,0,0,0,9,0,0,0,20,2,10,74,2.222222222,0.222222222,1.111111111,16.44444444,16.44444444,9,1.111111111,9,9,74,74,0.222222222,20,0,0,0,0,H:\ResearchSpace\ResearchProjects\UMLx\data\577 Projects\12-22\Art_Crafts_Website_2018-11-22@1545546245121_analysis\filteredTransactionEvaluation.csv
1,F13a_City_of_LosAngeles_Public_Safety_Applicant_Resource_Center_2018-11-22@1545546245122,2.33,7,Website,221,321,1,1,1,22,2,0,0,0,0,0,1,1,13,11,7,0.363636364,0.571428571,4,4,9,0,0,2,13,0,1.181818182,0.090909091,0.818181818,0,0,0.181818182,0.090909091,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,107,0,0,0,0,0,107,0,0,2.86,0,0,0,0,0,Unknown,NA,NA,328,0,1,1,11,0,0,0,0,55,55,0,0,0,0,0,0,11,1,6,13,13,2,11,2.7,1.181818182,4,0.090909091,0,0,7,0.245454545,4,0.571428571,0,0,0,0,0,11,2,2,11,0,0,0,0,11,4,0,0,13,9,1,2,1.181818182,0.818181818,0.090909091,0.363636364,0.363636364,11,0.090909091,11,11,2,2,0.818181818,13,0,0,0,0,H:\ResearchSpace\ResearchProjects\UMLx\data\577 Projects\12-22\F13a_City_of_LosAngeles_Public_Safety_Applicant_Resource_Center_2018-11-22@1545546245122_analysis\filteredTransactionEvaluation.csv
1,F13a_Cityof_LosAngeles_Personnel_Department_Mobile_Applications_2018-11-22@1545546245122,5.4,8,Website,3212,982,95,24,59,14,111,2,0,42,78,4,87,23,80,22,20,0.090909091,0.1,2,2,29,0,0,96,42,0,3.636363636,1.045454545,1.318181818,0,0,4.363636364,1.045454545,6.6,0,1,0,7,1,16,2,8,42,16,21.5,72.1875,1552.03125,23,22,152,33,0,0,235,59,420,59,59,137.88,59,59,59,59,236,Unknown,NA,NA,193,0,1,1,0,4,3,0,0,85,85,59.8732,190.9153,124.6502,59.8732,190.9153,124.6502,22,23,98,42,42,96,7,6.6,3.636363636,2,1.045454545,0,0,20,0.3,1.818181818,0.1,0,0,0,0,6,22,96,96,7,0,0,0,0,22,2,0,0,80,29,23,96,3.636363636,1.318181818,1.045454545,8.727272727,8.727272727,22,1.045454545,22,22,96,96,1.318181818,80,0,0,0,0,H:\ResearchSpace\ResearchProjects\UMLx\data\577 Projects\12-22\F13a_Cityof_LosAngeles_Personnel_Department_Mobile_Applications_2018-11-22@1545546245122_analysis\filteredTransactionEvaluation.csv
1,F13a_LA_Commons_upgradeof_website_2018-11-22@1545546245122,2.042,3,Information System,823,334,142,46,85,22,176,0,0,79,100,1,130,0,40,13,13,0,0,0,0,0,0,0,129,13,0,3.076923077,0,0,0,0,9.923076923,0,3.9,0,0,0,14,0,27,0,14,55,27,14.92592593,79.55555556,1187.440329,0,13,70,42,0,0,323,85,435,85,85,193.78,85,85,85,85,340,Unknown,NA,NA,432,0,1,1,0,2,9,0,0,155,155,86.258,334.2369,201.815,86.258,334.2369,201.815,13,0,129,13,13,129,11,3.9,3.076923077,0,0,0,0,13,0.3,0,0,0,0,0,0,8,13,129,129,11,0,0,0,0,13,0,0,0,40,0,0,129,3.076923077,0,0,19.84615385,19.84615385,13,0,13,13,129,129,0,40,0,0,0,0,H:\ResearchSpace\ResearchProjects\UMLx\data\577 Projects\12-22\F13a_LA_Commons_upgradeof_website_2018-11-22@1545546245122_analysis\filteredTransactionEvaluation.csv
1,F13a_LiveRiot_Video_Editing_System_and_socialNetworking_enhancement_2018-11-22@1545546245122,1.23,3,Mobile App,923,283,263,72,189,50,296,0,0,114,208,6,224,0,55,18,18,0,0,0,0,0,0,0,228,18,0,3.055555556,0,0,0,0,12.66666667,0,5.4,0,1,0,13,1,44,0,14,125,44,20.61363636,113.6818182,2343.395661,0,18,130,35,0,0,728,188,893,188,188,425.8,188,188,188,188,752,Unknown,NA,NA,1506.32,0,1,1,10,0,15,0,0,275,275,190.7824,806.033,491.2514,190.7824,806.033,491.2514,18,0,228,18,18,228,25,5.4,3.055555556,0,0,0,0,18,0.3,0,0,0,0,0,0,0,18,228,228,25,0,0,0,0,18,0,0,0,55,0,0,228,3.055555556,0,0,25.33333333,25.33333333,18,0,18,18,228,228,0,55,0,0,0,0,H:\ResearchSpace\ResearchProjects\UMLx\data\577 Projects\12-22\F13a_LiveRiot_Video_Editing_System_and_socialNetworking_enhancement_2018-11-22@1545546245122_analysis\filteredTransactionEvaluation.csv
1,F13a_MedFRS_Device_Diagnostic_Software_2018-11-22@1545546245123,1.42,4,Information System,823,1329,355,97,281,36,397,0,0,143,254,30,300,32,108,19,15,0.315789474,0.133333333,5,4,5,0,0,310,35,0,5.684210526,1.684210526,0.263157895,0,0,16.31578947,1.684210526,5.7,0,10,0,19,10,65,0,29,200,65,25.56923077,123.2615385,3151.702722,32,19,109,40,0,0,1183,281,1332,281,281,634.38,281,281,281,281,1124,Unknown,NA,NA,112,0,1,1,1,0,17,0,0,260,260,285.1588,1312.3767,801.9318,285.1588,1312.3767,801.9318,19,32,314,35,35,310,18,5.7,5.684210526,4,1.684210526,0,0,15,0.3,2.736842105,0.133333333,0,0,0,0,19,19,310,310,18,0,0,0,0,19,4,0,0,108,5,32,310,5.684210526,0.263157895,1.684210526,32.63157895,32.63157895,19,1.684210526,19,19,310,310,0.263157895,108,0,0,0,0,H:\ResearchSpace\ResearchProjects\UMLx\data\577 Projects\12-22\F13a_MedFRS_Device_Diagnostic_Software_2018-11-22@1545546245123_analysis\filteredTransactionEvaluation.csv
1,F13a_Mission_Science_Information_and Data_Management_System_2018-11-22@1545550013345,1.83,5,Information System,2331,1832,63,24,39,20,84,0,0,33,28,13,60,25,15,12,12,0,0,0,0,10,0,0,66,12,0,1.25,2.083333333,0.833333333,0,0,5.5,2.083333333,3.6,0,0,0,13,0,16,0,13,19,16,8.125,27.8125,225.9765625,25,12,85,14,0,0,142,39,241,39,39,90.48,39,39,39,39,156,Unknown,NA,NA,224.72,0,1,1,2,7,1,0,0,95,95,39.5772,76.5044,59.2257,39.5772,76.5044,59.2257,12,25,66,12,12,66,10,3.6,1.25,0,2.083333333,0,0,12,0.3,0,0,0,0,0,0,5,12,66,66,10,0,0,0,0,12,0,0,0,15,10,25,66,1.25,0.833333333,2.083333333,11,11,12,2.083333333,12,12,66,66,0.833333333,15,0,0,0,0,H:\ResearchSpace\ResearchProjects\UMLx\data\577 Projects\12-22\F13a_Mission_Science_Information_and Data_Management_System_2018-11-22@1545550013345_analysis\filteredTransactionEvaluation.csv
1,F13a_OnlineWedding_Management_System_2018-11-22@1545550013350,1.98,9,Tool,231,827,145,48,88,30,179,0,0,75,54,29,131,37,47,15,13,0.4,0.230769231,5,2,10,0,0,135,20,0,3.133333333,2.466666667,0.666666667,0,0,9,2.466666667,4.5,0,4,0,17,4,29,0,21,53,29,11.82758621,40.96551724,484.5231867,37,15,92,24,0,0,335,88,451,88,88,201.02,88,88,88,88,352,Unknown,NA,NA,741.92,0,1,1,1,8,6,0,0,175,175,89.3024,213.6589,156.3124,89.3024,213.6589,156.3124,15,37,139,20,20,135,15,4.5,3.133333333,2,2.466666667,0,0,13,0.3,2,0.230769231,0,0,0,0,2,15,135,135,15,0,0,0,0,15,4,0,0,47,10,37,135,3.133333333,0.666666667,2.466666667,18,18,15,2.466666667,15,15,135,135,0.666666667,47,0,0,0,0,H:\ResearchSpace\ResearchProjects\UMLx\data\577 Projects\12-22\F13a_OnlineWedding_Management_System_2018-11-22@1545550013350_analysis\filteredTransactionEvaluation.csv
1,F13a_Spherical_Modeling_Tool_2018-11-22@1545550013352,4.095,9,Website,842,928,287,80,159,46,332,0,0,86,262,35,252,15,154,33,30,0.090909091,0.1,3,1,5,0,1,257,72,0,4.666666667,0.454545455,0.151515152,0,0.03030303,7.787878788,0.454545455,9.9,0,9,0,15,9,50,0,24,95,50,14.66,41.34,606.0444,15,33,211,75,0,0,628,159,914,159,159,364.74,159,159,159,159,636,Unknown,NA,NA,1092.88,0,1,1,2,4,17,0,0,305,305,161.3532,390.7534,273.1457,161.3532,390.7534,273.1457,33,15,261,72,72,257,23,9.9,4.666666667,1,0.454545455,0,0,30,0.3,0.787878788,0.1,0,0,0,0,7,33,257,257,23,0,0,0,0,33,3,0,1,154,5,15,257,4.666666667,0.151515152,0.454545455,15.57575758,15.57575758,33,0.454545455,33,33,257,257,0.151515152,154,0,0,0,0,H:\ResearchSpace\ResearchProjects\UMLx\data\577 Projects\12-22\F13a_Spherical_Modeling_Tool_2018-11-22@1545550013352_analysis\filteredTransactionEvaluation.csv
