Project_No,Project_Name,DUCP_ALY,UDUCW_ALY,Simple_Actors,Average_Actors,Complex_Actors,UAW,Simple_UC,Average_UC,Complex_UC,UUCW,UUCP,TCF,EF,UCP,DUCP,Real_Effort_Person_Hours,Use_Case_Num,KSLOC,Application_Type
6,F14a_black_professionals_net,,,1,2,1,8,8,3,1,85,93,0.9,1.03,86.211,,146,12,1.5,Mobile App
12,f14a_cash_doctor,110.7,111,1,2,2,11,1,2,7,130,141,0.9,1.025,130.0725,,724,10,7.593,Web App
8,f14a_e_lock_box,,,4,2,1,11,3,9,3,150,161,0.8,1.23,158.424,,1125,15,3.679,Web App
15,f14a_gotrla,192.75,223,2,2,1,9,1,6,4,125,134,0.835,0.995,111.33055,,482,11,0.73,Web App
13,F14a_mobile_application_for_mobile_controlled_lighting,50.99,47,1,2,1,8,2,17,2,210,218,0.925,1.04,209.716,,657.5,21,3.2,Web App
10,F14a_REFERsy,101.24,99,3,3,1,12,6,3,2,90,102,0.925,0.995,93.87825,,263,11,2.258,Web App
11,F14a_sharethetraining_com,153.75,159,3,0,2,9,5,8,3,150,159,0.88,1.04,145.5168,,571,16,6.415,Web App
5,F14a_snapp_voice_communication_system,,,2,2,2,12,33,2,1,200,212,0.96,1.03,209.6256,,547,36,6.569,Mobile App
19,F14a_soccer_data_Web_crawler,100.35,101,2,2,3,15,6,3,1,75,90,0.915,1.025,84.40875,,268.5,10,2.95,Mobile App
2,F14a_tipsure_com,182.29,199,2,2,0,6,2,5,4,120,126,0.855,1.025,110.42325,,746,11,7.25,Web App
9,F14a_women_at_work_Website_redesign,89.39,90,2,1,3,13,4,3,1,65,78,0.855,1.025,68.35725,,140.5,8,0.552,Mobile App
4,F15a_combat_conflict,55.59,70,3,0,1,6,4,3,4,110,116,0.795,0.92,84.8424,,1281,11,8.116,Web App
6,F15a_construction_meeting_minutes_application,248.69,277,1,1,1,6,4,21,1,245,251,0.925,0.95,220.56625,,1482.5,26,7.365,Web App
3,F15a_linggo,,,2,2,0,6,12,5,6,200,206,1.04,1.12,239.9488,,1142,23,1.386,Mobile App
7,F15a_nice_ecommerse,191.43,223,1,3,3,16,16,6,2,170,186,0.805,1.025,153.47325,,617,24,4.71,Mobile&Web App
5,F15a_tour_conductor,70.89,81,2,2,1,9,5,2,13,240,249,0.885,0.89,196.12485,,1347,20,8.209,Mobile&Web App
1,s14b_location_based_ad,1173.84,777,3,2,2,13,2,9,27,505,518,1.12,1.325,768.712,,3680,38,5.129,Web App
7,S15b_mission_science_irobots,,,2,2,9,33,8,1,4,110,143,1.14,1.15,187.473,,759,13,8.059,Mobile&Web App
3,s15b_snap_valet,288.32,314,1,2,2,11,4,3,5,125,136,0.925,0.965,121.397,,302.5,12,3.12,Mobile Game
1,S15b_we_are_trojans_network,307.73,343,3,0,2,9,2,5,16,300,309,0.935,0.935,270.135525,,1965,23,21.344,Mobile&Web App
3,s16_bad_driver,96.48,56,3,4,2,16,11,9,4,205,221,1.135,1.25,313.54375,,1392,24,3.4,Mobile&Web App
4,S16b_flower_seeker,134.1,138,3,2,1,10,13,3,2,125,135,0.89,1.025,123.15375,,804.5,18,2.3,Mobile&Web App
2,s16b_Picshare_AA,136.53,160,2,2,0,6,15,13,3,250,256,0.94,0.875,210.56,,1592,31,2.1,Mobile&Web App
1,s16b_Picshare_RA,NaN,337,1,2,1,8,6,7,16,340,348,0.94,0.89,291.1368,,3113,29,2.1,Mobile Game
4,s17_tikiman_go,49.26,29,1,1,0,3,4,15,1,185,188,1.175,1.31,289.379,,737,20,1.4,Mobile&Web App
