id,element,useCase,type,component
1,Administrator:User management button,Activate user,control,Usermanagementbutton
2,Administrator:activation success message,Activate user,boundary,activationsuccessmessage
3,Administrator:invalid input information error,Activate user,control,Usermanagementbutton
4,Administrator:user is already activated error,Activate user,boundary,activationsuccessmessage
5,Administrator:unauthorized error message,Activate user,control,Usermanagementbutton
6,Administrator:user information page,Activate user,control,Usermanagementbutton
7,Administrator:user management page,Activate user,control,Usermanagementbutton
8,Administrator:user edit page,Activate user,control,Usermanagementbutton
9,activtate the user:User,Activate user,control,Usermanagementbutton
10,save input user information:User,Activate user,control,Usermanagementbutton
11,User management button:validate role of user,Activate user,entity,role
12,activtate the user:activation success message,Activate user,boundary,activationsuccessmessage
13,check the status of user:activtate the user,Activate user,boundary,activationsuccessmessage
14,check the status of user:user information page,Activate user,control,Usermanagementbutton
15,check the status of user:user is already activated error,Activate user,boundary,activationsuccessmessage
16,user management page:check the status of user,Activate user,control,checkthestatusofuser
17,display user edit page:user edit page,Activate user,control,Usermanagementbutton
18,user information page:display user edit page,Activate user,control,Usermanagementbutton
19,display user information:user information page,Activate user,control,Usermanagementbutton
20,save input user information:display user information,Activate user,control,Usermanagementbutton
21,validate input user information:invalid input information error,Activate user,control,Usermanagementbutton
22,validate role of user:role,Activate user,entity,role
23,validate input user information:save input user information,Activate user,control,Usermanagementbutton
24,validate role of user:unauthorized error message,Activate user,control,Usermanagementbutton
25,user edit page:validate input user information,Activate user,control,Usermanagementbutton
26,validate role of user:user management page,Activate user,control,Usermanagementbutton
27,stl#Administrator:User management button,Activate user,Stimulus,undefined
28,stl#Administrator:activation success message,Activate user,Stimulus,undefined
29,stl#Administrator:invalid input information error,Activate user,Stimulus,undefined
30,stl#Administrator:user is already activated error,Activate user,Stimulus,undefined
31,stl#Administrator:unauthorized error message,Activate user,Stimulus,undefined
32,stl#Administrator:user information page,Activate user,Stimulus,undefined
33,stl#Administrator:user management page,Activate user,Stimulus,undefined
34,stl#Administrator:user edit page,Activate user,Stimulus,undefined
