id,element,NOCH,DIT,CBO,NUMS,NCI,NCIF
1,$help://usecasediagram.htm,0,0,0,0,0,0
2,$help://use_case_model_pattern.htm,0,0,0,0,0,0
3,$help://actor.htm,0,0,0,0,0,0
4,System Boundary,0,0,0,0,0,0
5,$help://domain_model_pattern.htm,0,0,0,0,0,0
6,Course,0,0,0,0,0,0
7,Course Review Page,0,0,0,0,0,0
8,Course attendeee profile page,0,0,0,0,0,0
9,Course detail page,0,0,0,0,0,0
10,Course providing records,0,0,0,0,0,0
11,Course request page,0,0,0,0,0,0
12,Course review records,0,0,0,0,0,0
13,Course search page,0,0,0,0,0,0
14,Dashboard course management page,0,0,0,0,0,0
15,Dashboard order management page,0,0,0,0,0,0
16,Dashboard process request page,0,0,0,0,0,0
17,Dashboard review management page,0,0,0,0,0,0
18,Dashboard user management page,0,0,0,0,0,0
19,Login Page,0,0,0,0,0,0
20,Order records,0,0,0,0,0,0
21,Order records page,0,0,0,0,0,0
22,Payment page,0,0,0,0,0,0
23,Share course records,0,0,0,0,0,0
24,Sign up course attendee page,0,0,0,0,0,0
25,Sign up trainer page,0,0,0,0,0,0
26,Trainer profile page,0,0,0,0,0,0
27,Trainer schedule page,0,0,0,0,0,0
28,User,0,0,0,0,0,0
29,savetheacceptanceinformation,0,0,0,0,0,0
