NUM,PROJ,Effort(Optimistic),Effort(Most Likely),Effort(Perssimistic),COCOMO Estimate,UCP,,Effort,Effort_ALY,Effort_Norm,Norm_Factor,KSLOC,UEUCW,UEUCW_ALY,UEXUCW,UEXUCW_ALY,UDUCW,UDUCW_ALY,UAW,UAW_ALY,TCF,TCF_ALY,EF,EF_ALY,EUCP,EUCP_ALY,EXUCP,EXUCP_ALY,DUCP_ALY,Effort_Norm_UCP,Path_Num,UseCase_Num,Diagram_Num,INT,INT_ALY,DM,DM_ALY,CTRL,CTRL_ALY,EXTIVK,EXTIVK_ALY,EXTCLL,EXTCLL_ALY,NT,NT_ALY,NWT_ALY,NWT_DE_ALY,DET,RET,ILF,EIF,Type,Type_Label
13,F14a_mobile_application_for_mobile_controlled_lighting,1556.48,1945.6,2430.48,0,46.176,,257.5,0,1012.18,1.8,1.5,undefined,75,undefined,58,undefined,47,6,undefined,0.925,0,1.04,0,undefined,77.922,undefined,61.568,50.986,464.25,19,5,5,0,8,0,9,0,17,0,0,0,0,undefined,17,118,116,0,0,0,0,1,Mobile App
6,F15a_combat_conflict,1307.2,1626.4,2036.8,22.71507996,40.9584,,1281,0,1064.7,0.89,7.593,undefined,380,undefined,356,undefined,387,6,undefined,1.115,0,1.095,0,undefined,471.27705,undefined,441.97485,479.823525,1141.9,21,7,7,16,13,10,8,26,21,0,0,0,0,26,21,144,144,0,0,0,0,2,Web App
9,F15a_tour_conductor,945.44,1182.56,1477.44,2.426756496,54.34785,,1347,0,3279.96,1.88,3.679,undefined,395,undefined,521,undefined,678,9,undefined,1.135,0,0.995,0,undefined,456.2473,undefined,598.54225,775.846275,2529,27,8,10,15,14,13,10,29,24,0,0,0,0,29,24,216,220,0,2,0,0,2,Web App
4,F14a_tipsure_com,1661.36,2076.32,2596.16,1.064323889,88.513875,,266,0,734.24,1.48,0.73,undefined,120,undefined,172,undefined,98,9,undefined,0.855,0,1.025,0,undefined,113.052375,undefined,158.623875,93.772125,393.63,55,8,10,24,22,26,30,51,53,1,1,0,0,51,53,556,556,0,2,0,0,2,Web App
5,F14a_women_at_work_website_redesign,343.52,430.16,536.56,2.003415851,68.35725,,140.5,0,415.83,1.71,3.2,undefined,145,undefined,99,undefined,90,12,undefined,0.855,0,1.025,0,undefined,137.590875,undefined,97.277625,89.39025,240.63,30,8,10,13,13,10,11,30,30,6,6,1,0,30,30,198,206,0,2,0,0,2,Web App
19,F14a_soccer_data_web_crawler,,,,11.54690115,65.65125,,268.5,0,206.55,0.72,2.258,undefined,134,undefined,109,undefined,101,6,undefined,0.915,0,1.025,0,undefined,131.3025,undefined,107.855625,100.352625,194.09,32,8,10,undefined,15,undefined,17,undefined,32,undefined,0,undefined,0,undefined,32,272,272,0,2,0,0,2,Web App
11,S15b_we_are_trojans_network,1322.4,1652.24,2065.68,9.497271151,104.032775,,1965,0,4531.59,1.25,6.415,undefined,465,undefined,621,undefined,678,9,undefined,0.935,0,0.935,0,undefined,414.38265,undefined,550.76175,600.592575,2447.93,80,9,12,34,46,21,34,55,80,0,0,0,0,55,80,846,938,0,3,0,0,2,Web App
2,f14a_gotrla,0,0,0,17.83233435,98.868175,,482,0,567.91,1.41,6.569,undefined,115,undefined,215,undefined,223,9,undefined,0.835,0,0.995,0,undefined,103.0223,undefined,186.1048,192.7514,681.71,61,10,12,27,31,27,29,59,61,5,1,0,0,59,61,515,523,0,2,0,0,1,Mobile App
1,f14a_cash_doctor,1597.52,1997.28,2497.36,5.72374069,74.7225,,724,0,1146.36,0.9,2.95,undefined,145,undefined,128,undefined,121,9,undefined,0.9,0,1.025,0,undefined,142.065,undefined,126.3825,119.925,652.02,34,10,12,19,20,13,13,32,34,0,1,0,0,32,34,238,238,0,2,0,0,1,Mobile App
14,F14a_REFERsy,772.16,965.2,1205.36,11.49782066,80.072625,,263,0,462.32,1.12,7.25,undefined,150,undefined,126,undefined,99,11,undefined,0.925,0,0.995,0,undefined,148.180375,undefined,126.091375,101.24125,294.61,36,10,12,18,22,9,9,32,36,5,5,4,4,32,36,198,190,0,2,0,0,2,Web App
10,s15b_snap_valet,866.4,1082.24,1352.8,1.435608697,143.712625,,302.5,0,618.1,1.89,0.552,undefined,165,undefined,320,undefined,314,9,undefined,0.925,0,0.965,0,undefined,155.31675,undefined,293.673625,288.317875,572.18,79,11,13,56,55,21,21,82,79,3,3,1,2,82,79,694,700,0,2,0,0,1,Mobile App
3,F14a_sharethetraining_com,1643.12,2055.04,2568.8,20.73000438,104.3328,,571,0,781.79,1.19,8.116,undefined,195,undefined,189,undefined,259,9,undefined,0.88,0,1.04,0,undefined,186.7008,undefined,181.2096,245.2736,681.05,52,13,16,30,31,17,16,54,51,5,4,2,2,54,51,334,330,0,3,0,0,2,Web App
12,S16b_flower_seeker,1325.44,1656.8,2071.76,25.97476786,95.78625,,804.5,0,541.36,0.68,7.365,undefined,240,undefined,177,undefined,138,9,undefined,0.89,0,1.025,0,undefined,227.15025,undefined,169.6785,134.10075,549.82,49,16,19,30,29,18,18,51,48,1,1,2,2,51,48,250,244,0,3,0,0,2,Web App
7,F15a_construction_meeting_minutes_application,1155.2,1444,1808.8,0,163.4475,,1482.5,0,2837.8,1.38,1.386,undefined,595,undefined,521,undefined,478,6,undefined,0.925,0,1.15,0,undefined,639.31375,undefined,560.59625,514.855,1045.26,89,18,20,45,44,44,45,89,89,0,0,0,0,89,89,613,616,0,2,0,0,1,Mobile App
16,s16_bad_driver,,,,22.70320007,114.91875,,1392,0,881.82,0.67,4.71,undefined,180,undefined,148,undefined,256,12,undefined,1.135,0,1.25,0,undefined,272.4,undefined,227,380.225,931.84,50,12,12,0,4,0,14,0,18,0,0,0,0,undefined,18,526,570,0,0,0,0,3,Mobile&Web App
17,s16b_Picshare_AA,1088.32,1360.4,1699.36,15.10511951,111.86,,1592,0,2993.78,1.03,8.209,undefined,360,undefined,193,undefined,260,6,undefined,0.94,0,0.875,0,undefined,301.035,undefined,163.6775,218.785,1645.54,54,24,24,0,29,0,24,0,53,0,1,0,0,undefined,53,324,326,0,0,0,0,3,Mobile&Web App
8,F15a_nice_ecommerse,988,1231.2,1535.2,14.13972067,153.47325,,617,0,474.82,0.94,5.129,undefined,360,undefined,258,undefined,223,9,undefined,0.805,0,1.025,0,undefined,304.471125,undefined,220.308375,191.429,579.54,75,24,26,42,37,31,33,79,75,5,5,1,3,79,75,509,513,0,2,0,0,2,Web App
20,s16b_Picshare_RA,,,,15.10511951,144.7318,,3113,0,5850.41,1.03,8.059,undefined,595,undefined,641,undefined,688,8,undefined,0.94,0,1.29,0,undefined,731.1978,undefined,786.9774,843.9696,3216.99,106,24,24,undefined,36,undefined,49,undefined,70,undefined,0,undefined,3,undefined,70,1208,1301,0,0,0,0,3,Mobile&Web App
15,s17_tikiman_go,,,,5.750058586,220.11275,,737,0,739.72,1.07,3.12,undefined,420,undefined,359,undefined,229,3,undefined,1.175,0,1.31,0,undefined,651.10275,undefined,557.2085,357.106,787.06,56,28,33,0,2,0,16,0,18,0,0,0,0,undefined,18,320,298,0,4,0,0,4,Mobile Game
18,s14b_location_based_ad,,,,97.65068355,583.212,,3680,0,2392.85,0.89,21.344,undefined,705,undefined,701,undefined,777,14,undefined,1.12,0,1.325,0,undefined,1066.996,undefined,1061.06,1173.844,3264.97,246,47,47,0,119,0,57,0,168,0,2,0,11,undefined,168,2332,2435,0,0,0,0,1,Mobile&Web App
