id,attribute,type,element,diagram
1,TeamPlanner,String,Team Details From RacePlanner,Domain Objects
2,CreatedBy,char[],User Details,Domain Objects
3,CreationTime,Date,User Details,Domain Objects
4,Email,String,User Details,Domain Objects
5,ModificationTime,Date,User Details,Domain Objects
6,Modifiedby,char[],User Details,Domain Objects
7,Password,String,User Details,Domain Objects
8,UserID,char,User Details,Domain Objects
9,UserType,String,User Details,Domain Objects
10,CreatedBy,String,Girl Details,Domain Objects
11,DateOfBirth,char[],Girl Details,Domain Objects
12,FirstName,String,Girl Details,Domain Objects
13,GirlID,int,Girl Details,Domain Objects
14,LastName,String,Girl Details,Domain Objects
15,Medications,String,Girl Details,Domain Objects
16,ModificationTime,Date,Girl Details,Domain Objects
17,ModifiedBy,String,Girl Details,Domain Objects
18,PaymentMode,int,Girl Details,Domain Objects
19,Phone,String,Girl Details,Domain Objects
20,SpecialProblems,String,Girl Details,Domain Objects
21,TeamId,String,Girl Details,Domain Objects
22,Waiver,int,Girl Details,Domain Objects
23,CreatedBy,Date,Volunteer Couch Details,Domain Objects
24,CreationTime,Date,Volunteer Couch Details,Domain Objects
25,Email,String,Volunteer Couch Details,Domain Objects
26,ModificationTime,Date,Volunteer Couch Details,Domain Objects
27,ModifiedBy,char[],Volunteer Couch Details,Domain Objects
28,Name,String,Volunteer Couch Details,Domain Objects
29,Password,String,Volunteer Couch Details,Domain Objects
30,Phone,int,Volunteer Couch Details,Domain Objects
31,TeamID,String,Volunteer Couch Details,Domain Objects
32,VolunteerID,char[],Volunteer Couch Details,Domain Objects
33,CreatedBy,String,Volunteeer Coach Attendance,Domain Objects
34,CreationTime,Date,Volunteeer Coach Attendance,Domain Objects
35,ModificationTime,TimeStamp,Volunteeer Coach Attendance,Domain Objects
36,ModifiedBy,String,Volunteeer Coach Attendance,Domain Objects
37,Presence,int,Volunteeer Coach Attendance,Domain Objects
38,Session,char[],Volunteeer Coach Attendance,Domain Objects
39,TeamID,char[],Volunteeer Coach Attendance,Domain Objects
40,VolunteerID,char[],Volunteeer Coach Attendance,Domain Objects
41,CreatedBy,char[],Girl Attendance,Domain Objects
42,CreationTime,Date,Girl Attendance,Domain Objects
43,GirldID,int,Girl Attendance,Domain Objects
44,ModificationTime,TimeStamp,Girl Attendance,Domain Objects
45,ModifiedBy,char[],Girl Attendance,Domain Objects
46,Presence,int,Girl Attendance,Domain Objects
47,Session,String,Girl Attendance,Domain Objects
48,TeamID,int,Girl Attendance,Domain Objects
49,Email,String,Volunteer Coach Details From RacePlanner,Domain Objects
50,FirstName,String,Volunteer Coach Details From RacePlanner,Domain Objects
51,LastName,String,Volunteer Coach Details From RacePlanner,Domain Objects
52,TeamName,String,Volunteer Coach Details From RacePlanner,Domain Objects
53,Comments,String,Girl Details from RacePlanner,Domain Objects
54,DateofBirth,int,Girl Details from RacePlanner,Domain Objects
55,FirstName,String,Girl Details from RacePlanner,Domain Objects
56,LastName,String,Girl Details from RacePlanner,Domain Objects
57,Medications,String,Girl Details from RacePlanner,Domain Objects
58,PaymentMode,String,Girl Details from RacePlanner,Domain Objects
59,Phone,int,Girl Details from RacePlanner,Domain Objects
60,SpecialProblems,String,Girl Details from RacePlanner,Domain Objects
61,TeamName,String,Girl Details from RacePlanner,Domain Objects
62,Waiver,String,Girl Details from RacePlanner,Domain Objects
63,Createdby,char[],Team Information,Domain Objects
64,CreationTime,String,Team Information,Domain Objects
65,Duration,String,Team Information,Domain Objects
66,ModificationTime,String,Team Information,Domain Objects
67,ModifiedBy,String,Team Information,Domain Objects
68,Name,String,Team Information,Domain Objects
69,TeamId,char[],Team Information,Domain Objects
70,Comments,String,Paper Forms,Domain Objects
71,DateofBirth,Date,Paper Forms,Domain Objects
72,FirstName,String,Paper Forms,Domain Objects
73,LastName,String,Paper Forms,Domain Objects
74,Medications,String,Paper Forms,Domain Objects
75,PaymentMode,char[],Paper Forms,Domain Objects
76,Phone,int,Paper Forms,Domain Objects
77,SpecialProblems,String,Paper Forms,Domain Objects
78,TeamName,String,Paper Forms,Domain Objects
79,Waiver,String,Paper Forms,Domain Objects
