id,operation,element
1,User,User
2,caselist,User
3,edituserinformation,User
4,specificdocumentrecord,specificdocumentrecord
5,printthedocument,specificdocumentrecord
6,documentdatabase,specificdocumentrecord
7,documentuploadpage,specificdocumentrecord
8,validationfailedmessage,validationfailedmessage
9,successmessage,validationfailedmessage
10,validatetheroleofuser,validationfailedmessage
11,caseinformationpage,validationfailedmessage
12,descriptionshouldnotbeblankmessage,validationfailedmessage
13,returnactivitydescriptionpage,validationfailedmessage
14,validatethedescirpitonofactivity,validationfailedmessage
15,correspondingrolesmainpage,validationfailedmessage
16,wrongactionmessage,validationfailedmessage
17,unauthorizedactioninformation,validationfailedmessage
18,filedownloadinterface,filedownloadinterface
19,downloadthedocument,filedownloadinterface
20,printer,filedownloadinterface
21,insertthenewusernameandpasswordintotheuserdb,insertthenewusernameandpasswordintotheuserdb
22,Createnewcasebutton,insertthenewusernameandpasswordintotheuserdb
23,insertcaseintocasedatabase,insertthenewusernameandpasswordintotheuserdb
24,redirecttheusertothecorrespondingrolesmainpage,insertthenewusernameandpasswordintotheuserdb
25,insertuserinformation,insertthenewusernameandpasswordintotheuserdb
26,passwordresetpage,insertthenewusernameandpasswordintotheuserdb
27,updatethepasswordtodatebase,insertthenewusernameandpasswordintotheuserdb
28,insertdocumentintodocumentdb,insertthenewusernameandpasswordintotheuserdb
29,addvewbutton,addvewbutton
30,UseManagementbutton,addvewbutton
31,reportbutton,addvewbutton
32,resetpasswordbutton,addvewbutton
33,loginpage,loginpage
34,caseinfopage,loginpage
35,redirecttonewcasepage,loginpage
36,reportpage,loginpage
37,choosefilepage,loginpage
