id,element,type,outbound_degree,inbound_degree,diagram,useCase
1,Invalid error message,boundary,0,2,Online registration,Online registration
2,Display an invalid error message,control,1,1,Online registration,Online registration
3,Validate registration information,control,2,1,Online registration,Online registration
4,Rest cal for inserting registration data,control,1,1,Online registration,Online registration
5,Neon CRM,actor,0,1,Online registration,Online registration
6,Registration Page,boundary,1,2,Online registration,Online registration
7,redirect to registration page,control,1,1,Online registration,Online registration
8,Register Online Button,boundary,1,1,Online registration,Online registration
9,User,actor,3,0,Online registration,Online registration
10,Invalid error message,boundary,0,2,Online Feedback Process,Online Feedback Process
11,Display an invalid feedback error message,control,1,1,Online Feedback Process,Online Feedback Process
12,Validate feedback data,control,2,1,Online Feedback Process,Online Feedback Process
13,Rest cal for inserting feedback,control,1,1,Online Feedback Process,Online Feedback Process
14,Neon CRM,actor,0,1,Online Feedback Process,Online Feedback Process
15,Feedback form,boundary,1,2,Online Feedback Process,Online Feedback Process
16,display feedback form,control,1,1,Online Feedback Process,Online Feedback Process
17,Feedback page,boundary,1,1,Online Feedback Process,Online Feedback Process
18,User,actor,3,0,Online Feedback Process,Online Feedback Process
19,Checkin information,entity,0,1,Onsite user checkin,Onsite user checkin
20,Invalid checkin information,boundary,1,2,Onsite user checkin,Onsite user checkin
21,save checkin information,control,1,2,Onsite user checkin,Onsite user checkin
22,Rest cal for validating checkin information,control,2,1,Onsite user checkin,Onsite user checkin
23,Neon CRM,actor,1,2,Onsite user checkin,Onsite user checkin
24,checkin page,boundary,1,2,Onsite user checkin,Onsite user checkin
25,display checkin page,control,1,1,Onsite user checkin,Onsite user checkin
26,Checkin button,boundary,1,1,Onsite user checkin,Onsite user checkin
27,User,actor,3,0,Onsite user checkin,Onsite user checkin
28,document,entity,0,1,Secure Document Management,Secure Document Management
29,login,entity,0,1,Secure Document Management,Secure Document Management
30,Invalid store error message,boundary,0,2,Secure Document Management,Secure Document Management
31,Display an invalid store error message,control,1,2,Secure Document Management,Secure Document Management
32,store the document,control,3,1,Secure Document Management,Secure Document Management
33,document upload page,boundary,1,2,Secure Document Management,Secure Document Management
34,validate login information,control,2,1,Secure Document Management,Secure Document Management
35,document upload button,boundary,1,1,Secure Document Management,Secure Document Management
36,User,actor,3,0,Secure Document Management,Secure Document Management
37,viewing document error message,boundary,0,2,Secure File Management View Process,Secure File Management View Process
38,load documents,control,2,1,Secure File Management View Process,Secure File Management View Process
39,document,entity,0,2,Secure File Management View Process,Secure File Management View Process
40,login,entity,0,1,Secure File Management View Process,Secure File Management View Process
41,document detail page,boundary,0,2,Secure File Management View Process,Secure File Management View Process
42,Display error message,control,1,1,Secure File Management View Process,Secure File Management View Process
43,query document,control,3,1,Secure File Management View Process,Secure File Management View Process
44,document view page,boundary,1,2,Secure File Management View Process,Secure File Management View Process
45,validate login information,control,2,1,Secure File Management View Process,Secure File Management View Process
46,document view button,boundary,1,1,Secure File Management View Process,Secure File Management View Process
47,User,actor,4,0,Secure File Management View Process,Secure File Management View Process
48,Excel,entity,0,1,Report generation,Report generation
49,report,entity,0,1,Report generation,Report generation
50,dump report to Excel,control,2,1,Report generation,Report generation
51,report list,boundary,1,2,Report generation,Report generation
52,query report,control,2,1,Report generation,Report generation
53,report generation button,boundary,1,1,Report generation,Report generation
54,User,actor,3,0,Report generation,Report generation
55,Google plus,actor,0,1,Sharing articles to social media,Sharing articles to social media
56,Facebook,actor,0,1,Sharing articles to social media,Sharing articles to social media
57,Twitter,actor,0,1,Sharing articles to social media,Sharing articles to social media
58,article,entity,0,1,Sharing articles to social media,Sharing articles to social media
59,share to social network,control,4,1,Sharing articles to social media,Sharing articles to social media
60,article info,boundary,1,2,Sharing articles to social media,Sharing articles to social media
61,query article info,control,2,1,Sharing articles to social media,Sharing articles to social media
62,Article list,boundary,1,1,Sharing articles to social media,Sharing articles to social media
63,User,actor,2,0,Sharing articles to social media,Sharing articles to social media
64,article,entity,0,1,Add articles to blog,Add articles to blog
65,submit article to blog category,control,4,1,Add articles to blog,Add articles to blog
66,article add page,boundary,1,2,Add articles to blog,Add articles to blog
67,navigate article add page,control,1,1,Add articles to blog,Add articles to blog
68,Admin interface,boundary,1,1,Add articles to blog,Add articles to blog
69,Administrator,actor,2,0,Add articles to blog,Add articles to blog
