id,operation,element
1,helpactorhtm,$help://actor.htm
2,helpusecasemodelpatternhtm,$help://use_case_model_pattern.htm
3,operationselectionpanel,$help://use_case_model_pattern.htm
4,helpusecasediagramhtm,$help://usecasediagram.htm
5,SystemBoundary,System Boundary
6,helpdomainmodelpatternhtm,$help://domain_model_pattern.htm
7,AdministratorProfile,Administrator Profile
8,savetheapprovalstatusofregistration,Administrator Profile
9,BusinessClaim,Business Claim
10,addedbusinessbutton,Business Claim
11,listofclaims,Business Claim
12,ClaimDetail,Business Claim
13,loadclaimsbutton,Business Claim
14,claimpage,Business Claim
15,savetheapprovalstatusofclaim,Business Claim
16,displayclaimsrequests,Business Claim
17,Querybusinessbyoptions,Business Claim
18,BusinessOwnerProfile,Business Owner Profile
19,savebusinessinformationforverification,Business Owner Profile
20,Internetbrowser,Business Owner Profile
21,BusinessProfile,Business Profile
22,savetheapprovalstatusofthebusiness,Business Profile
23,pdffile,Business Profile
24,Comments,Comments
25,Homepage,Comments
26,commentsectionbutton,Comments
27,saveapprovalstatusofcomment,Comments
28,displaycommentdetail,Comments
29,QuestionForm,Question Form
30,businessinputinformation,Question Form
31,saveclaiminformationforverification,Question Form
32,displayregistratiionrequests,Question Form
33,displayselectionpanel,Question Form
34,notification,Question Form
35,checkifthequestionisalreadyanswered,Question Form
36,searchforrelevantinformationonline,Question Form
37,ResponseForm,Response Form
38,createaresponsebutton,Response Form
39,SearchResults,Search Results
40,redirecttosearchpanel,Search Results
41,Noresultfoundmessage,Search Results
42,TippingGuides,Tipping Guides
43,calculatetipsbasedoninputinfo,calculatetipsbasedoninputinfo
44,tipcalculatorpage,calculatetipsbasedoninputinfo
