id,element,NOCH,DIT,CBO,NUMS,NCI,NCIF
1,$help://actor.htm,0,0,0,0,0,0
2,$help://use_case_model_pattern.htm,0,0,0,0,0,0
3,$help://usecasediagram.htm,0,0,0,0,0,0
4,System Boundary,0,0,0,0,0,0
5,$help://domain_model_pattern.htm,0,0,0,0,0,0
6,Administrator Profile,0,0,0,0,0,0
7,Business Claim,0,0,0,0,0,0
8,Business Owner Profile,0,0,0,0,0,0
9,Business Profile,0,0,0,0,0,0
10,Comments,0,0,0,0,0,0
11,Question Form,0,0,0,0,0,0
12,Response Form,0,0,0,0,0,0
13,Search Results,0,0,0,0,0,0
14,Tipping Guides,0,0,0,0,0,0
15,calculatetipsbasedoninputinfo,0,0,0,0,0,0
