NUM,PROJ,UC,CCSS,UEUCW,IT,UEXUCW,ILF,ELF,EI,EO,EQ,ADD,CFP,DFP,AFP,PH
0,f13b_picshare,Admin deletes photo,3,5,3,4,5,5,7,4,2,23,0,23,23,30
1,f13b_picshare,Admin login,2,5,0,0,3,5,5,2,0,15,0,15,15,18
2,f13b_picshare,Auto expiration,2,5,0,0,0,4,6,0,0,10,0,10,10,21
3,f13b_picshare,Admin searches for photo by event,0,0,4,4,0,0,0,0,0,0,0,0,0,9
4,f13b_picshare,Admin searches for photo by user,0,0,4,4,0,0,0,0,0,0,0,0,0,15
5,f13b_picshare,Automatic deletion,0,0,3,3,0,0,0,0,0,0,0,0,0,18
6,f13b_picshare,Create Account,4,10,5,9,1,8,9,8,0,26,0,26,26,49
7,f13b_picshare,Create Profile,3,5,3,3,3,3,10,0,2,18,0,18,18,31
8,f13b_picshare,Create a Private Event,2,5,3,3,3,2,2,5,1,13,0,13,13,36
9,f13b_picshare,Create a Public Event,2,5,3,3,4,2,2,5,1,14,0,14,14,42
10,f13b_picshare,Delete Photos in Event if Owner,4,10,5,5,2,9,7,8,9,35,0,35,35,59
11,f13b_picshare,Delete uploaded photos,4,10,5,5,3,10,0,0,5,18,0,18,18,28
12,f13b_picshare,Downoad Photos to Device,2,5,3,3,10,17,3,18,24,72,0,72,72,234
13,f13b_picshare,Log In to Account,2,5,4,4,1,4,7,2,0,14,0,14,14,36
14,f13b_picshare,Log Out of Account,2,5,2,2,1,2,6,0,0,9,0,9,9,9
15,f13b_picshare,Navigation,4,10,5,5,2,4,4,0,0,10,0,10,10,24
16,f13b_picshare,Open my event for upload,3,5,0,0,10,9,8,9,12,48,0,48,48,127
17,f13b_picshare,Reserve a Hashtag,0,0,4,5,1,9,3,4,0,17,0,17,17,61
18,f13b_picshare,Search by Location,0,0,6,6,9,6,2,6,0,23,0,23,23,122
19,f13b_picshare,Search by event,0,0,4,6,2,8,8,2,0,20,0,20,20,60
20,f13b_picshare,Search event,5,10,0,0,7,6,2,4,5,24,0,24,24,66
21,f13b_picshare,Search for photo by user,4,10,0,0,5,5,7,4,2,23,0,23,23,84
22,f13b_picshare,Search event and upload photo,4,10,4,4,3,3,10,0,11,27,0,27,27,96
23,f13b_picshare,Set a password,2,5,1,1,2,2,1,2,0,7,0,7,7,6
24,f13b_picshare,Take a photo,4,10,5,5,7,16,15,9,7,54,0,54,54,192
25,f13b_picshare,Take photo for location,4,10,4,4,3,3,12,0,0,18,0,18,18,69
