NUM,PROJ,UC,CCSS,UEUCW,IT,UEXUCW,ILF,ELF,EI,EO,EQ,ADD,CFP,DFP,AFP,PH
26,f13b_picshare,Upload photo to my event,2,5,3,5,3,9,8,0,0,20,0,20,20,126
27,f13b_picshare,View photos of event/View photos of private event with password,4,10,6,6,8,17,9,19,9,62,0,62,62,227
28,f13b_picshare,View photos on device,4,10,4,6,7,18,8,16,3,52,0,52,52,121
29,s14b_location_based_ad,Admin Login,5,10,4,7,4,5,7,4,0,20,0,20,20,0
30,s14b_location_based_ad,Annotate trip plan,4,10,3,5,10,4,4,2,0,20,0,20,20,0
31,s14b_location_based_ad,Bill partner for redemption transaction,4,10,4,7,3,9,2,6,0,20,0,20,20,0
32,s14b_location_based_ad,Buy Partner Subscription,2,5,6,7,5,13,2,4,0,24,0,24,24,0
33,s14b_location_based_ad,Cancel Partner Subscription,2,5,5,7,8,1,4,2,0,15,0,15,15,0
34,s14b_location_based_ad,Connect to trip plan - Android,5,10,5,5,4,11,2,0,0,17,0,17,17,0
35,s14b_location_based_ad,Connect to trip plan - iOS,,,5,5,,,,,,,,,,0
36,s14b_location_based_ad,Connect to trip plan - Trip Planner,6,10,,,6,4,0,0,6,16,0,16,16,0
37,s14b_location_based_ad,Contact us,3,5,2,3,,,,,,,,,,0
38,s14b_location_based_ad,Create Account,3,5,7,9,14,5,5,5,0,29,0,29,29,0
39,s14b_location_based_ad,Create Offer,6,10,9,12,5,16,2,8,0,31,0,31,31,0
40,s14b_location_based_ad,Default Payment,,,,,14,2,4,6,0,26,0,26,26,0
41,s14b_location_based_ad,Delete Coupon - iOS,2,5,4,4,7,1,4,0,0,12,0,12,12,
42,s14b_location_based_ad,Delete Partner Account,4,10,7,8,3,7,3,0,0,13,0,13,13,0
43,s14b_location_based_ad,Design Coupon,4,10,6,8,4,12,11,4,0,31,0,31,31,0
44,s14b_location_based_ad,Dispute Redemption,2,5,3,4,5,11,2,6,0,24,0,24,24,0
45,s14b_location_based_ad,Find add and delete places,4,10,3,3,2,1,6,4,0,13,0,13,13,0
46,s14b_location_based_ad,Generate Coupon With Bar Codes,3,5,2,3,1,16,2,4,0,23,0,23,23,0
47,s14b_location_based_ad,Load Coupons - iOS,2,5,,,2,1,1,2,0,6,0,6,6,0
48,s14b_location_based_ad,Log Transactions,4,10,3,2,1,6,6,2,0,15,0,15,15,0
49,s14b_location_based_ad,Login to facebook and share,,,,,11,4,10,1,0,26,0,26,26,0
50,s14b_location_based_ad,Login to tripplanner - iOS,6,10,4,4,3,2,4,2,4,15,0,15,15,0
51,s14b_location_based_ad,Login to tripPlanner - Android,4,10,4,5,5,2,9,10,0,26,0,26,26,0
52,s14b_location_based_ad,Manage subscription,3,5,3,4,4,10,0,0,10,24,0,24,24,0
53,s14b_location_based_ad,Manage Trip Plan,9,15,7,9,12,7,7,0,4,30,0,30,30,0
54,s14b_location_based_ad,Mark coupon-ios,1,5,2,2,,,,,,,,,,0
55,s14b_location_based_ad,Modify Offer,5,10,3,3,2,17,8,0,0,27,0,27,27,0
56,s14b_location_based_ad,Notify Partner of Redemption,2,5,5,8,3,2,10,0,0,15,0,15,15,0
57,s14b_location_based_ad,Partner Login,3,5,6,6,5,1,6,4,0,16,0,16,16,0
58,s14b_location_based_ad,Publish Offer,4,10,3,3,4,16,2,4,0,26,0,26,26,0
59,s14b_location_based_ad,Pre-purchase Coupon - iOS,,,,,15,9,2,2,0,28,0,28,28,0
60,s14b_location_based_ad,Print photo books,,,,,16,4,16,4,0,40,0,40,40,0
61,s14b_location_based_ad,Reactive Partner Account,3,5,4,6,4,3,2,4,0,13,0,13,13,0
62,s14b_location_based_ad,Receive Coupon - Android,4,10,3,7,7,8,5,6,0,26,0,26,26,0
63,s14b_location_based_ad,Receive Coupon - iOS,5,10,8,8,5,2,1,4,0,12,0,12,12,0
64,s14b_location_based_ad,Redeem Coupon - Android,4,10,5,5,4,10,1,2,0,17,0,17,17,0
65,s14b_location_based_ad,Redeem Coupon - iOS,,,5,5,,,,,,,,,,0
66,s14b_location_based_ad,Resolve Dispute,7,10,7,9,5,4,3,12,4,28,0,28,28,0
67,s14b_location_based_ad,Save it for later - Android,3,5,5,5,7,7,2,0,0,16,0,16,16,0
68,s14b_location_based_ad,Save it for later - iOS,2,5,5,5,,,,,,,,,,0
69,s14b_location_based_ad,Schedule visit and view trip calendar,2,5,,,6,2,2,4,0,14,0,14,14,0
70,s14b_location_based_ad,Share to facebook,,,,,7,2,7,1,0,17,0,17,17,0
71,s14b_location_based_ad,Specify default payment method use case,5,10,6,6,,,,,,,,,,0
72,s14b_location_based_ad,Subscribe and unsubscribe from partner offer,,,,,4,18,2,4,0,28,0,28,28,0
73,s14b_location_based_ad,Suspend Partner Account Storyboard,3,5,9,11,3,5,4,8,0,20,0,20,20,0
74,s14b_location_based_ad,Test Coupon,2,5,4,4,4,11,3,6,0,24,0,24,24,0
75,s14b_location_based_ad,Upload Image,3,5,3,3,3,6,3,4,0,16,0,16,16,0
76,s14b_location_based_ad,Validate Redemption Password,4,10,5,7,2,13,3,6,0,24,0,24,24,0
77,s14b_location_based_ad,View Bill,4,10,4,4,17,15,11,0,0,43,0,43,43,0
78,s14b_location_based_ad,View Partner Billing status storyboard,6,10,7,9,5,3,5,0,4,17,0,17,17,0
79,s14b_location_based_ad,View partner offer,5,10,2,2,,,,,,,,,,0
80,s14b_location_based_ad,View redemption statistics for partner storyboard,3,5,5,7,3,4,10,0,0,17,0,17,17,0
81,s14b_location_based_ad,View stored coupons - Android,2,5,4,6,3,14,9,4,0,30,0,30,30,0
82,s14b_location_based_ad,View stored coupons - iOS,2,5,6,6,,,,,,,,,,0
83,s14b_location_based_ad,View Transaction Log,6,10,6,7,4,4,5,4,4,21,0,21,21,0
84,s14b_location_based_ad,View Trip Plan on Map and get Directions,3,5,3,5,5,11,7,2,0,25,0,25,25,0
85,s14b_location_based_ad,View and Mark Coupon - iOS,,,,,3,6,5,4,0,18,0,18,18,0
86,s16b_bad_driver,App user login,2,5,4,4,4,4,4,0,5,17,0,17,0,0
87,s16b_bad_driver,Ask Siri to Upload Video - iPhone App,2,5,,,,,,,,,,,,
88,s16b_bad_driver,Capture Frame from Video and get  LP number,2,5,8,8,2,9,10,2,0,23,0,23,0,0
89,s16b_bad_driver,Emergency Alert,4,10,,,,,,,,,,,,
90,s16b_bad_driver,First-time Users Sign Up,2,5,,,,,,,,,,,,
91,s16b_bad_driver,Login - Android App,3,5,,,,,,,,,,,,
92,s16b_bad_driver,Login - iPhone App,3,5,,,,,,,,,,,,
93,s16b_bad_driver,Extract License Plat Number from Video,0,0,0,0,3,5,8,13,5,34,0,34,0,0
94,s16b_bad_driver,Extract Metrics on Number of hits,0,0,0,0,4,5,8,3,0,20,0,20,0,0
95,s16b_bad_driver,Generate Usage-based bill,0,0,0,0,7,3,9,2,1,22,0,22,0,0
96,s16b_bad_driver,Independent Review of Bad Driver Report,0,0,6,6,6,3,24,5,1,39,0,39,0,0
97,s16b_bad_driver,Post Bad Driver Report to Insurance DB,3,5,8,8,0,19,8,5,4,36,0,36,0,0
98,s16b_bad_driver,Query bad driver reporting DB,4,10,2,2,2,18,8,0,2,30,0,30,0,0
99,s16b_bad_driver,Query by License Plate Number,2,5,,,,,,,,,,,,
100,s16b_bad_driver,Recording video clips in a circular buffer,0,0,3,3,3,8,7,2,3,23,0,23,0,0
101,s16b_bad_driver,Record Video - Android App,2,5,,,,,,,,,,,,
102,s16b_bad_driver,Recording video of bad driving event,2,5,7,7,4,1,2,1,4,12,0,12,0,0
103,s16b_bad_driver,Resolve Potential Duplicates,1,5,3,3,6,20,8,0,6,40,0,40,0,0
104,s16b_bad_driver,Review Bad Driver Report,2,5,,,,,,,,,,,,
105,s16b_bad_driver,Reviewer/Agent Login,5,10,5,5,2,8,4,0,4,18,0,18,0,0
106,s16b_bad_driver,Send Drunk Driver Alert,4,10,7,7,3,18,2,7,0,30,0,30,0,0
107,s16b_bad_driver,Upload Video Clip and Metadata - Android App,2,5,,,,,,,,,,,,
108,s16b_bad_driver,Upload Vaideo Clip and Metadata - iPhone  App,2,5,,,,,,,,,,,,
109,s16b_bad_driver,Upload video clip to bad driver recording DB,4,10,5,5,0,5,6,20,7,38,0,38,0,0
110,s16b_bad_driver,View video clips,2,5,4,4,4,4,7,4,2,21,0,21,0,0
111,s17_tikiman_go,Algorithm,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,s17_tikiman_go,Calculate score ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,s17_tikiman_go,Change Weapon,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,s17_tikiman_go,Choose Avatar,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,s17_tikiman_go,Choose Weapon,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,s17_tikiman_go,Create Account,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,s17_tikiman_go,Determine AR/ VR mode,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,s17_tikiman_go,Fight Battle,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,s17_tikiman_go,Get Score,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,s17_tikiman_go,Increase Difficulty accordingly,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,s17_tikiman_go,Increase difficulty ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,s17_tikiman_go,Link the tourist spot to Doug's E-book,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,s17_tikiman_go,Login,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,s17_tikiman_go,Navigate in AR Mode,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,s17_tikiman_go,Navigate in VR Mode,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,s17_tikiman_go,Play Ar mode,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,s17_tikiman_go,Render Army,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,s17_tikiman_go,Render Battle Scene,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,s17_tikiman_go,Render Battle scene,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,s17_tikiman_go,Render Intial Mode,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,s17_tikiman_go,Render Minimap,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,s17_tikiman_go,Update Database,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,s17_tikiman_go,Update Screen,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,s17_tikiman_go,Use Weapon,0,0,0,0,0,0,0,0,0,0,0,0,0,0
