Team. NO.,Semester,PROJ,Type,PREC,FLEX,RESL,TEAM,PMAT,RELY,DATA,CPLX,RUSE,DOCU,TIME,STOR,PVOL,ACAP,PCAP,PCON,APEX,PLEX,LTEX,TOOL,SITE,SCED
2,Spring 2016,s16b_PicShare,Mobile,L,H,H,VH,N,N,H,N,L,N,N,N,L,H,H,VH,N,N,N,N,N,N
2,Fall 2015,f15b_PicShare,Mobile,L,H,H,VH,N,N,H,N,L,N,N,N,L,H,H,VH,N,N,N,N,N,N
6,Fall 2015,f15a_ConstructionMeeting_MinutesApp,Mobile,N,N,H,N,N,,,,,,,,,,,,,,,,,
,,,Module 1,,,,,,N,L,N,N,N,N,N,L,N,H,H,N,N,H,N,H,N
,,,Module 2,,,,,,N,L,N,N,N,N,N,L,N,H,H,N,N,H,N,H,N
,,,Module 3,,,,,,N,N,N,N,N,N,N,L,N,H,H,N,N,H,N,H,N
,,,Module 4,,,,,,N,N,N,N,N,N,N,L,N,H,H,N,N,H,N,H,N
,,,Module 5,,,,,,N,N,N,N,N,N,N,L,N,H,H,N,N,H,N,H,N
,,,Module 6,,,,,,N,N,N,N,N,N,N,L,N,H,H,N,N,H,N,H,N
,,,Module 7,,,,,,N,N,N,N,N,N,N,H,N,H,H,L,L,H,L,H,N
,,,Module 8-11,,,,,,N,N,N,N,N,N,N,L,N,H,H,N,N,H,N,H,N
,,,Module 9-12,,,,,,N,N,N,N,N,N,N,L,N,H,H,N,N,H,N,H,N
,,,Module 10,,,,,,N,N,N,N,N,N,N,L,N,H,VL,N,N,H,N,H,N
,,,Module 13,,,,,,N,N,N,N,N,N,N,L,N,H,VL,N,N,H,N,H,N
5,Fall 2015,f15a_Tour_Conductor,Web/mobile,H,H,L,H,L,,,,,,,,,,,,,,,,,
,,,Module 1,,,,,,N,N,N,VH,L,N,N,L,H,H,VH,L,N,L,VH,XH,N
,,,Module 2,,,,,,N,N,N,L,L,H,N,L,H,H,VH,N,VL,N,VH,XH,N
,,,Module 4,,,,,,N,N,N,L,L,N,N,L,H,H,VH,H,H,H,VH,XH,N
,,,Module 5,,,,,,N,N,N,L,N,H,N,L,H,H,VH,N,L,N,VH,XH ,N
,,,Module 6,,,,,,H,L,N,VH,N,N,N,L,H,H,VH,L,L,L,VH,XH,N
3,Fall 2015,f15a_Lingggo,Web,L,N,N,H,N,,,,,,,,,,,,,,,,,
,,,Match system,,,,,,H,L,H,H,H,N,N,L,N,N,L,N,N,N,N,H,
,,,Profile management system,,,,,,H,N,L,N,L,N,N,L,H,N,L,N,N,N,N,H,
,,,Message system,,,,,,H,H,N,H,H,N,H,H,N,N,L,N,N,N,N,H,
7,Fall 2015,f15a_NICE,Web,L,L,L,L,N,,,,,,,,,,,,,,,,,
,,,ecommerce/multi-vendor modules,,,,,,N,N,N,N,N,N,N,N,N,N,N,L,N,L,L,N,N
,,,blog/forums modules,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
4,Fall 2015,f15a_CombatConflict,Web,H,H,N,H,N,,,,,,,,,,,,,,,,,
,,,Insert PHPlugin module,,,,,,N,L,L,H,N,N,N,N,N,N,H,L,L,VL,H,H,VL
,,,WP business intelligence stats plugin module,,,,,,N,L,L,H,H,N,N,N,N,N,H,L,L,L,H,H,VL
,,,Wordpress Site module,,,,,,H,L,N,H,H,N,N,H,N,N,H,L,L,L,H,H,VL
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
