Team. NO.,Semester,PROJ,Type,PREC,FLEX,RESL,TEAM,PMAT,RELY,DATA,CPLX,RUSE,DOCU,TIME,STOR,PVOL,ACAP,PCAP,PCON,APEX,PLEX,LTEX,TOOL,SITE,SCED
1,Spring 2013,Pediatric Trauma Society Research Investigator Databank (PTS-RID),Web,N,H,H,H,H,,,,,,,,,,,,,,,,,
,,,pubmed pulling module,,,,,,H,H,H,L,N,N,N,N,N,L,VH,N,N,VL,N,N,N
,,,search module,,,,,,H,N,H,N,N,N,N,N,N,N,VH,N,N,L,H,N,N
,,,User Profile and CV module,,,,,,H,N,N,N,L,N,N,N,N,N,VH,N,N,N,H,N,N
,,,Discussion board and messaging module,,,,,,N,N,L,L,L,N,N,N,N,N,VH,N,N,L,VH,N,N
,,,Collaboration list module,,,,,,N,L,N,N,N,N,N,N,N,N,VH,N,N,N,H,N,N
5,Spring 2013,FlowerSeeker,Java,N,N,VH,H,N,,,,,,,,,,,,,,,,,
,,,Payment,,,,,,H,L,L,L,N,N,N,L,H,H,L,L,N,N,N,N,
,,,Rank & review,,,,,,L,L,N,VL,N,N,N,L,H,H,L,L,N,N,N,N,
,,,Order management,,,,,,N,L,L,L,N,N,N,L,H,H,L,L,N,N,N,N,
,,,Searching,,,,,,N,L,N,N,N,N,N,L,H,H,L,L,N,N,N,N,
,,,User management,,,,,,N,H,N,L,N,N,N,L,H,H,L,L,N,N,N,N,
,,,Product management,,,,,,H,VH,L,VL,N,N,H,L,H,H,L,L,N,N,N,N,
6,Spring 2013,Student Scheduling System,Web/Java,L,H,H,VH,N,,,,,,,,,,,,,,,,,
,,,Database module,,,,,,N,H,L,L,VL,N,N,N,N,H,H,N,H,H,H,H,
,,,Constraint processor module,,,,,,N,N,L,L,L,N,N,L,N,H,H,H,N,H,H,H,
,,,Study plan construction module,,,,,,N,N,H,L,N,N,N,L,N,H,H,N,H,N,H,H,
,,,Degree requirements construction module,,,,,,N,N,H,L,L,N,N,L,N,H,H,H,N,H,H,H,
,,,View control module,,,,,,N,N,VL,L,L,N,N,L,N,H,H,H,N,H,H,H,
,,,Authentication module,,,,,,N,N,L,L,L,N,N,L,N,H,H,H,N,H,H,H,
,,,Solver module,,,,,,N,N,H,L,VL,N,N,L,L,L,H,N,N,H,H,H,
2,Fall 2012,LCP_TRR_f12a_t02_v3.0,Microsoft access,,N,,H,H,N,,,,N,,,,H,H,,L,H,,,,
10,Fall 2012,XL 2,Desktop application,N,H,H,H,H,,,,,,,,,,,,,,,,,
,,,Input model module,,,,,,H,N,VL,N,N,N,N,L,H,H,VH,N,N,H,L,N,
,,,Budget report generator module,,,,,,N,H,VL,H,N,N,H,L,N,H,VH,N,N,H,L,N,
,,,Cash flow report generator module,,,,,,H,H,VL,VH,N,VH,VH,L,N,H,VH,N,N,H,L,N,
,,,Excel sheet populate and display module,,,,,,H,H,VL,H,N,VH,XH,L,N,H,VH,N,N,H,L,N,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
