Team. NO.,Semester,PROJ,Type,PREC,FLEX,RESL,TEAM,PMAT,RELY,DATA,CPLX,RUSE,DOCU,TIME,STOR,PVOL,ACAP,PCAP,PCON,APEX,PLEX,LTEX,TOOL,SITE,SCED
8,Spring 2017,s17b_Fokcus,Mobile,L,,,,,,,,,H,,,,,,L,,L,,,VH,
9,Spring 2017,s17b_FarmWorkers_SafetyApp,Web/mobile,H,H,N,VH,N,,,,,,,,,,,,,,,,,
,,,Temp. Retrieval module,,,,,,H,H,H,L,N,N,N,N,H,VH,H,H,N,,H,VL,
,,,Notification module,,,,,,VH,N,N,N,N,VH,N,N,VH,H,N,H,H,,H,VL,
,,,Learning module,,,,,,H,VH,VH,N,H,N,VH,H,VH,H,,VH,H,,H,VL,
,,,Testing module,,,,,,VH,H,H,VH,N,VH,N,L,VH,VH,N,H,H,,N,VL,
,,,Registration module,,,,,,H,H,N,L,N,N,H,L,VH,H,H,H,N,,N,VL,
10,Spring 2017,s17b_eLockbox,Web,H,N,N,H,N,,,,,,,,,,,,,,,,,
,,,Module 1,,,,,,N,N,N,N,N,H,H,L,N,N,H,L,N,N,N,VH,N
,,,Module 2,,,,,,N,N,N,N,N,H,N,L,N,N,H,L,N,N,N,VH,N
,,,Module 3,,,,,,N,N,N,N,N,H,N,L,N,N,H,L,N,N,N,VH,N
,,,Module 4,,,,,,N,N,N,N,N,H,N,L,N,N,H,L,N,N,N,VH,N
2,Fall 2016,f16a_vyma,Web,L,N,H,VH,N,,,,,,,,,,,,,,,,,
,,,Registration system,,,,,,H,N,H,L,H,N,H,L,H,H,N,L,N,L,H,H,
,,,Payment system,,,,,,H,N,N,H,N,H,N,N,H,VH,L,L,N,N,H,H,
,,,Migration,,,,,,H,L,N,N,L,N,N,L,H,H,H,N,N,N,L,H,
,,,Announcement,,,,,,L,N,N,N,N,N,N,N,H,VH,N,N,N,N,N,H,
,,,Event calendar,,,,,,VL,L,L,N,L,N,N,L,H,H,H,N,N,N,L,H,
4,Fall 2016,f16a_ImageProcessing_Platform,Web,L,N,N,N,H,,,,,,,,,,,,,,,,,
,,,Back-end,,,,,,L,H,L,L,L,N,H,N,H,H,N,L,N,N,N,N,N
,,,Model retraining,,,,,,N,H,H,H,N,N,H,N,H,H,N,L,N,N,N,N,N
,,,Image recognition,,,,,,N,L,L,L,L,N,N,N,H,H,N,L,N,N,N,N,N
,,,Front-end,,,,,,L,L,N,N,N,N,N,N,H,H,N,N,N,H,N,N,N
5,Fall 2016,f16a_ShareWeb,Web,N,H,H,VH,N,,,,,,,,,,,,,,,,,
,,,Picture module,,,,,,N,H,N,L,N,N,N,L,N,N,VH,H,N,N,N,H,
,,,Event module,,,,,,N,H,N,L,N,N,N,L,N,N,VH,H,N,N,N,H,
,,,User module,,,,,,N,N,N,H,N,N,N,L,N,N,VH,H,N,N,N,H,
6,Fall 2016,f16a_Newlette_Coins,Web,L,H,N,VH,N,,,,,,,,,,,,,,,,,
,,,Module 1,,,,,,N,H,N,H,N,N,N,L,H,H,VH,L,L,N,VH,XH,N
,,,Module 2,,,,,,N,H,N,H,N,N,N,L,H,H,VH,L,L,N,VH,XH,N
,,,Module 3,,,,,,H,VH,H,L,H,H,N,L,H,H,VH,VL,L,VL,VH,XH,N
,,,Module 4,,,,,,L,L,L,H,N,N,N,L,H,H,VH,H,N,N,VH,XH,N
,,,Module 5,,,,,,N,H,N,L,N,N,N,L,H,H,VH,N,N,N,VH,XH,N
,,,Module 6,,,,,,N,N,N,L,N,N,N,N,H,H,VH,N,N,N,VH,XH,N
,,,Module 7,,,,,,H,H,H,H,N,N,N,L,H,H,VH,L,L,N,VH,XH,N
,,,Module 8,,,,,,H,VH,H,L,H,N,N,L,H,H,VH,L,L,N,VH,XH,N
,,,Module 9,,,,,,N,VH,H,L,N,N,N,L,H,H,VH,L,L,N,VH,XH,N
,,,Module 10,,,,,,H,H,N,L,H,N,N,L,H,H,VH,N,N,N,VH,XH,N
7,Fall 2016,f16a_Fuppy,Mobile,L,H,L,L,L,,,,,,,,,,,,,,,,,
,,,Authentication,,,,,,N,L,L,N,N,N,N,L,N,N,L,L,L,L,L,N,VL
,,,Search,,,,,,H,N,N,N,H,N,N,L,N,N,L,L,L,L,L,N,VL
