Team. NO.,Semester,PROJ,Type,PREC,FLEX,RESL,TEAM,PMAT,RELY,DATA,CPLX,RUSE,DOCU,TIME,STOR,PVOL,ACAP,PCAP,PCON,APEX,PLEX,LTEX,TOOL,SITE,SCED
4,Fall 2011,LEMA FAMILY ACCOUNTABILITY SYSTEM,Web App,H,L,H,H,N,N,N,N,H,N,N,N,N,H,N,VL,L,N,N,N,H,-
7,Fall 2011,Leamos(TM),Web App,H,N,H,H,N,,,,,,,,,,,,,,,,,
,,,Password Recovery Module,,,,,,N,L,N,,,N,,L,N,N,N,N,L,L,L,VH,N
,,,Data Migration Module,,,,,,N,,N,,L,H,,N,N,N,N,N,L,L,H,VH,N
5,Spring 2012,Los Angeles Child Guidance Clinic Employment Opportunities Online Application System,Web App,H,N,H,H,N,L,N,L,L,N,N,N,N,N,L,H,N,N,L,N,H,N
11,Spring 2012,CRCD Management System,Management System,,,,,L,,,,VL,,,,,,N,,,,,,,
12,Spring 2012,LEMA Pilot School Integrated Scheduling System,Scheduling System,N,L,H,N,N,,,,,,,,,,,,,,,,,
,,,Teacher Course Allocation Module,,,,,,L,L,L,L,H,N,N,N,N,N,L,H,N,N,N,N,N
,,,Database Module,,,,,,N,N,L,L,H,N,N,N,N,N,L,H,N,N,N,N,N
,,,Family Accountability Integration Module,,,,,,N,L,N,L,H,N,N,N,N,N,L,N,N,N,N,N,N
,,,csv import/export for integration,,,,,,L,L,N,L,H,N,N,N,N,N,L,H,L,N,N,N,N
,,,Student Progress Tracking,,,,,,L,L,L,L,H,N,N,N,N,N,L,H,N,N,N,N,N
,,,Student Course Allocation module,,,,,,L,L,L,L,H,N,N,N,N,N,L,H,N,N,N,N,N
,,,Head Scheduler Data entry module,,,,,,L,L,L,L,H,N,N,N,N,N,L,H,N,N,N,N,N
,,,Student Course Preference module,,,,,,L,L,L,L,H,N,N,N,N,N,L,H,N,N,N,N,N
14,Spring 2012,Transportation Grant Fund Database,Transportation Grant Fund Database,,,,,,,,,,,,,,H,L,VH,H,L,L,N,,
13,Spring 2012,The Los Angeles Community Garden Inventory and Locator,Web App,H,N,H,N,N,,,,,,,,,,,,,,,,,
,,,Garden Locator,,,,,,L,N,N,L,H,N,N,L,N,N,N,L,N,H,N,N,
,,,Garden Management,,,,,,N,N,H,L,H,N,N,L,N,H,N,N,N,H,N,N,
,,,User Management,,,,,,L,N,N,L,H,N,N,L,N,H,N,N,N,H,N,N,
,,,Report Generator,,,,,,L,N,N,N,H,N,N,L,N,H,N,L,N,H,N,N,
8,Fall 2011,LADOT SCANNING,Scanning System,,,,,,,,,,,,,,H,H,H,N,N,N,L,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
