id,element,useCase,type,component
1,User:not available error message,Add to cart,boundary,notavailableerrormessage
2,User:add to cart button,Add to cart,boundary,addtocartbutton
3,add to cart:cart,Add to cart,boundary,addtocartbutton
4,check db if available:add to cart,Add to cart,boundary,addtocartbutton
5,add to cart button:check db if available,Add to cart,boundary,notavailableerrormessage
6,check db if available:product,Add to cart,entity,product
7,check db if available:not available error message,Add to cart,boundary,notavailableerrormessage
8,stl#User:not available error message,Add to cart,Stimulus,undefined
9,stl#User:add to cart button,Add to cart,Stimulus,undefined
10,User:error message for empty input,Create profile,boundary,notavailableerrormessage
11,User:successful information for creation,Create profile,entity,sendinformationindb
12,User:existing profile error message,Create profile,boundary,notavailableerrormessage
13,User:Create Profile Page,Create profile,boundary,notavailableerrormessage
14,Create Profile Page:pre-check if input is empty,Create profile,control,precheckifinputisempty
15,pre-check if input is empty:error message for empty input,Create profile,boundary,notavailableerrormessage
16,pre-check if input is empty:existing profile error message,Create profile,boundary,notavailableerrormessage
17,pre-check if input is empty:send information in db,Create profile,entity,sendinformationindb
18,pre-check if input is empty:successful information for creation,Create profile,entity,sendinformationindb
19,send information in db:user info,Create profile,entity,sendinformationindb
20,stl#User:error message for empty input,Create profile,Stimulus,undefined
21,stl#User:successful information for creation,Create profile,Stimulus,undefined
22,stl#User:existing profile error message,Create profile,Stimulus,undefined
23,stl#User:Create Profile Page,Create profile,Stimulus,undefined
24,User:login page,Login,boundary,loginpage
25,User:invalid input error message,Login,boundary,notavailableerrormessage
26,User:error message for empty input,Login,boundary,notavailableerrormessage
27,pre-check if input is empty:error message for empty input,Login,boundary,notavailableerrormessage
28,pre-check if input is empty:invalid input error message,Login,boundary,notavailableerrormessage
29,login page:pre-check if input is empty,Login,control,precheckifinputisempty
30,pre-check if input is empty:query authentication info,Login,entity,queryauthenticationinfo
31,query authentication info:user info,Login,entity,queryauthenticationinfo
32,stl#User:login page,Login,Stimulus,undefined
33,stl#User:invalid input error message,Login,Stimulus,undefined
34,stl#User:error message for empty input,Login,Stimulus,undefined
35,User:logout button,Logout,boundary,addtocartbutton
36,User:invalid input error message,Logout,boundary,notavailableerrormessage
37,User:error message for empty input,Logout,boundary,notavailableerrormessage
38,query authentication info:Session,Logout,control,Session
39,clear session:Session,Logout,control,Session
40,clear session:error message for empty input,Logout,boundary,notavailableerrormessage
41,clear session:invalid input error message,Logout,boundary,notavailableerrormessage
42,clear session:query authentication info,Logout,control,queryauthenticationinfo
43,logout button:clear session,Logout,control,Session
44,stl#User:logout button,Logout,Stimulus,undefined
45,stl#User:invalid input error message,Logout,Stimulus,undefined
46,stl#User:error message for empty input,Logout,Stimulus,undefined
47,florist:exceeded limit error message,Manage Catalog,boundary,notavailableerrormessage
48,florist:catalog manage page,Manage Catalog,boundary,loginpage
49,florist:information is invalid,Manage Catalog,control,queryauthenticationinfo
50,catalog manage page:pre-check if required information valid,Manage Catalog,control,precheckifinputisempty
51,save uploaded information to db:category,Manage Catalog,control,queryauthenticationinfo
52,pre-check if required information valid:exceeded limit error message,Manage Catalog,boundary,notavailableerrormessage
53,pre-check if required information valid:information is invalid,Manage Catalog,control,queryauthenticationinfo
54,pre-check if required information valid:save uploaded information to db,Manage Catalog,control,queryauthenticationinfo
55,stl#florist:exceeded limit error message,Manage Catalog,Stimulus,undefined
56,stl#florist:catalog manage page,Manage Catalog,Stimulus,undefined
57,stl#florist:information is invalid,Manage Catalog,Stimulus,undefined
58,User:Edit profile button,Manage Profile,boundary,addtocartbutton
59,User:existing profile error message,Manage Profile,boundary,notavailableerrormessage
60,User:successful change message,Manage Profile,boundary,notavailableerrormessage
61,User:profile edit page,Manage Profile,boundary,loginpage
62,User:invalid information error message,Manage Profile,boundary,notavailableerrormessage
63,Edit profile button:display profile edit page,Manage Profile,boundary,notavailableerrormessage
64,pre-check required fields:invalid information error message,Manage Profile,boundary,notavailableerrormessage
65,pre-check required fields:update profile entry,Manage Profile,control,queryauthenticationinfo
66,profile edit page:pre-check required fields,Manage Profile,control,precheckifinputisempty
67,update profile entry:successful change message,Manage Profile,boundary,notavailableerrormessage
68,update profile entry:user info,Manage Profile,entity,User
69,stl#User:Edit profile button,Manage Profile,Stimulus,undefined
70,stl#User:existing profile error message,Manage Profile,Stimulus,undefined
71,stl#User:successful change message,Manage Profile,Stimulus,undefined
72,stl#User:profile edit page,Manage Profile,Stimulus,undefined
73,stl#User:invalid information error message,Manage Profile,Stimulus,undefined
74,User:payment information page,Place Order,control,queryauthenticationinfo
75,User:missing information for payment message,Place Order,control,queryauthenticationinfo
76,thirdpart payment system:send error message for invalid payment information,Place Order,boundary,notavailableerrormessage
77,thirdpart payment system:approve transaction and display successful message,Place Order,boundary,notavailableerrormessage
78,verify payment information:thirdpart payment system,Place Order,control,thirdpartpaymentsystem
79,approve transaction and display successful message:payment successful message,Place Order,control,thirdpartpaymentsystem
80,invalid payment inforrmation:redirect to payment page,Place Order,control,thirdpartpaymentsystem
81,send error message for invalid payment information:invalid payment inforrmation,Place Order,control,queryauthenticationinfo
82,redirect to payment page:missing information for payment message,Place Order,control,queryauthenticationinfo
83,pre-check if required information is empty:missing information for payment message,Place Order,control,queryauthenticationinfo
84,payment information page:pre-check if required information is empty,Place Order,control,precheckifinputisempty
85,payment successful message:redirect to payment page,Place Order,control,thirdpartpaymentsystem
86,pre-check if required information is empty:verify payment information,Place Order,control,queryauthenticationinfo
87,stl#User:payment information page,Place Order,Stimulus,undefined
88,stl#User:missing information for payment message,Place Order,Stimulus,undefined
89,stl#thirdpart payment system:send error message for invalid payment information,Place Order,Stimulus,undefined
90,stl#thirdpart payment system:approve transaction and display successful message,Place Order,Stimulus,undefined
91,customer:unread message,Private Message - Florist,boundary,notavailableerrormessage
92,customer:reply input panel,Private Message - Florist,control,precheckifinputisempty
93,customer:dashboard page,Private Message - Florist,boundary,loginpage
94,dashboard page:display unread message,Private Message - Florist,boundary,notavailableerrormessage
95,display comment input panel:message,Private Message - Florist,boundary,notavailableerrormessage
96,display comment input panel:reply input panel,Private Message - Florist,control,precheckifinputisempty
97,unread message:display comment input panel,Private Message - Florist,control,precheckifinputisempty
98,display unread message:message,Private Message - Florist,boundary,notavailableerrormessage
99,display unread message:unread message,Private Message - Florist,boundary,notavailableerrormessage
100,save replied message:message,Private Message - Florist,boundary,notavailableerrormessage
101,reply input panel:save replied message,Private Message - Florist,boundary,notavailableerrormessage
102,stl#customer:unread message,Private Message - Florist,Stimulus,undefined
