id,attribute,type,element
1,Name,EAJava_void,Building
2,Address,EAJava_void,Building
3,Hub,EAJava_void,Building
4,Name,EAJava_void,Disaster
5,ID,EAJava_void,Disaster
6,startTime,EAJava_void,Disaster
7,endTime,EAJava_void,Disaster
8,Name,EAJava_void,EMT Building Assignment
9,EMT Number,EAJava_void,EMT Building Assignment
10,ID,EAJava_void,Hub
11,Address,EAJava_void,Hub
12,Name,EAJava_void,User
13,Designation,EAJava_void,User
14,Address,EAJava_void,User
15,EmailID,EAJava_void,User
16,victimID,EAJava_int,Victim
17,disasterID,EAJava_void,Victim
18,barcode,EAJava_void,Victim
19,triage category,EAJava_void,Victim
20,location details,EAJava_void,Victim
21,medical details,EAJava_void,Victim
22,name,EAJava_void,Victim
23,age range,EAJava_void,Victim
24,sex,EAJava_void,Victim
25,ambulance number,EAJava_void,Victim
26,hospital,EAJava_void,Victim
27,OTP,EAJava_void,Volunteer
28,deviceID,EAJava_void,Volunteer
29,building,EAJava_void,Volunteer
30,Status,EAJava_void,Volunteer
31,Password,EAJava_void,Web User
32,Hub,EAJava_void,Web User
