id,operation,element
1,Building,Building
2,Redirectstotheaddbuildinghubformpage,Building
3,Updatesthedatabaseforbuildinginformation,Building
4,Managebuildingshubsdisastersbutton,Building
5,buildshubsdiastersdb,Building
6,Disaster,Disaster
7,Managebildingshubsdisasterspage,Disaster
8,Supervisersemergencydisasterhomepage,Disaster
9,SystemredirectstoDisastepage,Disaster
10,Systeminsertsthedisasterrecordinthedatabase,Disaster
11,checkOTPenteredisnonempty,Disaster
12,EMTBuildingAssignment,EMT Building Assignment
13,VolunteerassignmentandEMTassignmentDB,EMT Building Assignment
14,Redirectstothemanagementbuildingshubsdisasterspage,EMT Building Assignment
15,Emergencybutton,EMT Building Assignment
16,ManagementIndividualsPage,EMT Building Assignment
17,ManagevictimsEMTassignmentsbutton,EMT Building Assignment
18,assignmentdetaildatabase,EMT Building Assignment
19,Hub,Hub
20,add Individual to List Users,Supervisor
21,Manage Users,Supervisor
22,Add building,Supervisor
23,Manage building,Supervisor
24,Add hub,Supervisor
25,Manage hub,Supervisor
26,Add EMT building Assignment,Supervisor
27,Track victims,Supervisor
28,Add disaster,Supervisor
29,Manage disaster,Supervisor
30,Manage emergency tables,Supervisor
31,Supervisorsemergencyhomepage,Supervisor
32,Enter Victime Tracking Information,Transport Coordinator
33,Update Victim Tracking Information,Transport Coordinator
34,Unassign EMT from building,Transport Coordinator
35,Insertthenewrecordintodb,Transport Coordinator
36,Individualrecords,Transport Coordinator
37,Transportcoordinatorshomepage,Transport Coordinator
38,manageindividualsbutton,Transport Coordinator
39,trackingrecorddatabase,Transport Coordinator
40,User,User
41,Usernameandpassworddb,User
42,querydatabase,User
43,Victim,Victim
44,Printsoutthelistofvictims,Victim
45,sendotdevice,Victim
46,Categorizesthevictim,Victim
47,addnewvictimrecordtodb,Victim
48,TrackVictimsbutton,Victim
49,updatevictimtrackingformpage,Victim
50,OTP Login,Volunteer
51,Checkin,Volunteer
52,Enter victim Data,Volunteer
53,Retrieve victim data,Volunteer
54,volunteerhomepage,Volunteer
55,clearsdeviceIDofvolunteer,Volunteer
56,sendsOTPtovolunteersemailID,Volunteer
57,volunteerinfodatabase,Volunteer
58,Login,Web User
59,Logout,Web User
60,helpactorhtm,$help://actor.htm
61,helpusecasemodelpatternhtm,$help://use_case_model_pattern.htm
62,generateonetimepassOTPandsendittousers,$help://use_case_model_pattern.htm
63,Authenticatetheusernameandpassword,$help://use_case_model_pattern.htm
64,helpusecasediagramhtm,$help://usecasediagram.htm
65,Checkuserandpasswordentered,$help://usecasediagram.htm
66,SystemBoundary,System Boundary
67,Systemupdatesrecordinthedatabase,System Boundary
68,checkthebarcodeambulancenumberandhospitalinfo,checkthebarcodeambulancenumberandhospitalinfo
69,Hospitalinformation,checkthebarcodeambulancenumberandhospitalinfo
70,Manageindividualsspagewithlistofindividualdetails,checkthebarcodeambulancenumberandhospitalinfo
71,returnsaddEMTfrompage,returnsaddEMTfrompage
72,EMTformpage,returnsaddEMTfrompage
73,OTPemptyerrormessage,returnsaddEMTfrompage
74,Respirationperfusionmetalstatuspage,returnsaddEMTfrompage
75,MedFPShomepage,returnsaddEMTfrompage
76,Individualdetailspage,returnsaddEMTfrompage
77,Deleterecordsfromthedatabase,returnsaddEMTfrompage
78,ResendOTPPage,returnsaddEMTfrompage
79,SearchResultPage,returnsaddEMTfrompage
80,ValidatesInput,ValidatesInput
81,nullinputinformaitonerror,ValidatesInput
82,validatetheatallfieldsarenonempty,ValidatesInput
83,Updateindividualsrecord,ValidatesInput
84,generatesuniquedeviceid,ValidatesInput
85,IndividualresendOTPpage,ValidatesInput
86,updatebutton,ValidatesInput
87,categoryspage,categoryspage
88,ishebreathingpage,categoryspage
89,Errormessage,categoryspage
90,Loginpage,categoryspage
91,DisplayMedFPShomepage,categoryspage
92,DeletePage,categoryspage
93,UpdateIndividualFormPage,categoryspage
94,OTPpage,categoryspage
95,authenticatetheOTP,categoryspage
96,checklocalstorage,categoryspage
97,EMTformpage,categoryspage
98,Redirectstorespirationperfusionmetalstatuspage,Redirectstorespirationperfusionmetalstatuspage
99,Hospitalinformation,Redirectstorespirationperfusionmetalstatuspage
100,RedirecttoMedFPSSupervisorcoordinatehomepage,Redirectstorespirationperfusionmetalstatuspage
101,Redirectstothemanagementindividusalpage,Redirectstorespirationperfusionmetalstatuspage
102,Redirecttodeletepage,Redirectstorespirationperfusionmetalstatuspage
103,Redirectstoupdatevictimassignmentformpage,Redirectstorespirationperfusionmetalstatuspage
104,authentificationfailuremessage,Redirectstorespirationperfusionmetalstatuspage
105,receiveandstoratedeviceidatlocalstorage,Redirectstorespirationperfusionmetalstatuspage
106,victiminformationinputandmedicalinformationinput,Redirectstorespirationperfusionmetalstatuspage
107,Victiminformationpageiwthlistofvictimdetails,Redirectstorespirationperfusionmetalstatuspage
108,listofindividualdetailspage,Redirectstorespirationperfusionmetalstatuspage
