id,element,NOCH,DIT,CBO,NUMS,NCI,NCIF
1,Building,0,0,310,0,0,0
2,Disaster,0,0,0,0,0,0
3,EMT Building Assignment,0,0,0,0,0,0
4,Hub,0,0,0,0,0,0
5,Supervisor,0,0,310,0,0,2
6,Transport Coordinator,0,0,0,0,0,2
7,User,2,4,6,0,4,0
8,Victim,0,0,0,0,0,0
9,Volunteer,0,0,0,0,0,1
10,Web User,2,2,4,0,2,1
11,$help://actor.htm,0,0,0,0,0,0
12,$help://use_case_model_pattern.htm,0,0,0,0,0,0
13,$help://usecasediagram.htm,0,0,0,0,0,0
14,System Boundary,0,0,0,0,0,0
15,checkthebarcodeambulancenumberandhospitalinfo,0,0,0,0,0,0
16,returnsaddEMTfrompage,0,0,0,0,0,0
17,ValidatesInput,0,0,0,0,0,0
18,categoryspage,0,0,0,0,0,0
19,Redirectstorespirationperfusionmetalstatuspage,0,0,0,0,0,0
