id,element,useCase,type,component
1,Administrator:case information page,Edit case,control,Usermanagementbutton
2,Administrator:list of cases,Edit case,entity,case
3,Administrator:document upload page,Edit case,boundary,download
4,Administrator:case information edit page,Edit case,control,Usermanagementbutton
5,Administrator:unauthorized error message,Edit case,boundary,unauthorizedrequest
6,Administrator:informatin invalid error message,Edit case,boundary,activationsuccessmessage
7,Administrator:unauthorized error message,Edit case,boundary,unauthorizedrequest
8,Administrator:case information edit page,Edit case,control,Usermanagementbutton
9,Administrator:list of cases,Edit case,entity,case
10,Administrator:case information page,Edit case,control,Usermanagementbutton
11,Case Manager:case information edit page,Edit case,control,Usermanagementbutton
12,Case Manager:case information page,Edit case,control,Usermanagementbutton
13,Case Manager:document upload page,Edit case,boundary,download
14,Case Manager:unauthorized error message,Edit case,boundary,unauthorizedrequest
15,Case Manager:informatin invalid error message,Edit case,boundary,activationsuccessmessage
16,Case Manager:list of cases,Edit case,entity,case
17,query detail of a case:case,Edit case,entity,case
18,save case update information:case information,Edit case,entity,case
19,case information edit page:validate input information,Edit case,entity,insertuserinfo
20,display information edit page:case information edit page,Edit case,control,Usermanagementbutton
21,case information page:validate role,Edit case,entity,role
22,query detail of a case:case information page,Edit case,control,Usermanagementbutton
23,validate role:display information edit page,Edit case,boundary,activationsuccessmessage
24,document upload page:validate role,Edit case,entity,role
25,validate input information:informatin invalid error message,Edit case,boundary,activationsuccessmessage
26,list of cases:query detail of a case,Edit case,entity,case
27,validate role:role,Edit case,entity,role
28,validate input information:save case update information,Edit case,entity,case
29,validate role:unauthorized error message,Edit case,boundary,unauthorizedrequest
30,stl#Administrator:case information page,Edit case,Stimulus,undefined
31,stl#Administrator:list of cases,Edit case,Stimulus,undefined
32,stl#Administrator:document upload page,Edit case,Stimulus,undefined
33,stl#Administrator:case information edit page,Edit case,Stimulus,undefined
34,stl#Administrator:unauthorized error message,Edit case,Stimulus,undefined
35,stl#Administrator:informatin invalid error message,Edit case,Stimulus,undefined
36,stl#Administrator:unauthorized error message,Edit case,Stimulus,undefined
37,stl#Administrator:case information edit page,Edit case,Stimulus,undefined
38,stl#Administrator:list of cases,Edit case,Stimulus,undefined
39,stl#Administrator:case information page,Edit case,Stimulus,undefined
40,stl#Case Manager:case information edit page,Edit case,Stimulus,undefined
41,stl#Case Manager:case information page,Edit case,Stimulus,undefined
42,stl#Case Manager:document upload page,Edit case,Stimulus,undefined
43,stl#Case Manager:unauthorized error message,Edit case,Stimulus,undefined
44,stl#Case Manager:informatin invalid error message,Edit case,Stimulus,undefined
45,stl#Case Manager:list of cases,Edit case,Stimulus,undefined
