id,element,NOCH,DIT,CBO,NUMS,NCI,NCIF
1,Administrator Profile,0,0,0,0,0,0
2,Employer Profile,0,0,0,0,0,0
3,Job Candidate Profile,0,0,0,0,0,0
4,Job Post,0,0,0,0,0,0
5,Job Preference,0,0,0,0,0,0
6,Sponsor,0,0,0,0,0,0
7,Subscription Log,0,0,0,0,0,0
8,Testimonial,0,0,0,0,0,0
9,User,0,0,0,0,0,0
10,Visitor,0,0,0,0,0,0
11,PressSearchButton,0,0,0,0,0,0
12,fillinfieldasrequired,0,0,0,0,0,0
13,ClickonAdd,0,0,0,0,0,0
14,Homepage,0,0,0,0,0,0
15,Savesindatabase,0,0,0,0,0,0
16,TypeKeyword,0,0,0,0,0,0
