id,element,attributeNum,operationNum,instanceVarNum,externalOperNum,parameterNum,weightedOperNum,numberOfDerivedClasses,numberOfChildren,numberOfClassesInherited,depthInheritanceTree,numberOfDerivingClasses,isTopLevelClass,numberOfClassesInheritedFrom,numberOfInheritanceRelationships,numberOfAssociatedClasses,numberOfAssociatingClasses,numberOfAssociationRelationships,numberOfUsedClasses,numberOfUsingClasses,numberOfUsageRelationships,couplingBetweenObjects
1,$help://use_case_model_pattern.htm,0,2,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
2,$help://usecasediagram.htm,0,1,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
3,$help://actor.htm,0,1,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
4,Inputaword,0,2,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
5,Discussion board COTS,0,1,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
6,Existing system,0,1,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
7,Messaging system,0,2,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
8,Pediatric Trauma Society Research Investigator...,0,1,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
9,Pubmed,0,1,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
10,System Boundary,0,2,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
11,$help://classdiagram.htm,0,1,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
12,$help://class_model_pattern.htm,0,1,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
13,Class1,0,1,0,1,0,0.3,0,0,0,0,1,false,1,0,0,0,0,0,0,0,0
14,Class2,0,1,0,1,0,0.3,1,1,1,1,0,true,0,2,0,0,0,0,0,0,2
15,Class3,0,1,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
16,Article,8,1,8,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
17,Collaboration Graph,2,2,2,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
18,Comment,4,1,4,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
19,Message Context,5,2,5,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
20,Message HistoryA,2,1,2,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
21,Post,5,1,5,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
22,Subforum (Group),5,1,5,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
23,User (Member),10,1,10,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
24,GoDaddy Web Hosting,0,1,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
25,PubMed Database Server (External Hardware Component),0,1,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
26,Terminal (PC/Laptop),0,1,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
27,Advanced Search SubComponent,0,1,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
28,Create Subforum Component,0,1,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
29,DBMS Component (MySQL),0,1,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
30,Discussion Board Component (Php BB),4,1,4,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
31,Fetch / Add / Update Data Component,0,1,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
32,Post / Comment SubComponent,0,1,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
33,PubMed Database (External Component),0,2,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
34,Search By Keyword SubComponent,0,1,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
35,Search By Name SubComponent,0,2,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
36,Search Component,3,2,3,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
37,Send / Receive Message SubComponent,0,3,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
38,Upload CV Component,0,2,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
39,View Articles Component,0,2,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
40,View Collaboration Graph Component ,0,2,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
41,View Message History SubComponent ,0,3,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
42,Object1,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
