id, function, functional, DET, FTR, boundaries, controls, entities, typeStr
1,User:"Add EMT Assignment" button-->"Add EMT Assignment" button:Redirects to the building assignments page-->Redirects to the building assignments page:Volunteer assignment and EMT assignment DB,EQ,0,3,0,0,3,entity->entity->entity
2,User:"Add EMT Assignment" button-->"Add EMT Assignment" button:Redirects to the building assignments page-->Redirects to the building assignments page:Building Assignments Page-->Building Assignments Page:returns add EMT from page-->returns add EMT from page:Validates Input-->Validates Input:submitted add EMT Form page,EQ,1,6,2,1,3,entity->entity->entity->boundary->control->boundary
3,User:"Add EMT Assignment" button-->"Add EMT Assignment" button:Redirects to the building assignments page-->Redirects to the building assignments page:Building Assignments Page-->Building Assignments Page:returns add EMT from page-->returns add EMT from page:Validates Input-->Validates Input:Prints out the list of victims-->Prints out the list of victims:Triage category,EQ,0,7,2,1,4,entity->entity->entity->boundary->control->entity->boundary
4,User:"Add EMT Assignment" button-->"Add EMT Assignment" button:Redirects to the building assignments page-->Redirects to the building assignments page:Building Assignments Page-->Building Assignments Page:returns add EMT from page-->returns add EMT from page:Validates Input-->Validates Input:Prints out the list of victims-->Prints out the list of victims:Supervisors' emergency homepage,EQ,0,7,2,1,4,entity->entity->entity->boundary->control->entity->boundary
5,User:"Add EMT Assignment" button-->"Add EMT Assignment" button:Redirects to the building assignments page-->Redirects to the building assignments page:Building Assignments Page-->Building Assignments Page:returns add EMT from page-->returns add EMT from page:Validates Input-->Validates Input:EMT form page,EQ,1,6,2,1,3,entity->entity->entity->boundary->control->boundary
6,User:"Add EMT Assignment" button-->"Add EMT Assignment" button:Redirects to the building assignments page-->Redirects to the building assignments page:Building Assignments Page-->Building Assignments Page:returns add EMT from page-->returns add EMT from page:EMT form page,EO,0,5,2,0,3,entity->entity->entity->boundary->boundary
7,User:submitted add EMT Form page,EQ,1,1,1,0,0,boundary
8,User:Building Assignments Page-->Building Assignments Page:returns add EMT from page-->returns add EMT from page:Validates Input-->Validates Input:submitted add EMT Form page,EQ,1,4,2,1,1,entity->boundary->control->boundary
9,User:Building Assignments Page-->Building Assignments Page:returns add EMT from page-->returns add EMT from page:Validates Input-->Validates Input:Prints out the list of victims-->Prints out the list of victims:Triage category,EQ,0,5,2,1,2,entity->boundary->control->entity->boundary
10,User:Building Assignments Page-->Building Assignments Page:returns add EMT from page-->returns add EMT from page:Validates Input-->Validates Input:Prints out the list of victims-->Prints out the list of victims:Supervisors' emergency homepage,EQ,0,5,2,1,2,entity->boundary->control->entity->boundary
