id,element,useCase,type,component
1,user:Surgery center list,Search Surgical Slot,entity,SurgeryCenter
2,user:Dropdown for the type of Surgery Center,Search Surgical Slot,entity,SurgeryCenter
3,user:All available surgical slot,Search Surgical Slot,boundary,Slot
4,user:Display a message "no surgery slots",Search Surgical Slot,entity,SurgeryCenter
5,Query all available up to date surgical slot:All available surgical slot,Search Surgical Slot,boundary,Slot
6,Display a list surgery center by the parameters:Surgery center list,Search Surgical Slot,entity,SurgeryCenter
7,Display a list surgery center by the parameters:Surgery center info,Search Surgical Slot,entity,SurgeryCenter
8,Dropdown for the type of Surgery Center:Display a list surgery center by the parameters,Search Surgical Slot,entity,SurgeryCenter
9,Query all available up to date surgical slot:Display a message "no surgery slots",Search Surgical Slot,entity,SurgeryCenter
10,Redirect to dropwon for surgery center:Dropdown for the type of Surgery Center,Search Surgical Slot,entity,SurgeryCenter
11,Query all available up to date surgical slot:Redirect to dropwon for surgery center,Search Surgical Slot,entity,SurgeryCenter
12,Query all available up to date surgical slot:Surgery center info,Search Surgical Slot,entity,SurgeryCenter
13,Surgery center list:Query all available up to date surgical slot,Search Surgical Slot,entity,SurgeryCenter
14,stl#user:Surgery center list,Search Surgical Slot,Stimulus,undefined
15,stl#user:Dropdown for the type of Surgery Center,Search Surgical Slot,Stimulus,undefined
16,stl#user:All available surgical slot,Search Surgical Slot,Stimulus,undefined
17,stl#user:Display a message "no surgery slots",Search Surgical Slot,Stimulus,undefined
