id,operation,element
1,Activity,Activity
2,returnactivitydescriptionpage,Activity
3,validatethedescirpitonofactivity,Activity
4,activateuserstatus,Activity
5,EditUser,Administration
6,CreateHighLevelUser,Administration
7,Activate,Administration
8,Inactivate,Administration
9,CaseManagement,Case Management
10,successmessage,Case Management
11,CreateNewCase,Case Manager
12,UploadDocument,Case Manager
13,ReportGeneration,Case Manager
14,LogActivity,Case Manager
15,CreateLimitedUser,Case Manager
16,ViewDocument,Case Manager
17,CheckCaseInformation,Case Manager
18,EditCase,Case Manager
19,ResetPassword,Case Manager
20,loginpage,Case Manager
21,caselist,Case Manager
22,caseinfopage,Case Manager
23,redirecttonewcasepage,Case Manager
24,choosefilepage,Case Manager
25,Caseinformation,Case information
26,Createnewcasebutton,Case information
27,validatetheifnoramtionfromcaseinformationpage,Case information
28,insertcaseintocasedatabase,Case information
29,returncaseinfopageforediting,Case information
30,Documentupload,Document upload
31,specificdocumentrecord,Document upload
32,filedownloadinterface,Document upload
33,insertdocumentintodocumentdb,Document upload
34,CheckCaseInformation,General User
35,generatearandompasswordfortheusername,General User
36,returngeneratesuccessmessage,General User
37,generatereportpage,General User
38,ViewDocument,Limited User
39,createuserbutton,Limited User
40,validatetheroleofuser,Limited User
41,printer,Limited User
42,Restpassword,Rest password
43,insertthenewusernameandpasswordintotheuserdb,Rest password
44,correspondingrolesmainpage,Rest password
45,Sendrequesttocasedatabase,Rest password
46,updatethepasswordtodatebase,Rest password
47,Useinformation,Use information
48,validationfailedmessage,Use information
49,wronguserinfomessage,Use information
50,redirecttheusertothecorrespondingrolesmainpage,Use information
51,validateinformationofdescription,Use information
52,Login,User
53,Logout,User
54,userinfo,User
55,checkexistingusers,User
56,checkthestatusofuser,User
57,Usermanagement,User management
58,Insertsuccessmessage,User management
59,helpactorhtm,$help://actor.htm
60,helpusecasemodelpatternhtm,$help://use_case_model_pattern.htm
61,helpusecasediagramhtm,$help://usecasediagram.htm
62,SystemBoundary,System Boundary
63,reportbutton,reportbutton
64,addvewbutton,reportbutton
65,descriptionshouldnotbeblankmessage,descriptionshouldnotbeblankmessage
66,wrongactionmessage,descriptionshouldnotbeblankmessage
67,statuschagesuccessmessage,descriptionshouldnotbeblankmessage
68,validationfailedmessage,descriptionshouldnotbeblankmessage
