id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,Increase Number of spawn,control,0,2,Increase difficulty ,Increase difficulty ,
2,Make Difficult to hit,control,1,1,Increase difficulty ,Increase difficulty ,
3,Increase Speed,control,1,1,Increase difficulty ,Increase difficulty ,
4,Time Elapsed,control,0,1,Increase difficulty ,Increase difficulty ,
5,Get Number of tikimen killed in that round,control,0,1,Increase difficulty ,Increase difficulty ,
6,Algorithm,control,5,1,Increase difficulty ,Increase difficulty ,
7,Get level,control,1,1,Increase difficulty ,Increase difficulty ,
8,User Account,entity,0,1,Increase difficulty ,Increase difficulty ,
9,Army Men,boundary,2,2,Increase difficulty ,Increase difficulty ,
10,User,actor,1,0,Increase difficulty ,Increase difficulty ,
