id,element,NOCH,DIT,CBO,NUMS,NCI,NCIF
1,$help://use_case_model_pattern.htm,0,0,0,0,0,0
2,$help://usecasediagram.htm,0,0,0,0,0,0
3,$help://actor.htm,0,0,0,0,0,0
4,System Boundary,0,0,0,0,0,0
5,$help://domain_model_pattern.htm,0,0,0,0,0,0
6,Account,0,0,0,0,0,0
7,Activity_code,0,0,0,0,0,0
8,Activity_code,0,0,0,0,0,0
9,Admin,0,0,0,0,0,0
10,Case Manager,0,0,0,0,0,0
11,Case_account,0,0,0,0,0,0
12,Case_addresses,0,0,0,0,0,0
13,Case_answers,0,0,0,0,0,0
14,Case_contacts,0,0,0,0,0,0
15,Case_education_history,0,0,0,0,0,0
16,Case_email,0,0,0,0,0,0
17,Case_ethnicities,0,0,0,0,0,0
18,Case_work_history,0,0,0,0,0,0
19,Cases,0,0,0,0,0,0
20,Cases_Activities,0,0,0,0,0,0
21,Document,0,0,0,0,0,0
22,Document_version,0,0,0,0,0,0
23,Documentation Type,0,0,0,0,0,0
24,Education Level,0,0,0,0,0,0
25,Email Template,0,0,0,0,0,0
26,Ethnicities,0,0,0,0,0,0
27,General_User,0,0,0,0,0,0
28,Groups,0,0,0,0,0,0
29,Limited_User,0,0,0,0,0,0
30,Manager,0,0,0,0,0,0
31,Password,0,0,0,0,0,0
32,Questions,0,0,0,0,0,0
33,Security Question,0,0,0,0,0,0
34,Services,0,0,0,0,0,0
35,Template Attachment,0,0,0,0,0,0
36,User Security Question,0,0,0,0,0,0
37,User_tokens,0,0,0,0,0,0
38,Users,0,0,0,0,0,0
