id,element,NOCH,DIT,CBO,NUMS,NCI,NCIF
1,Online Application,0,0,0,0,0,0
2,ProxyConnector,0,0,0,0,0,0
3,Add new job posting page,0,0,0,0,0,0
4,Edit Job posting page,0,0,0,0,0,0
5,Job Postings and Accounts Controller,0,0,0,0,0,0
6,MySQL Database Connector,0,0,0,0,0,0
7,New Account Details,0,0,0,0,0,0
8,NewPostDetails,0,0,0,0,0,0
9,Change Status Page,0,0,0,0,0,0
10,Details,0,0,0,0,0,0
11,Posts,0,0,0,0,0,0
12,Review Application Page,0,0,0,0,0,0
13,Review application controller,0,0,0,0,0,0
14,Show full profile page,0,0,0,0,0,0
15,Status,0,0,0,0,0,0
16,Login Info,0,0,0,0,0,0
17,Login Page,0,0,0,0,0,0
18,Password Recovery Page,0,0,0,0,0,0
19,User Authentication Controller,0,0,0,0,0,0
20,Class1,0,0,0,0,0,0
21,Class2,0,0,0,0,0,0
22,Class3,0,0,0,0,0,0
23,EEOC Form,0,0,0,0,0,0
24,Education,0,0,0,0,0,0
25,Hiring Report,0,0,0,0,0,0
26,Job Posting Form,0,0,0,0,0,0
27,Position Specific Form,0,0,0,0,0,0
28,Standard Information,0,0,0,0,0,0
29,Work Experience,0,0,0,0,0,0
30,employee,0,0,0,0,0,0
31,position,0,0,0,0,0,0
32,upload Documents,0,0,0,0,0,0
33,user,0,0,0,0,0,0
34,Attachments,0,0,0,0,0,0
35,Job Details,0,0,0,0,0,0
36,Online application controller,0,0,0,0,0,0
37,Online application page,0,0,0,0,0,0
38,Profile,0,0,0,0,0,0
39,Show available jobs page,0,0,0,0,0,0
40,Update User Profile Page,0,0,0,0,0,0
41,ClicksSubmit,0,0,0,0,0,0
