Usecase, avg_degree, avg_path_length, architectural_diff, num_path, num_interface_operation, number_data_operation, number_control, number_partial_matched,
Admin Login,1.1875,5.366666667,6.372916667,30,0,0,0,30,
Bill partner for redemption transaction,1.388888889,6.333333333,8.796296296,24,0,0,0,24,
Delete Partner Account,1.153846154,4.923076923,5.680473373,13,0,0,0,13,
Notify Partner of Redemption,1.238095238,7.939393939,9.82972583,33,0,0,0,33,
Reactive Partner Account,1.375,4.857142857,6.678571429,7,0,0,0,7,
Resolve Dispute,1.166666667,6.203703704,7.237654321,54,0,0,0,54,
Suspend Partner Account Storyboard,1.533333333,4.378378378,6.713513514,37,0,0,0,37,
Validate Redemption Password,1.058823529,5.25,5.558823529,8,0,0,0,8,
View Partner Billing status storyboard,1.181818182,5.111111111,6.04040404,9,0,0,0,9,
View Transaction Log,1.25,4.461538462,5.576923077,13,0,0,0,13,
View redemption statistics for partner storyboard,1.3125,6.459459459,8.478040541,37,0,0,0,37,
Connect to trip plan,1,4.714285714,4.714285714,7,0,0,0,7,
Login to tripplanner,1.137931034,8.6,9.786206897,15,0,0,0,15,
Receive Coupon,1.086956522,4.580645161,4.978962132,31,0,0,0,31,
Redeem Coupon,1.214285714,4.285714286,5.204081633,7,0,0,0,7,
Save it for later,1.2,7.2,8.64,5,0,0,0,5,
View stored coupons,1.166666667,4.888888889,5.703703704,9,0,0,0,9,
Connect to trip plan,0.888888889,4.2,3.733333333,5,0,0,0,5,
Login to tripplanner,1.178571429,9.142857143,10.7755102,14,0,0,0,14,
Receive Coupon,1.133333333,4.5,5.1,18,0,0,0,18,
Redeem Coupon,1.076923077,4.2,4.523076923,5,0,0,0,5,
Save it for lateer,1,6.333333333,6.333333333,3,0,0,0,3,
View stored coupons,1.1,4.166666667,4.583333333,6,0,0,0,6,
Buy Partner Subscription,1.181818182,7.5,8.863636364,4,0,0,0,4,
Cancel Partner Subscription,1.1,5,5.5,7,0,0,0,7,
Contact us,1.210526316,6.136363636,7.428229665,22,0,0,0,22,
Create Account,1.277777778,10.85714286,13.87301587,14,0,0,0,14,
Create Offer,1.428571429,9.56097561,13.65853659,41,0,0,0,41,
Design Coupon,0.923076923,3.428571429,3.164835165,7,0,0,0,7,
Modify Offer,0.875,5.333333333,4.666666667,3,0,0,0,3,
Partner Login,1.090909091,6.615384615,7.216783217,13,0,0,0,13,
Publish Offer,1,4.222222222,4.222222222,9,0,0,0,9,
Specify default payment method use case,1.318181818,10.47222222,13.80429293,36,0,0,0,36,
Test Coupon,1.083333333,4.2,4.55,5,0,0,0,5,
Upload Image,1.25,3,3.75,6,0,0,0,6,
View Bill,1.055555556,7,7.388888889,7,0,0,0,7,
Annotate trip plan,1.388888889,8.958333333,12.44212963,24,0,0,0,24,
Connect to trip plan,1.333333333,7.6875,10.25,16,0,0,0,16,
Find  add, and delete places,1.64,8.592,14.09088,125,0,0,0,125
Login to TripPlanner,1,6.666666667,6.666666667,6,0,0,0,6,
Manage Trip Plan,1.166666667,5.2,6.066666667,20,0,0,0,20,
Manage subscription,1.166666667,5.3,6.183333333,10,0,0,0,10,
Print photo books,1.6,6.338235294,10.14117647,68,0,0,0,68,
Schedule visit and view trip calendar,1.1,4.6,5.06,10,0,0,0,10,
Subscribe and unsubscribe from partner offer,1.25,5.2,6.5,15,0,0,0,15,
View Trip Plan on Map and get Directions,1,5.833333333,5.833333333,6,0,0,0,6,
View partner offer,1.125,6.142857143,6.910714286,7,0,0,0,7,
