id,element,attributeNum,operationNum,instanceVarNum,externalOperNum,parameterNum,weightedOperNum,numberOfDerivedClasses,numberOfChildren,numberOfClassesInherited,depthInheritanceTree,numberOfDerivingClasses,isTopLevelClass,numberOfClassesInheritedFrom,numberOfInheritanceRelationships,numberOfAssociatedClasses,numberOfAssociatingClasses,numberOfAssociationRelationships,numberOfUsedClasses,numberOfUsingClasses,numberOfUsageRelationships,couplingBetweenObjects
1,$help://domain_model_pattern.htm,0,1,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
2,Desire,3,2,3,2,5,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
3,Language,5,7,5,3,5,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
4,MatchService,0,2,0,1,3,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
5,Message,9,4,9,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
6,MessageService,0,6,0,5,15,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
7,Skill,3,2,3,2,5,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
8,User,8,9,8,7,18,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
9,undefined,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
10,LoginButton,0,2,0,1,5,0.3,0,0,0,0,0,true,0,0,0,59,59,0,0,0,59
11,CheckPassword,0,2,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
12,Authorization API,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
13,Signupform,0,1,0,1,5,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
14,Account,0,1,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
15,Profile API,0,1,0,0,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
