id,element,useCase,type,component
1,User:"delete account" button,delete marketing director account,boundary,DeleteButton
2,User:username exists message,delete marketing director account,control,pdfformatisnotvalidmessage
3,User:Delete marketing Director Account form,delete marketing director account,boundary,DeleteButton
4,User:not exist or invlide username.,delete marketing director account,control,pdfformatisnotvalidmessage
5,User:Confirmation box,delete marketing director account,control,Confirmbox
6,User:View Market Director Accounts Page,delete marketing director account,boundary,ViewMarketDirectorAccountsPage
7,"delete account" button:Redirect to delete marketing director account form,delete marketing director account,boundary,ViewMarketDirectorAccountsPage
8,Redirect to delete marketing director account form:"delete account" button,delete marketing director account,boundary,DeleteButton
9,Cancel:View Market Director Accounts Page,delete marketing director account,boundary,ViewMarketDirectorAccountsPage
10,Confirmation box:Cancel,delete marketing director account,control,Cancel
11,Check user exist or invalid username:Redirect to view market director accounts page,delete marketing director account,boundary,ViewMarketDirectorAccountsPage
12,Check user exist or invalid username:not exist or invlide username.,delete marketing director account,control,pdfformatisnotvalidmessage
13,Confirmation box:Check user exist or invalid username,delete marketing director account,control,pdfformatisnotvalidmessage
14,Popup Confirmation box:Check user exist or invalid username,delete marketing director account,control,pdfformatisnotvalidmessage
15,Popup Confirmation box:Confirmation box,delete marketing director account,control,Confirmbox
16,Delete marketing Director Account form:Popup Confirmation box,delete marketing director account,control,Confirmbox
17,Redirect to delete marketing director account form:Delete marketing Director Account form,delete marketing director account,boundary,ViewMarketDirectorAccountsPage
18,Redirect to view market director accounts page:Direct Account DB,delete marketing director account,boundary,ViewMarketDirectorAccountsPage
19,Redirect to view market director accounts page:View Market Director Accounts Page,delete marketing director account,boundary,ViewMarketDirectorAccountsPage
20,stl#User:"delete account" button,delete marketing director account,Stimulus,undefined
21,stl#User:username exists message,delete marketing director account,Stimulus,undefined
22,stl#User:Delete marketing Director Account form,delete marketing director account,Stimulus,undefined
23,stl#User:not exist or invlide username.,delete marketing director account,Stimulus,undefined
24,stl#User:Confirmation box,delete marketing director account,Stimulus,undefined
25,stl#User:View Market Director Accounts Page,delete marketing director account,Stimulus,undefined
